fecha	lon	lat	especie	n
19/07/2000	-78.211	-11.885	5	102
24/07/2000	-87.001	-2.21	2	78
20000726	-82.192	-12.499	4	172
20000801	-85.759	-9.03	1	175
04/08/2000	-86.11	-5.591	4	26
06/08/2000	-89.712	-13.227	3	178
07/08/2000	-85.387	-12.349	3	6
11/08/2000	-83.247	-11.903	2	127
20000811	-85.5	-6.602	5	14
14/08/2000	-81.023	-17.6	1	47
20000815	-76.98	-3.598	5	66
17/08/2000	-72.098	-13.106	3	193
20000818	-78.507	-8.202	2	85
22/08/2000	-89.43	-15.588	1	124
23/08/2000	-74.966	-14.482	5	73
28/08/2000	-84.834	-14.102	1	65
20000828	-77.492	-12.501	4	102
07/09/2000	-88.511	-13.96	4	135
07/09/2000	-87.07	-13.581	5	66
08/09/2000	-72.881	-6.418	1	103
15/09/2000	-88.571	-8.275	2	194
15/09/2000	-77.772	-15.972	5	5
20000917	-71.591	-3.481	1	78
19/09/2000	-79.231	-15.256	5	149
21/09/2000	-83.907	-12.978	1	86
22/09/2000	-79.805	-3.884	2	152
20000922	-76.933	-11.824	4	33
20000922	-83.347	-17.574	4	64
23/09/2000	-89.683	-3.889	5	56
20000924	-82.872	-7.814	4	24
20000926	-80.528	-16.006	5	90
27/09/2000	-88.154	-2.59	4	27
20001003	-80.694	-3.733	2	151
20001005	-72.088	-3.521	2	92
05/10/2000	-89.781	-14.286	5	178
07/10/2000	-72.719	-4.909	1	195
07/10/2000	-73.285	-15.786	3	177
20001010	-74.911	-4.428	1	32
20001010	-74.649	-10.398	3	145
11/10/2000	-73.281	-15.37	5	72
13/10/2000	-79.248	-6.823	5	96
14/10/2000	-87.458	-12.091	5	14
20001016	-73.599	-9.082	2	115
16/10/2000	-83.261	-16.562	3	98
20001017	-74.665	-8.363	2	116
21/10/2000	-80.894	-4.552	2	27
23/10/2000	-89.769	-14.457	1	194
01/11/2000	-71.14	-6.002	2	122
20001103	-83.084	-4.994	4	134
04/11/2000	-75.997	-5.116	1	42
05/11/2000	-78.867	-4.663	3	94
06/11/2000	-79.533	-7.615	5	103
07/11/2000	-76.587	-9.6	2	52
10/11/2000	-72.362	-15.367	2	175
13/11/2000	-80.4	-14.616	3	50
14/11/2000	-78.84	-6.808	2	148
22/11/2000	-85.419	-8.547	1	151
24/11/2000	-82.609	-3.497	5	195
20001127	-82.073	-14.242	2	154
15/12/2000	-87.249	-15.787	2	53
20001218	-84.853	-14.425	3	37
18/12/2000	-74.282	-13.627	4	199
20/12/2000	-72.581	-5.845	4	183
21/12/2000	-83.81	-5.517	5	51
23/12/2000	-79.997	-12.736	3	116
20001226	-85.548	-4.74	2	4
26/12/2000	-86.713	-16.328	5	3
26/12/2000	-88.112	-7.898	5	193
20001227	-83.773	-14.753	5	30
20010101	-80.265	-3.783	1	151
02/01/2001	-74.124	-9.6	2	9
06/01/2001	-83.277	-9.404	2	34
08/01/2001	-76.982	-14.798	3	190
15/01/2001	-88.464	-9.664	4	4
16/01/2001	-74.017	-8.841	2	159
20010119	-83.915	-14.338	5	199
20/01/2001	-70.668	-15.155	2	197
20/01/2001	-73.147	-13.156	4	130
23/01/2001	-70.058	-11.519	4	25
24/01/2001	-72.325	-6.313	2	179
20010124	-70.344	-2.887	2	118
25/01/2001	-77.235	-6.269	4	152
20010201	-74.217	-6.239	4	86
20010208	-81.864	-10.43	5	188
09/02/2001	-82.587	-15.08	4	124
20010210	-77.137	-2.448	5	12
12/02/2001	-89.332	-12.529	2	98
14/02/2001	-72.501	-12.665	3	4
14/02/2001	-85.12	-17.453	5	153
20010217	-88.377	-7.495	4	96
20/02/2001	-78.751	-13.506	1	32
23/02/2001	-87.566	-14.792	2	104
25/02/2001	-74.29	-13.409	2	153
27/02/2001	-73.562	-5.996	3	4
03/03/2001	-77.951	-13.405	1	182
20010305	-72.949	-17.032	3	38
20010305	-75.827	-2.489	3	172
07/03/2001	-73.208	-3.926	1	5
20010308	-85.279	-10.795	1	133
08/03/2001	-85.872	-3.063	4	42
20010308	-72.877	-9.309	5	90
20010311	-84.052	-10.143	3	179
20010314	-74.702	-16.149	1	4
14/03/2001	-88.893	-4.902	4	15
20010314	-89.687	-16.726	5	184
15/03/2001	-86.81	-9.923	3	152
16/03/2001	-75.533	-10.741	3	60
20010319	-88.685	-6.768	3	47
20010325	-74.591	-7.114	1	103
25/03/2001	-75.102	-3.987	1	159
28/03/2001	-73.587	-11.378	5	86
20010404	-71.36	-14.962	1	40
07/04/2001	-81.872	-13.111	2	172
07/04/2001	-79.944	-16.713	4	158
20010409	-89.417	-15.527	2	19
10/04/2001	-76.06	-7.531	4	131
14/04/2001	-82.902	-8.601	4	93
15/04/2001	-81.734	-15.665	1	111
20010415	-76.49	-14.326	2	195
16/04/2001	-79.845	-5.991	4	31
17/04/2001	-80.177	-2.798	1	127
19/04/2001	-89.703	-5.477	3	46
20010421	-79.152	-13.895	1	81
20010424	-79.741	-2.262	3	24
20010424	-73.242	-17.199	4	32
26/04/2001	-80.589	-7.114	3	46
27/04/2001	-87.838	-14.183	5	65
20010428	-84.317	-15.848	5	40
02/05/2001	-73.572	-3.228	3	67
02/05/2001	-89.59	-9.262	4	136
20010502	-71.793	-15.479	5	61
05/05/2001	-85.969	-13.584	5	22
06/05/2001	-81.028	-6.77	5	89
20010507	-82.721	-5.899	5	122
09/05/2001	-86.485	-4.017	2	50
20010514	-83.09	-16.016	1	91
18/05/2001	-72.656	-3.693	1	187
19/05/2001	-80.54	-14.934	2	21
20/05/2001	-85.468	-7.493	4	158
22/05/2001	-78.881	-15.326	1	194
22/05/2001	-75.167	-5.374	2	120
22/05/2001	-84.619	-5.446	4	72
20010522	-75.848	-12.159	4	110
20010525	-71.464	-2.131	1	181
26/05/2001	-79.493	-10.323	4	176
20010528	-81.644	-16.433	5	126
07/06/2001	-70.87	-17.115	5	3
09/06/2001	-82.934	-16.086	1	103
10/06/2001	-89.512	-2.736	2	142
10/06/2001	-84.578	-3.642	4	134
15/06/2001	-71.974	-13.546	2	68
24/06/2001	-72.78	-15.341	4	115
25/06/2001	-82.196	-2.666	1	196
25/06/2001	-87.736	-14.545	4	9
28/06/2001	-86.865	-15.931	4	193
02/07/2001	-71.996	-9.724	5	133
03/07/2001	-75.297	-10.359	5	122
06/07/2001	-81.966	-12.522	2	73
09/07/2001	-80.027	-16.985	4	61
10/07/2001	-88.985	-9.278	4	124
11/07/2001	-71.782	-9.097	5	9
15/07/2001	-83.017	-13.019	1	63
21/07/2001	-83.341	-16.808	4	154
20010727	-80.506	-6.318	1	53
20010802	-74.568	-12.042	2	169
06/08/2001	-84.424	-13.453	1	196
20010807	-73.237	-10.832	4	41
11/08/2001	-70.998	-16.081	3	124
13/08/2001	-88.038	-12.437	3	152
16/08/2001	-72.578	-6.346	2	162
20010816	-74.01	-12.444	3	54
19/08/2001	-80.496	-10.196	5	29
20010826	-72.827	-4.487	1	197
01/09/2001	-77.037	-12.541	3	39
04/09/2001	-73.535	-9.371	3	129
20010906	-75.469	-15.196	1	16
20010908	-89.911	-7.542	5	133
20010911	-82.682	-6.562	2	48
13/09/2001	-77.576	-9.549	1	26
20010917	-78.113	-4.795	2	17
17/09/2001	-83.962	-12.872	4	158
18/09/2001	-85.055	-2.983	2	122
20010922	-74.651	-7.658	1	153
22/09/2001	-70.405	-15.043	1	140
23/09/2001	-76.092	-17.824	4	61
01/10/2001	-86.608	-4.383	1	168
09/10/2001	-70.154	-3.329	5	133
11/10/2001	-86.656	-14.424	1	21
20011016	-78.127	-8.239	3	21
19/10/2001	-73.638	-14.678	1	132
20011019	-83.997	-6.33	2	79
20011021	-70.402	-5.533	1	158
20011021	-83.04	-8.105	2	76
22/10/2001	-84.335	-16.657	4	161
20011023	-72.253	-15.724	2	155
25/10/2001	-85.101	-5.789	4	43
20011104	-75.281	-2.085	3	193
10/11/2001	-80.36	-7.56	3	65
12/11/2001	-84.241	-14.149	2	142
12/11/2001	-73.843	-2.428	5	163
20011115	-84.203	-4.211	3	67
17/11/2001	-75.451	-13.634	4	166
20/11/2001	-77.213	-5.409	4	32
21/11/2001	-89.974	-11.411	5	89
20011123	-70.886	-8.369	2	167
24/11/2001	-72.572	-17.619	4	153
28/11/2001	-76.305	-8.585	4	43
20011128	-84.604	-15.4	5	51
20011202	-76.323	-7.215	4	4
03/12/2001	-72.608	-9.666	1	174
20011204	-80.358	-17.421	1	168
14/12/2001	-73.353	-8.231	1	4
20011214	-72.352	-8.068	3	64
20011217	-75.171	-13.835	2	98
17/12/2001	-72.831	-14.768	2	103
18/12/2001	-76.026	-12.522	3	25
20011220	-74.245	-12.552	4	123
24/12/2001	-78.264	-2.825	2	113
20011224	-89.603	-11.328	4	86
27/12/2001	-81.087	-15.622	4	159
20020106	-89.615	-17.06	2	114
20020107	-74.291	-14.822	3	160
10/01/2002	-88.602	-13.309	4	45
20020111	-72.93	-10.172	5	124
20020112	-76.2	-4.077	1	184
12/01/2002	-81.754	-3.338	2	58
13/01/2002	-81.549	-2.104	4	73
20020117	-73.549	-9.946	5	51
18/01/2002	-86.932	-5.295	2	23
18/01/2002	-88.052	-12.899	3	177
24/01/2002	-84.08	-5.107	3	119
25/01/2002	-85.937	-12.578	1	163
27/01/2002	-82.133	-5.574	5	44
20020128	-86.383	-8.581	5	30
01/02/2002	-77.04	-5.933	4	200
20020201	-84.227	-2.633	4	111
03/02/2002	-89.702	-2.748	5	127
20020204	-79.637	-9.899	1	140
07/02/2002	-85.255	-5.891	4	169
08/02/2002	-79.015	-16.51	5	44
10/02/2002	-80.139	-10.826	5	12
20020214	-85.12	-15.186	3	95
25/02/2002	-73.119	-2.453	2	1
25/02/2002	-75.451	-9.619	3	59
03/03/2002	-74.507	-11.425	5	144
04/03/2002	-83.655	-5.679	4	12
05/03/2002	-70.91	-14.15	5	106
20020305	-79.818	-16.614	5	114
08/03/2002	-70.399	-10.114	5	67
09/03/2002	-87.136	-10.522	4	157
13/03/2002	-89.502	-6.946	2	79
16/03/2002	-86.134	-7.493	5	122
18/03/2002	-86.982	-6.593	2	59
19/03/2002	-72.733	-5.141	3	90
20020322	-74.036	-14.368	2	54
02/04/2002	-76.967	-8.983	2	149
20020405	-76.283	-9.971	1	87
07/04/2002	-81.304	-13.177	4	196
09/04/2002	-75.036	-6.477	4	78
20020410	-76.968	-15.619	1	90
20020411	-71.632	-6.925	4	110
20020412	-85.851	-2.144	1	4
20020414	-84.08	-2.41	2	42
20020418	-75.78	-12.258	1	152
18/04/2002	-79.136	-16.077	3	179
19/04/2002	-74.297	-3.947	1	36
20020421	-78.885	-16.043	2	131
22/04/2002	-88.739	-2.697	2	172
20020422	-79.828	-5.158	3	137
20020424	-79.286	-10.457	3	123
28/04/2002	-71.45	-6.49	3	195
03/05/2002	-86.406	-12.375	5	63
06/05/2002	-82.494	-15.953	1	37
07/05/2002	-83.225	-13.354	2	162
08/05/2002	-86.196	-13.851	4	137
09/05/2002	-75.175	-11.671	4	79
09/05/2002	-71.737	-16.781	5	14
17/05/2002	-70.291	-15.978	4	135
20020517	-86.077	-9.772	4	49
19/05/2002	-83.403	-16.702	1	185
24/05/2002	-75.022	-12.107	5	96
25/05/2002	-88.212	-3.418	5	130
27/05/2002	-82.787	-16.996	3	195
03/06/2002	-86.533	-14.277	3	170
20020603	-70.773	-7.431	5	28
03/06/2002	-71.744	-17.435	5	169
14/06/2002	-79.841	-14.918	4	28
15/06/2002	-79.403	-5.94	2	15
17/06/2002	-83.991	-15.047	3	13
21/06/2002	-78.407	-6.96	4	178
20020625	-75.953	-15.676	4	54
26/06/2002	-71.8	-6.932	1	90
27/06/2002	-73.588	-9.099	3	68
09/07/2002	-79.553	-9.034	5	73
20020714	-75.301	-3.803	3	21
20020716	-70.76	-7.736	4	26
20020718	-82.255	-6.122	3	33
20/07/2002	-81.803	-6.832	1	195
25/07/2002	-75.677	-17.208	1	107
20020725	-71.977	-11.073	3	149
28/07/2002	-75.573	-15.822	1	164
04/08/2002	-75.215	-15.802	3	198
07/08/2002	-78.422	-7.127	1	6
15/08/2002	-80.231	-12.259	3	78
20020817	-78.35	-6.424	4	164
20020819	-74.908	-15.211	3	130
20/08/2002	-84.039	-15.494	3	79
20/08/2002	-84.947	-10.697	4	68
20020822	-84.423	-12.198	2	144
23/08/2002	-78.116	-14.017	1	43
20020823	-80.926	-12.259	4	83
24/08/2002	-85.568	-14.652	3	156
06/09/2002	-79.198	-10.525	5	98
20020907	-79.443	-4.763	5	93
20020922	-83.688	-14.756	2	40
20020923	-76.173	-16.021	4	72
20020927	-75.128	-5.585	1	159
01/10/2002	-85.978	-16.52	1	148
02/10/2002	-72.018	-3.309	1	94
08/10/2002	-89.033	-8.453	4	197
09/10/2002	-89.874	-11.844	1	95
10/10/2002	-70.18	-17.055	1	155
20021013	-81.504	-11.093	4	69
13/10/2002	-76.192	-10.784	5	109
20021017	-88.94	-10.023	1	191
18/10/2002	-77.605	-8.539	2	50
19/10/2002	-77.884	-16.016	5	193
25/10/2002	-88.321	-12.995	1	56
28/10/2002	-71.928	-6.117	5	103
08/11/2002	-78.351	-3.346	5	123
20021109	-76.603	-10.196	5	69
20021113	-71.182	-9.072	4	47
20021114	-81.163	-17.107	3	87
20021115	-81.523	-2.09	2	80
18/11/2002	-70.163	-12.223	4	10
21/11/2002	-88.268	-2.745	5	157
20021127	-80.265	-12.448	5	165
02/12/2002	-70.822	-17.185	3	115
20021206	-78.763	-13.52	1	167
06/12/2002	-85.717	-15.769	2	103
06/12/2002	-70.837	-8.675	2	99
20021208	-89.971	-11.724	1	127
08/12/2002	-78.722	-17.332	3	141
20021211	-78.838	-15.869	3	195
11/12/2002	-88.669	-5.952	5	97
13/12/2002	-88.181	-13.397	3	119
20021216	-77.788	-4.296	3	166
20021216	-74.179	-13.893	4	167
17/12/2002	-84.413	-4.997	5	101
23/12/2002	-83.593	-16.193	3	144
20030111	-71.565	-15.969	4	46
20030119	-88.487	-12.803	5	141
20/01/2003	-83.161	-3.999	1	121
20030121	-83.168	-9.223	1	198
20030124	-73.031	-16.147	2	119
20030201	-85.591	-9.689	1	62
20030202	-89.337	-8.739	5	106
05/02/2003	-73.577	-4.195	4	138
06/02/2003	-87.292	-17.64	1	76
06/02/2003	-75.118	-11.632	3	90
09/02/2003	-74.052	-10.942	5	55
10/02/2003	-88.716	-9.036	3	2
12/02/2003	-74.455	-14.289	5	153
13/02/2003	-81.453	-9.652	2	103
13/02/2003	-79.827	-15.116	5	101
20030214	-78.633	-4.273	2	148
14/02/2003	-85.449	-13.276	3	7
15/02/2003	-70.177	-13.744	4	180
15/02/2003	-78.841	-15.451	5	57
17/02/2003	-88.913	-13.832	3	36
18/02/2003	-83.663	-9.872	1	66
18/02/2003	-71.721	-4.201	2	197
21/02/2003	-77.224	-6.733	2	19
20030222	-76.178	-10.614	2	110
20030225	-79.795	-9.9	4	190
20030301	-89.546	-10.729	3	70
01/03/2003	-85.372	-16.996	5	75
03/03/2003	-75.987	-2.656	5	89
20030306	-88.071	-12.999	1	71
20030307	-77.433	-3.931	3	56
20030309	-72.852	-16.955	5	155
10/03/2003	-78.054	-6.737	3	20
10/03/2003	-82.33	-2.443	3	58
11/03/2003	-84.646	-13.709	5	200
12/03/2003	-71.799	-16.322	5	86
17/03/2003	-71.472	-11.508	2	60
17/03/2003	-82.959	-8.514	2	34
20030327	-83.267	-15.708	2	197
27/03/2003	-77.757	-4.499	3	119
28/03/2003	-74.945	-16.42	4	48
20030401	-71.423	-12.635	4	18
20030402	-83.849	-2.271	1	54
04/04/2003	-88.809	-6.718	3	172
05/04/2003	-87.19	-5.495	5	68
06/04/2003	-74.927	-17.555	3	148
20030407	-70.686	-6.01	3	183
20030408	-89.16	-12.001	5	182
20030409	-77.837	-2.085	4	22
11/04/2003	-74.467	-10.68	3	176
20030414	-85.205	-5.845	1	8
14/04/2003	-80.207	-16.131	4	117
20030414	-79.485	-7.771	5	159
20030416	-72.38	-11.319	2	43
20030417	-72.549	-2.204	2	11
20030420	-86.746	-10.419	5	84
21/04/2003	-87.864	-14.2	2	0
21/04/2003	-77.578	-7.043	2	73
21/04/2003	-80.769	-8.697	4	39
22/04/2003	-82.939	-11.391	4	64
20030424	-89.639	-12.695	3	3
20030428	-79.754	-6.73	5	156
03/05/2003	-76.176	-4.964	2	5
20030505	-87.969	-16.187	2	164
10/05/2003	-76.397	-15.15	5	152
20030514	-78.817	-4.824	5	135
20030517	-71.731	-16.748	4	161
20/05/2003	-72.943	-11.757	1	30
25/05/2003	-78.015	-4.535	4	160
20030528	-86.422	-6.967	4	184
03/06/2003	-88.214	-16.907	4	24
03/06/2003	-78.091	-9.503	5	190
20030609	-87.165	-16.114	3	59
20030610	-76.808	-7.365	1	12
20030611	-70.102	-8.53	1	83
20030612	-71.216	-4.383	3	87
20030615	-89.88	-8.492	2	152
20030618	-79.153	-16.128	5	155
20030619	-81.917	-15.1	5	150
22/06/2003	-78.302	-2.693	1	87
28/06/2003	-80.135	-3.217	3	125
02/07/2003	-70.282	-8.336	4	43
02/07/2003	-88.835	-4.427	5	58
06/07/2003	-86.174	-16.831	3	140
11/07/2003	-80.078	-10.795	1	70
20030711	-84.808	-10.756	1	66
11/07/2003	-76.048	-6.849	4	131
20030711	-88.171	-6.013	5	2
12/07/2003	-89.571	-15.382	5	117
20030712	-88.704	-14.052	5	18
20030714	-82.539	-5.472	3	51
14/07/2003	-86.999	-7.306	5	13
20030718	-89.766	-15.242	3	62
20/07/2003	-81.738	-4.759	1	117
22/07/2003	-82.872	-2.271	1	10
20030722	-70.622	-12.673	3	48
25/07/2003	-74.242	-6.38	3	191
26/07/2003	-85.746	-4.554	2	88
28/07/2003	-82.446	-7.042	1	62
28/07/2003	-84.263	-14.155	1	185
01/08/2003	-84.138	-13.634	3	17
01/08/2003	-73.074	-8.736	4	65
07/08/2003	-71.282	-15.703	3	47
09/08/2003	-88.749	-15.897	3	23
10/08/2003	-89.772	-10.604	4	46
20030812	-86.768	-11.722	1	190
20030815	-83.149	-11.931	4	100
20030822	-71.2	-17.291	2	100
20030822	-83.796	-9.63	3	29
20030823	-75.881	-11.699	1	42
20030826	-77.37	-7.962	2	72
26/08/2003	-78.317	-13.671	5	179
20030826	-81.608	-5.027	5	151
01/09/2003	-80.902	-8.221	1	145
06/09/2003	-77.955	-11.557	1	48
07/09/2003	-79.961	-4.135	1	54
08/09/2003	-76.776	-13.824	1	138
20030910	-81.362	-3.137	3	86
12/09/2003	-77.097	-15.917	3	109
13/09/2003	-70.421	-16.067	2	78
13/09/2003	-84.427	-3.209	5	103
14/09/2003	-86.935	-3.163	2	39
20030921	-78.221	-13.398	2	186
22/09/2003	-72.058	-11.255	2	119
20030923	-79.04	-4.788	3	184
23/09/2003	-89.582	-15.725	5	105
23/09/2003	-70.305	-3.888	5	20
24/09/2003	-77.562	-16.643	1	135
25/09/2003	-74.982	-5.775	4	31
03/10/2003	-86.871	-7.426	4	118
04/10/2003	-87.07	-12.769	5	10
20031008	-85.128	-9.397	1	39
20031014	-72.686	-5.4	2	174
14/10/2003	-81.648	-13.877	4	182
20031018	-76.084	-15.691	2	73
20031020	-80.441	-13.341	5	191
20031022	-75.851	-17.544	2	185
20031023	-89.337	-5.429	3	87
25/10/2003	-85.087	-13.822	4	195
20031027	-89.94	-16.889	2	108
04/11/2003	-81.379	-15.247	1	107
20031110	-74.481	-6.98	5	83
20031111	-82.713	-5.284	2	161
20031114	-82.835	-17.979	1	19
16/11/2003	-70.144	-7.954	2	161
16/11/2003	-77	-12.161	3	123
20031118	-77.698	-9.265	2	43
20031119	-84.807	-12.865	4	39
21/11/2003	-72.292	-6.493	3	190
20031123	-77.664	-16.667	4	12
20031123	-77.916	-3.493	5	17
25/11/2003	-85.45	-5.644	4	70
27/11/2003	-88.115	-16.624	2	117
27/11/2003	-75.894	-3.859	4	170
28/11/2003	-75.823	-10.004	2	16
20031201	-80.518	-17.711	2	82
02/12/2003	-87.132	-15.036	5	31
20031206	-81.215	-6.067	1	26
10/12/2003	-71.144	-16.063	5	112
12/12/2003	-73.42	-14.714	5	69
20/12/2003	-79.227	-5.166	3	123
20031222	-87.175	-17.292	3	12
25/12/2003	-83.13	-12.647	1	76
20031226	-76.785	-7.481	2	18
20031227	-73.658	-11.527	1	24
20040104	-76.975	-4.579	3	124
20040106	-88.647	-16.005	1	18
10/01/2004	-85.587	-6.734	3	105
20040111	-82.974	-5.218	2	107
20040114	-76.774	-2.201	3	183
15/01/2004	-70.166	-15.504	5	184
15/01/2004	-78.869	-7.522	5	135
20040116	-87.921	-13.899	1	113
20040117	-78.182	-3.499	1	28
17/01/2004	-86.315	-6.058	1	163
18/01/2004	-72.108	-9.501	4	184
20040121	-88.204	-4.986	4	79
28/01/2004	-78.9	-17.612	3	50
20040128	-75.208	-7.709	5	126
20040201	-78.588	-14.878	3	71
04/02/2004	-79.933	-5.506	5	166
06/02/2004	-80.671	-6.699	5	144
08/02/2004	-80.683	-10.327	1	153
20040209	-85.876	-2.864	2	181
10/02/2004	-86.305	-7.717	1	65
20040212	-84.39	-9.213	4	31
13/02/2004	-85.55	-13.098	1	176
19/02/2004	-74.856	-7.955	3	44
21/02/2004	-78.785	-16.18	4	127
21/02/2004	-76.377	-5.62	4	10
22/02/2004	-75.895	-8.81	1	116
24/02/2004	-74.863	-5.786	1	95
25/02/2004	-76.063	-11.326	4	20
28/02/2004	-75.94	-14.871	1	90
05/03/2004	-86.519	-12.092	4	134
20040307	-80.933	-8.262	1	179
20040312	-86.48	-5.746	2	160
13/03/2004	-80.812	-16.113	1	32
13/03/2004	-70.612	-2.568	1	87
14/03/2004	-81.325	-3.267	4	24
15/03/2004	-87.338	-12.919	2	2
20040318	-73.869	-7.039	1	95
18/03/2004	-81.195	-3.487	4	142
18/03/2004	-80.14	-13.82	4	19
20/03/2004	-83.72	-13.498	1	11
20/03/2004	-74.576	-8.507	2	4
20040320	-71.468	-5.143	5	38
25/03/2004	-72.074	-2.37	3	54
25/03/2004	-75.523	-12.227	3	17
28/03/2004	-76.205	-14.938	4	33
20040402	-73.061	-4.31	5	182
20040403	-88.508	-14.681	5	179
05/04/2004	-79.053	-8.477	5	29
07/04/2004	-80.307	-14.52	4	185
08/04/2004	-86.99	-16.597	1	72
08/04/2004	-77.182	-3.79	3	97
08/04/2004	-83.898	-9.754	5	67
18/04/2004	-88.222	-7.167	1	158
23/04/2004	-82.585	-3.014	3	10
20040427	-76.742	-17.687	4	187
20040427	-89.302	-5.597	5	15
20040501	-83.769	-6.252	5	27
09/05/2004	-73.157	-12.454	3	177
10/05/2004	-78.591	-9.166	4	136
11/05/2004	-84.558	-9.905	2	3
20040515	-83.239	-15.19	2	149
16/05/2004	-86.74	-4.052	3	124
16/05/2004	-74.638	-12.775	4	148
16/05/2004	-78.003	-9.847	5	173
19/05/2004	-84.985	-3.869	2	53
20040522	-89.143	-3.261	1	48
23/05/2004	-79.735	-14.94	4	41
24/05/2004	-88.849	-4.084	3	199
26/05/2004	-72.678	-12.886	3	161
28/05/2004	-73.3	-11.546	3	200
04/06/2004	-82.661	-12.013	2	163
05/06/2004	-75.684	-11.862	5	198
06/06/2004	-78.089	-8.414	3	192
19/06/2004	-89.885	-6.258	5	105
20/06/2004	-82.231	-16.821	2	107
21/06/2004	-79.847	-4.848	3	76
24/06/2004	-85.798	-2.096	4	82
20040626	-87.311	-17.96	5	150
27/06/2004	-87.18	-4.936	3	174
20040703	-80.003	-4.862	4	157
04/07/2004	-84.609	-10.358	4	50
20040707	-75.234	-7.639	5	100
15/07/2004	-78.423	-2.386	2	55
18/07/2004	-84.327	-13.292	2	83
20040719	-89.856	-17.509	2	70
20040723	-85.263	-4.721	3	131
20040724	-74.963	-3.439	3	185
25/07/2004	-75.742	-17.107	3	87
28/07/2004	-79.291	-15.327	1	162
03/08/2004	-86.206	-8.098	3	190
04/08/2004	-88.565	-2.627	4	59
20040804	-72.343	-12.259	4	59
06/08/2004	-87.356	-13.787	3	66
20040806	-74.914	-7.847	5	36
08/08/2004	-85.486	-12.295	2	158
20040808	-86.994	-11.634	5	140
12/08/2004	-81.155	-12.632	1	57
20040812	-78.104	-15.323	5	11
14/08/2004	-86.336	-10.324	3	156
17/08/2004	-78.858	-11.734	4	115
18/08/2004	-71.313	-15.011	2	105
24/08/2004	-74.117	-14.827	1	3
20040824	-84.496	-14.205	4	194
