"date","A","B","C","D","E","F","G","H","I","J","K","L","M"
2015-03-05,66,621,504,566,692,284,0,435,815,471,806,637,506
2015-03-05,588,317,287,572,589,529,296,595,475,585,381,391,0
2015-03-05,30,552,304,850,0,421,0,332,207,821,58,89,641
2015-03-05,727,286,805,0,487,747,521,496,172,699,334,402,629
2015-03-06,1040,610,77,514,318,0,639,767,596,594,90,235,673
2015-03-06,511,0,244,210,102,432,348,189,345,182,605,305,84
2015-03-06,422,459,814,3,301,443,588,481,513,552,430,533,786
2015-03-06,528,449,473,383,558,612,768,506,608,523,1087,431,198
2015-03-06,1027,662,332,608,369,214,715,105,708,141,300,400,229
2015-03-06,369,406,700,294,355,520,159,398,822,246,396,262,0
2015-03-06,448,555,51,482,599,0,393,707,655,436,544,503,503
2015-03-06,841,239,622,0,756,707,340,507,716,572,583,501,455
2015-03-06,445,198,316,108,405,652,631,334,550,58,479,378,1002
2015-03-06,496,0,710,222,366,599,755,865,580,704,297,367,780
2015-03-06,305,176,756,424,910,376,20,185,533,466,258,537,237
2015-03-06,256,478,325,701,692,472,495,1025,391,0,796,257,0
2015-03-06,527,106,841,225,177,464,191,385,640,469,987,0,851
2015-03-07,747,357,477,760,250,409,708,45,646,269,196,717,96
2015-03-07,526,240,491,407,567,565,321,148,482,22,407,338,283
2015-03-07,586,165,283,394,583,561,723,919,549,697,524,381,863
2015-03-07,206,961,216,0,504,428,236,0,576,164,554,782,356
2015-03-07,854,492,604,827,392,565,555,223,384,637,463,188,1075
2015-03-07,551,433,187,405,447,199,482,1004,127,777,721,406,577
2015-03-07,430,991,66,114,717,413,64,781,191,576,657,383,608
2015-03-07,296,997,616,242,113,38,734,581,93,412,483,288,433
2015-03-07,805,678,703,670,275,642,229,527,734,559,1302,122,253
2015-03-07,456,254,447,799,210,405,781,823,572,235,532,696,278
2015-03-08,0,214,380,370,199,249,601,221,989,717,410,565,415
2015-03-08,0,511,872,108,761,814,671,826,409,782,563,191,152
2015-03-08,871,686,593,673,469,248,393,561,124,533,278,473,630
2015-03-08,474,565,318,662,1044,660,710,865,339,287,267,384,41
2015-03-08,612,124,498,261,440,433,563,149,67,586,454,97,157
2015-03-08,781,476,79,694,526,249,542,82,419,503,215,751,708
2015-03-08,305,403,332,480,5,292,511,227,614,615,196,398,729
2015-03-08,557,401,109,357,254,460,292,464,117,46,361,564,219
2015-03-08,492,765,0,56,649,897,133,457,100,239,524,505,322
2015-03-08,980,252,453,748,95,361,698,711,920,463,208,764,410
2015-03-08,295,474,479,431,769,738,748,704,779,458,523,403,779
2015-03-08,509,758,878,941,300,622,362,304,627,69,474,797,485
2015-03-09,911,495,516,595,448,126,1029,432,793,380,498,269,422
2015-03-09,498,217,15,245,101,388,234,369,0,275,865,579,601
2015-03-09,730,803,511,592,249,262,184,248,425,458,583,484,652
2015-03-09,294,347,403,231,409,406,313,54,532,205,562,360,663
2015-03-09,313,877,655,608,656,812,258,303,117,188,478,459,582
2015-03-09,55,522,221,346,368,510,650,528,231,368,666,443,0
2015-03-09,80,452,393,511,202,823,693,340,386,215,592,413,568
2015-03-09,248,501,853,667,864,850,628,635,459,245,373,280,491
2015-03-09,145,775,767,462,978,0,578,323,344,454,0,27,322
2015-03-09,120,578,416,601,181,771,528,294,666,495,491,385,119
2015-03-09,498,506,508,181,728,342,440,652,812,589,710,160,681
2015-03-10,337,483,231,143,372,365,0,223,640,216,0,473,502
2015-03-10,487,554,325,345,418,637,465,562,421,256,926,1005,505
2015-03-10,16,0,695,341,196,427,356,820,424,126,189,445,140
2015-03-10,661,707,289,657,808,302,0,693,540,529,866,393,302
2015-03-10,656,64,813,716,523,426,554,710,311,822,228,197,619
2015-03-10,497,498,781,621,615,1332,26,104,530,730,560,703,799
2015-03-10,0,439,532,345,140,715,840,512,411,389,156,443,496
2015-03-10,661,502,524,243,348,609,508,561,102,515,1048,567,330
2015-03-10,536,358,0,555,0,1134,448,426,385,604,113,387,18
2015-03-10,365,801,381,27,322,682,618,353,690,364,927,0,945
2015-03-10,526,555,594,745,1169,272,782,209,399,207,667,0,540
2015-03-10,266,344,433,588,237,439,463,756,248,748,393,405,270
2015-03-11,97,696,483,411,706,261,724,1249,389,896,242,622,439
2015-03-11,582,508,0,664,108,167,786,153,286,814,412,549,464
2015-03-11,546,386,630,593,182,896,567,647,410,652,548,385,539
2015-03-11,322,398,0,612,549,482,632,47,0,578,698,630,286
2015-03-11,547,302,629,654,755,125,612,380,617,1026,728,112,661
2015-03-11,973,795,396,369,251,192,976,232,135,354,317,340,502
2015-03-11,99,413,561,125,443,531,363,0,467,704,646,579,564
2015-03-11,784,242,379,694,613,172,138,479,386,374,347,323,842
2015-03-11,631,286,594,751,827,142,362,374,713,400,11,679,302
2015-03-11,244,0,720,117,616,486,290,565,311,475,475,278,377
2015-03-11,475,346,596,454,543,173,730,424,914,833,385,1131,325
2015-03-11,612,709,475,437,110,494,392,898,342,473,1042,546,432
2015-03-11,826,448,903,477,446,219,640,659,532,465,577,486,134
2015-03-11,650,428,517,646,732,606,825,713,353,684,250,341,160
2015-03-11,527,313,55,320,254,625,664,606,333,380,6,676,146
2015-03-11,336,0,582,714,405,492,0,604,420,509,81,438,780
2015-03-11,504,118,396,348,272,400,613,557,276,587,399,173,124
2015-03-11,850,732,0,138,278,76,650,273,614,734,288,592,280
2015-03-12,0,547,626,593,747,786,493,383,488,773,239,409,771
2015-03-12,198,347,341,424,198,170,150,508,595,715,613,589,679
2015-03-12,594,706,429,341,605,897,543,605,515,468,747,328,224
2015-03-12,731,904,73,669,394,540,576,349,583,711,348,775,641
2015-03-12,214,214,598,511,645,568,520,629,606,576,0,489,473
2015-03-12,456,561,671,361,295,590,503,566,793,370,910,956,284
2015-03-12,345,485,258,465,166,130,589,0,329,539,833,239,535
2015-03-12,811,365,0,55,149,145,202,532,166,374,667,688,341
2015-03-12,73,394,455,429,289,655,572,606,549,456,525,238,510
2015-03-12,479,745,709,445,936,377,78,681,781,240,80,468,675
2015-03-12,728,985,195,602,502,770,707,291,731,503,649,863,488
2015-03-12,303,684,369,477,468,453,178,568,442,699,226,675,515
2015-03-12,673,577,367,677,333,534,659,484,447,546,969,415,537
2015-03-12,412,402,118,708,656,373,88,523,610,217,0,545,351
2015-03-12,462,469,155,504,618,603,29,0,369,462,470,144,336
2015-03-12,738,0,287,287,689,100,624,623,583,411,47,529,376
2015-03-12,262,569,606,488,539,520,797,285,642,426,470,934,607
2015-03-12,255,1023,805,328,721,395,418,461,856,163,0,444,1067
2015-03-12,724,183,456,509,464,219,65,516,554,621,36,437,706
2015-03-12,304,214,0,552,379,573,573,0,1000,497,259,579,324
2015-03-12,1260,636,346,220,329,418,496,113,608,746,483,455,579
2015-03-12,906,643,167,461,915,280,588,672,542,358,305,216,0
2015-03-12,412,406,522,263,435,338,390,540,1090,467,594,444,614
2015-03-13,319,281,221,988,544,610,267,275,641,549,0,657,359
2015-03-13,830,200,508,653,430,891,797,509,317,611,288,513,497
2015-03-13,815,538,517,553,327,450,519,771,430,964,0,468,681
2015-03-13,260,62,641,448,508,582,584,1121,585,714,507,715,634
2015-03-13,652,303,917,0,417,234,730,353,163,232,383,193,259
2015-03-13,644,380,364,434,238,350,648,744,516,293,390,538,726
2015-03-13,264,278,449,542,580,396,716,254,595,0,64,354,166
2015-03-13,215,231,81,659,0,0,645,461,891,361,465,18,520
2015-03-13,557,375,479,860,572,350,392,413,276,302,998,130,274
2015-03-13,0,755,426,282,409,0,0,527,433,748,290,0,892
2015-03-13,221,227,526,215,134,547,553,595,152,216,198,98,378
2015-03-13,757,680,907,28,326,300,0,444,653,733,765,460,215
2015-03-13,746,388,849,75,392,577,0,509,424,317,671,364,433
2015-03-13,473,477,239,843,276,547,242,507,275,458,388,491,802
2015-03-13,705,504,98,769,588,432,584,153,718,477,340,360,412
2015-03-13,506,618,894,516,668,527,709,299,253,222,461,613,379
2015-03-13,527,203,580,343,942,631,79,601,535,579,467,323,423
2015-03-13,532,551,243,892,367,677,86,499,470,516,182,466,266
2015-03-14,1005,0,195,715,0,376,617,630,150,611,101,548,818
2015-03-14,604,374,159,549,24,197,531,489,355,1026,393,388,193
2015-03-14,741,529,301,398,810,442,618,542,525,552,841,660,267
2015-03-14,317,583,323,0,744,318,253,299,185,693,472,558,192
2015-03-14,846,210,516,708,465,621,529,475,492,658,340,733,642
2015-03-14,514,372,709,254,443,301,545,656,725,821,634,93,290
2015-03-14,515,349,0,422,205,436,732,371,226,931,596,675,688
2015-03-14,396,27,579,591,467,389,216,153,922,487,242,283,682
2015-03-14,805,483,473,493,334,198,1142,281,619,318,648,262,221
2015-03-14,401,490,642,352,487,447,67,619,316,544,381,0,638
2015-03-14,314,596,444,241,558,218,684,849,873,575,359,573,703
2015-03-14,230,429,244,489,957,656,332,558,491,233,212,649,997
2015-03-15,1027,348,486,496,525,447,524,630,0,0,483,123,812
2015-03-15,774,346,0,449,255,866,0,567,716,594,503,485,357
2015-03-15,518,463,793,1196,590,491,645,162,522,739,0,785,712
2015-03-15,603,538,0,695,566,312,267,593,328,435,0,211,337
2015-03-15,256,230,638,574,47,760,546,629,772,186,607,698,221
2015-03-15,813,714,545,334,781,443,523,517,669,116,456,112,595
2015-03-15,627,880,0,657,79,281,374,429,529,0,101,606,314
2015-03-15,292,62,356,546,369,436,489,130,92,544,830,304,410
2015-03-15,543,1021,515,627,679,792,13,248,526,0,1009,0,529
2015-03-15,0,786,649,51,60,500,1130,559,350,438,565,208,620
2015-03-15,244,524,223,341,87,383,313,165,488,727,73,507,458
2015-03-15,403,0,404,657,424,303,0,205,741,604,523,676,691
2015-03-15,834,32,812,562,434,370,263,375,449,413,267,373,342
2015-03-15,124,164,381,95,382,883,275,528,655,327,463,969,685
2015-03-15,935,692,396,564,336,499,0,219,567,285,436,987,296
2015-03-16,220,198,22,449,259,725,223,182,638,575,163,485,517
2015-03-16,380,129,198,120,321,583,649,717,373,609,801,553,347
2015-03-16,529,270,218,866,53,412,507,365,408,1053,797,512,607
2015-03-16,735,599,672,490,275,571,503,515,350,546,438,42,663
2015-03-16,859,606,518,131,540,379,345,376,498,967,353,591,493
2015-03-16,221,720,193,790,273,278,415,257,415,457,457,574,461
2015-03-16,281,40,434,437,324,428,290,565,561,442,520,734,504
2015-03-17,304,947,653,183,214,791,142,382,814,753,174,600,827
2015-03-17,830,0,518,619,576,48,365,589,494,560,566,486,587
2015-03-17,429,106,416,280,516,587,251,556,539,398,303,327,605
2015-03-17,166,585,756,953,639,0,577,0,422,479,680,255,160
2015-03-17,695,434,520,871,239,620,76,0,676,532,100,535,875
2015-03-17,647,510,339,243,416,761,502,334,598,431,171,11,231
2015-03-17,109,381,748,284,491,387,709,862,501,215,354,0,690
2015-03-17,366,763,469,486,610,561,773,439,511,256,437,310,214
2015-03-17,586,678,624,161,0,510,426,261,807,931,649,0,746
2015-03-17,814,177,482,735,579,567,607,181,119,288,136,437,567
2015-03-17,298,613,112,322,939,662,552,600,411,815,177,671,0
2015-03-17,626,585,759,257,565,299,484,187,743,556,310,752,513
2015-03-17,258,0,401,173,614,70,589,339,762,545,235,793,397
2015-03-17,644,0,343,445,563,858,481,261,700,425,157,409,749
2015-03-17,417,631,501,138,331,29,555,81,499,694,460,10,130
2015-03-17,561,140,577,479,674,160,491,198,229,420,278,169,663
2015-03-17,657,768,515,283,566,670,551,245,452,756,521,457,65
2015-03-18,298,206,302,44,957,433,185,802,515,161,821,433,356
2015-03-18,468,47,741,98,259,271,618,398,255,541,0,400,284
2015-03-18,300,1145,444,669,672,522,621,306,0,453,480,511,487
2015-03-18,315,432,428,822,416,153,727,443,496,495,758,692,590
2015-03-18,50,720,408,862,324,82,279,268,610,489,512,338,305
2015-03-18,705,508,594,182,815,582,340,599,470,355,246,654,695
2015-03-18,681,514,298,291,560,556,538,240,710,545,567,632,710
2015-03-18,183,562,260,242,418,839,311,129,497,595,359,621,298
2015-03-18,282,425,0,332,190,580,595,206,677,399,1036,281,323
2015-03-18,747,399,393,634,471,447,261,538,224,528,168,454,0
2015-03-18,204,596,155,268,377,361,399,195,490,342,132,1056,260
2015-03-18,626,300,1063,133,408,781,585,180,852,297,8,216,523
2015-03-18,618,336,558,848,0,6,598,636,672,150,463,261,275
2015-03-19,0,424,619,664,441,581,717,510,597,131,444,393,221
2015-03-19,320,358,450,0,286,448,770,507,194,541,631,437,244
2015-03-19,578,706,587,0,521,401,132,177,370,546,23,640,766
2015-03-19,98,605,579,74,342,145,448,473,99,603,172,705,719
2015-03-19,223,429,444,528,220,436,137,522,930,239,334,0,234
2015-03-19,350,373,222,491,797,451,159,359,379,520,404,475,136
2015-03-19,445,702,165,285,370,677,568,176,165,177,508,392,526
2015-03-19,485,541,648,126,204,992,420,619,582,853,665,219,157
2015-03-19,377,59,224,823,541,546,251,822,298,724,254,518,228
2015-03-19,752,408,671,736,436,657,0,183,485,480,283,724,394
2015-03-19,86,862,436,622,232,740,655,737,324,455,350,461,806
2015-03-20,525,466,355,513,698,287,735,465,14,943,783,207,643
2015-03-20,508,365,798,451,675,731,0,219,755,552,599,225,123
2015-03-20,235,218,840,375,336,132,504,180,822,511,288,88,648
2015-03-20,29,416,473,786,85,496,780,449,550,244,770,293,311
2015-03-20,535,613,313,566,400,430,749,601,588,13,455,571,195
2015-03-20,504,643,216,159,49,188,608,0,973,359,203,0,528
2015-03-20,227,430,553,546,655,694,720,682,521,343,399,642,328
2015-03-20,738,275,511,143,584,384,544,528,320,263,424,436,357
2015-03-20,853,400,416,726,340,396,506,762,405,489,593,249,970
2015-03-20,700,557,269,871,238,525,694,699,502,318,212,255,622
2015-03-20,284,905,331,0,1004,674,862,84,696,155,537,348,849
2015-03-20,294,52,470,72,499,451,824,716,0,838,544,511,587
2015-03-20,213,333,670,892,789,538,769,0,398,647,769,625,383
2015-03-20,541,656,748,168,975,402,602,544,707,14,359,362,470
2015-03-20,616,0,967,252,504,802,655,255,223,532,320,328,869
2015-03-21,627,350,154,251,357,853,10,130,995,770,662,507,332
2015-03-21,266,189,836,627,276,184,1249,533,83,502,756,557,540
2015-03-21,295,311,393,307,722,563,517,667,180,294,643,226,42
2015-03-21,490,415,538,0,522,204,802,626,486,367,209,468,226
2015-03-21,470,676,540,379,398,568,395,398,312,554,275,816,351
2015-03-21,493,421,256,828,724,217,637,443,1060,633,0,1040,1138
2015-03-21,313,565,674,647,634,0,680,193,816,483,488,611,341
2015-03-21,543,147,659,392,711,574,552,712,306,624,249,485,316
2015-03-21,688,697,130,731,75,403,931,457,0,373,240,790,370
2015-03-21,299,252,217,293,244,0,940,513,637,543,178,376,43
2015-03-21,713,174,202,348,770,908,785,554,596,382,630,0,667
2015-03-21,912,582,573,260,600,889,197,717,328,287,916,552,321
2015-03-22,193,144,508,385,911,832,135,682,306,0,425,323,609
2015-03-22,420,629,473,449,257,956,468,717,544,220,322,182,226
2015-03-22,163,651,405,255,266,563,484,904,743,557,282,516,220
2015-03-22,255,287,312,478,372,752,379,425,565,752,443,456,568
2015-03-22,596,794,518,540,1051,218,630,653,826,427,345,622,637
2015-03-22,350,730,205,262,226,279,539,686,728,902,480,570,353
2015-03-22,450,357,514,0,349,2,621,620,851,854,976,711,439
2015-03-22,670,467,666,445,455,473,209,582,262,920,0,247,507
2015-03-22,299,279,0,827,323,594,131,700,661,788,368,287,992
2015-03-22,705,381,1032,282,693,839,414,0,967,670,684,220,428
2015-03-22,175,215,439,422,248,500,289,543,619,440,387,511,353
2015-03-22,459,294,1223,837,313,313,644,390,735,611,772,592,544
2015-03-22,339,822,459,723,575,257,267,141,364,570,568,435,338
2015-03-22,254,402,659,707,429,0,631,223,419,560,636,393,183
2015-03-22,520,341,624,116,578,853,649,470,423,775,291,846,202
2015-03-22,1039,250,100,156,219,234,553,637,342,0,560,84,351
2015-03-22,385,360,355,631,655,137,295,244,352,722,281,597,870
2015-03-22,616,259,521,224,544,635,0,513,287,703,145,620,541
2015-03-23,691,196,650,289,877,45,372,374,524,506,470,651,625
2015-03-23,0,385,931,1099,373,189,693,405,689,359,566,628,1030
2015-03-23,224,511,838,186,545,864,275,82,568,718,525,346,0
2015-03-23,707,240,570,715,862,666,0,246,411,318,224,164,494
2015-03-23,915,109,766,534,937,948,405,857,162,512,751,207,387
2015-03-23,411,532,75,491,791,312,558,497,422,535,416,26,0
2015-03-23,472,383,469,784,315,543,351,291,541,238,339,289,523
2015-03-23,67,677,406,526,533,151,202,149,305,302,281,274,232
2015-03-23,489,424,128,912,528,426,686,340,450,132,305,417,555
2015-03-23,511,543,303,492,1215,680,755,430,771,887,464,752,243
2015-03-23,589,0,68,986,148,556,426,775,451,241,49,541,676
2015-03-23,842,559,438,343,409,301,339,437,633,761,300,550,429
2015-03-23,235,538,695,339,520,643,541,121,171,369,944,202,295
2015-03-23,296,342,83,350,460,283,507,550,609,13,179,750,442
2015-03-23,705,263,427,302,166,106,200,373,638,770,715,286,622
2015-03-23,158,817,367,513,442,210,458,40,500,581,315,316,919
2015-03-23,742,773,514,94,622,723,664,654,354,980,693,561,646
2015-03-23,727,508,224,140,141,627,613,471,492,378,661,313,649
2015-03-23,806,73,473,499,723,776,480,732,528,225,743,302,85
2015-03-24,472,764,765,897,394,530,457,570,762,355,875,0,632
2015-03-24,333,284,261,139,356,353,526,0,716,304,189,192,82
2015-03-24,165,265,191,674,83,147,434,113,311,451,482,551,454
2015-03-24,700,312,54,865,750,205,62,207,418,260,799,686,582
2015-03-24,180,431,510,472,502,651,737,535,636,6,0,470,551
2015-03-24,410,0,399,275,573,642,402,267,0,322,496,893,579
2015-03-24,326,759,393,725,743,527,639,87,338,412,138,413,526
2015-03-24,464,885,790,778,479,360,377,0,527,412,873,722,647
2015-03-24,642,427,451,405,315,831,565,170,322,595,443,454,457
2015-03-24,54,409,488,260,348,430,1104,781,0,465,417,428,1270
2015-03-24,193,815,184,745,697,782,489,360,107,467,104,704,410
2015-03-24,137,158,693,486,468,324,853,753,295,440,362,679,501
2015-03-24,568,562,371,543,442,859,386,629,509,206,676,246,159
2015-03-24,114,527,515,378,392,724,226,1034,375,317,75,338,1106
2015-03-24,342,554,503,476,535,863,0,850,0,252,318,383,108
2015-03-24,525,338,381,0,401,637,965,127,480,72,397,497,472
2015-03-24,353,351,543,462,289,705,581,666,294,385,420,523,424
2015-03-25,346,460,528,325,916,925,691,304,613,477,696,491,372
2015-03-25,633,420,311,357,547,315,240,1015,897,372,369,780,810
2015-03-25,320,526,451,628,888,715,325,344,742,532,784,510,230
2015-03-25,173,752,647,645,0,690,836,111,488,502,601,795,0
2015-03-25,533,602,736,803,246,388,272,560,742,1029,618,324,539
2015-03-25,417,618,108,163,8,291,825,773,438,0,182,544,922
2015-03-25,812,0,663,275,346,277,604,616,582,545,696,417,657
2015-03-25,143,245,101,0,0,521,430,296,522,362,917,678,41
2015-03-25,963,413,594,110,81,348,843,643,271,510,309,113,15
2015-03-25,777,743,544,843,327,479,607,493,729,631,870,352,607
2015-03-25,508,69,462,789,560,438,460,440,455,799,402,995,0
2015-03-25,342,1000,358,191,667,1163,326,352,676,466,119,450,373
2015-03-25,614,265,189,549,560,586,408,450,338,1013,356,260,755
2015-03-25,848,53,623,426,220,835,875,473,491,693,862,598,336
2015-03-25,86,205,657,99,531,521,237,701,187,674,240,67,825
2015-03-25,579,515,529,802,561,394,286,395,303,504,149,227,266
2015-03-26,632,0,482,923,19,895,119,332,365,295,469,121,826
2015-03-26,454,536,529,620,85,502,274,201,834,179,267,203,507
2015-03-26,0,888,325,614,719,651,282,625,428,648,604,963,498
2015-03-26,69,311,215,601,287,0,665,434,998,722,251,220,394
2015-03-26,787,255,510,310,584,549,330,287,269,691,45,0,554
2015-03-26,916,392,240,594,826,395,652,447,381,356,45,228,463
2015-03-26,435,507,47,843,534,383,243,417,418,501,326,875,733
2015-03-26,542,740,365,718,726,454,636,0,535,724,733,661,760
2015-03-26,675,553,651,794,638,590,348,212,499,230,573,505,873
2015-03-27,0,278,746,779,136,0,111,313,352,164,716,395,532
2015-03-27,326,250,514,637,238,366,540,487,791,492,557,453,291
2015-03-27,956,417,429,683,107,482,470,458,897,471,187,493,0
2015-03-27,363,364,183,360,464,451,880,0,491,622,16,535,552
2015-03-27,678,467,157,363,379,685,468,0,53,408,418,788,818
2015-03-27,359,487,689,579,239,71,617,440,416,282,28,165,704
2015-03-27,0,445,946,218,338,451,581,141,260,475,0,654,618
2015-03-27,549,422,455,39,19,166,541,749,493,97,235,532,534
2015-03-27,441,244,429,520,515,857,892,668,584,563,165,1177,496
2015-03-27,722,589,553,350,197,537,70,552,0,216,351,816,629
2015-03-27,731,528,311,400,895,790,363,237,794,852,686,0,243
2015-03-27,427,96,118,55,676,825,750,359,415,461,523,672,370
2015-03-27,528,697,781,455,162,350,269,217,376,228,555,532,125
2015-03-27,325,655,467,104,27,340,212,553,368,836,671,562,923
2015-03-27,0,262,0,942,337,332,165,367,436,504,1030,374,759
2015-03-27,582,238,293,484,171,561,793,665,640,112,372,835,211
2015-03-27,920,678,236,576,853,798,478,772,786,693,557,486,328
2015-03-28,746,667,243,308,924,652,609,413,307,402,546,288,288
2015-03-28,568,407,743,525,557,71,257,684,534,70,728,286,0
2015-03-28,519,469,99,350,124,434,517,249,169,1124,0,872,24
2015-03-28,307,251,423,210,368,593,498,0,700,35,614,599,611
2015-03-28,153,374,0,1040,475,560,648,759,703,25,218,369,911
2015-03-28,632,410,909,535,731,350,515,614,722,772,807,59,223
2015-03-28,603,828,965,475,588,761,501,425,0,518,384,166,578
2015-03-28,76,762,380,116,516,688,674,143,564,1002,77,344,315
2015-03-28,462,339,386,454,349,550,595,389,437,459,566,896,576
2015-03-28,615,203,0,139,449,466,503,167,376,706,84,510,253
2015-03-28,164,389,754,336,212,537,477,482,951,4,685,711,446
2015-03-28,901,846,135,416,395,198,547,249,28,602,854,777,335
2015-03-28,469,619,341,317,682,150,279,796,516,369,380,106,739
2015-03-29,416,113,463,180,444,694,565,678,335,913,421,297,290
2015-03-29,600,201,272,250,969,237,133,919,744,29,443,730,338
2015-03-29,371,523,393,1269,449,598,364,59,569,603,305,529,698
2015-03-29,219,139,695,296,831,463,434,522,355,693,481,83,332
2015-03-29,493,638,574,303,1020,296,870,490,995,702,301,313,496
2015-03-29,587,470,194,506,359,866,456,818,596,180,966,1364,626
2015-03-29,458,189,0,350,589,626,549,694,599,256,333,705,324
2015-03-29,0,320,159,322,580,374,586,871,217,666,485,677,625
2015-03-29,689,740,654,306,198,264,700,523,455,495,283,305,604
2015-03-29,667,388,758,850,215,614,318,458,570,799,491,950,13
2015-03-29,284,481,949,502,290,435,433,743,162,957,663,707,328
2015-03-29,525,631,497,453,368,379,501,61,274,0,599,383,968
2015-03-29,446,1012,475,618,882,170,550,886,709,755,591,572,148
2015-03-29,210,183,278,789,360,641,370,193,448,232,335,337,533
2015-03-29,367,670,696,200,972,603,446,420,552,711,630,1008,259
2015-03-29,778,483,724,730,642,268,295,30,599,298,0,128,1011
2015-03-29,210,481,667,350,726,576,571,681,131,467,203,372,178
