"date","E"
2017-10-15,196
2017-10-15,574
2017-10-15,481
2017-10-15,724
2017-10-15,637
2017-10-15,216
2017-10-15,224
2017-10-15,597
2017-10-15,29
2017-10-15,381
2017-10-15,49
2017-10-15,152
2017-10-15,167
2017-10-15,490
2017-10-15,629
2017-10-16,224
2017-10-16,829
2017-10-16,156
2017-10-16,430
2017-10-16,364
2017-10-16,293
2017-10-16,280
2017-10-16,324
2017-10-17,795
2017-10-17,468
2017-10-17,457
2017-10-17,364
2017-10-17,655
2017-10-17,490
2017-10-17,667
2017-10-17,118
2017-10-17,655
2017-10-17,682
2017-10-17,951
2017-10-17,368
2017-10-17,464
2017-10-17,179
2017-10-17,511
2017-10-17,614
2017-10-17,1151
2017-10-18,0
2017-10-18,721
2017-10-18,215
2017-10-18,287
2017-10-18,787
2017-10-18,366
2017-10-18,0
2017-10-18,188
2017-10-18,570
2017-10-18,53
2017-10-18,585
2017-10-18,749
2017-10-18,333
2017-10-18,262
2017-10-19,438
2017-10-19,503
2017-10-19,803
2017-10-19,672
2017-10-19,18
2017-10-19,498
2017-10-19,804
2017-10-19,504
2017-10-19,430
2017-10-19,781
2017-10-20,113
2017-10-20,860
2017-10-20,0
2017-10-20,271
2017-10-20,829
2017-10-20,58
2017-10-20,164
2017-10-20,528
2017-10-20,269
2017-10-20,322
2017-10-20,366
2017-10-21,532
2017-10-21,857
2017-10-21,432
2017-10-21,158
2017-10-21,406
2017-10-21,112
2017-10-21,772
2017-10-21,363
2017-10-21,385
2017-10-21,633
2017-10-21,129
2017-10-21,254
2017-10-21,596
2017-10-22,590
2017-10-22,476
2017-10-22,208
2017-10-22,525
2017-10-22,385
2017-10-22,655
2017-10-22,425
2017-10-22,439
2017-10-22,364
2017-10-22,301
2017-10-22,0
2017-10-22,718
2017-10-22,419
2017-10-22,496
2017-10-22,84
2017-10-22,0
2017-10-22,726
2017-10-22,317
2017-10-23,106
2017-10-23,704
2017-10-23,0
2017-10-23,306
2017-10-23,468
2017-10-23,342
2017-10-23,393
2017-10-23,378
2017-10-23,514
2017-10-23,42
2017-10-24,690
2017-10-24,637
2017-10-24,383
2017-10-24,385
2017-10-24,268
2017-10-24,460
2017-10-24,182
2017-10-24,275
2017-10-24,61
2017-10-24,68
2017-10-24,666
2017-10-24,609
2017-10-24,589
2017-10-25,374
2017-10-25,119
2017-10-25,666
2017-10-25,0
2017-10-25,0
2017-10-25,554
2017-10-25,527
2017-10-25,333
2017-10-25,230
2017-10-25,385
2017-10-25,620
2017-10-25,389
2017-10-25,393
2017-10-25,462
2017-10-26,181
2017-10-26,226
2017-10-26,288
2017-10-26,538
2017-10-26,155
2017-10-26,567
2017-10-26,394
2017-10-26,0
2017-10-26,460
2017-10-26,103
2017-10-26,92
2017-10-26,744
2017-10-26,242
2017-10-26,696
2017-10-26,315
2017-10-26,304
2017-10-27,788
2017-10-27,44
2017-10-27,467
2017-10-27,1172
2017-10-27,377
2017-10-27,300
2017-10-27,459
2017-10-27,400
2017-10-27,26
2017-10-27,0
2017-10-27,690
2017-10-27,577
2017-10-27,451
2017-10-28,617
2017-10-28,477
2017-10-28,296
2017-10-28,395
2017-10-28,154
2017-10-28,476
2017-10-28,0
2017-10-28,281
2017-10-28,138
2017-10-28,669
2017-10-28,490
2017-10-28,483
2017-10-28,518
2017-10-28,436
2017-10-29,391
2017-10-29,483
2017-10-29,298
2017-10-29,772
2017-10-29,88
2017-10-29,838
2017-10-29,496
2017-10-29,456
2017-10-29,0
2017-10-29,583
2017-10-29,491
2017-10-29,314
2017-10-29,305
2017-10-29,167
2017-10-30,254
2017-10-30,781
2017-10-30,448
2017-10-30,264
2017-10-30,836
2017-10-30,132
2017-10-30,219
2017-10-30,392
2017-10-30,212
2017-10-30,416
2017-10-31,574
2017-10-31,443
2017-10-31,389
2017-10-31,77
2017-10-31,482
2017-10-31,303
2017-10-31,703
2017-10-31,394
2017-10-31,218
2017-10-31,145
2017-10-31,470
2017-10-31,102
2017-10-31,438
2017-10-31,571
2017-10-31,33
