"date","A","E","H","M","O"
2016-08-20,544,221,394,0,134
2016-08-20,483,368,788,353,506
2016-08-20,646,658,422,613,518
2016-08-20,778,408,504,277,176
2016-08-20,632,484,773,664,209
2016-08-20,178,248,82,510,574
2016-08-20,531,1103,525,759,390
2016-08-20,546,460,575,356,711
2016-08-21,182,631,443,557,673
2016-08-21,330,296,171,1272,562
2016-08-21,997,582,420,522,70
2016-08-21,543,577,139,247,448
2016-08-21,508,351,475,662,523
2016-08-21,14,0,356,541,259
2016-08-21,622,665,715,470,0
2016-08-21,308,566,396,436,805
2016-08-21,441,411,524,297,575
2016-08-21,618,306,484,654,0
2016-08-21,466,896,687,462,556
2016-08-21,203,234,337,780,549
2016-08-21,456,156,203,568,385
2016-08-21,355,817,669,576,0
2016-08-21,622,779,495,178,694
2016-08-21,277,475,948,579,770
2016-08-21,474,313,184,615,722
2016-08-21,191,782,725,825,179
2016-08-21,457,365,92,433,548
2016-08-22,728,724,603,382,570
2016-08-22,373,197,238,776,249
2016-08-22,169,655,626,243,369
2016-08-22,230,198,0,842,374
2016-08-22,453,113,562,367,401
2016-08-22,966,236,886,674,354
2016-08-22,496,313,0,911,661
2016-08-23,722,0,864,403,288
2016-08-23,522,0,479,878,480
2016-08-23,512,466,899,222,745
2016-08-23,241,600,282,270,98
2016-08-23,3,767,228,223,501
2016-08-23,80,300,725,130,573
2016-08-23,232,162,771,693,562
2016-08-23,579,353,380,409,809
2016-08-23,551,34,423,558,434
2016-08-23,372,323,864,260,613
2016-08-23,35,132,203,545,398
2016-08-23,94,266,253,833,499
2016-08-23,709,332,462,292,410
2016-08-23,376,613,592,337,889
2016-08-23,370,36,474,689,954
2016-08-23,248,560,562,523,637
2016-08-23,591,1036,171,690,726
2016-08-24,820,990,502,620,573
2016-08-24,156,910,62,760,700
2016-08-24,219,883,803,585,424
2016-08-24,459,475,438,661,238
2016-08-24,496,741,393,883,494
2016-08-24,582,486,92,575,709
2016-08-24,102,817,610,520,470
2016-08-24,595,491,403,304,842
2016-08-24,258,410,85,612,682
2016-08-24,474,392,550,611,409
2016-08-24,914,373,678,681,537
2016-08-24,661,338,96,390,112
2016-08-24,633,1202,709,469,821
2016-08-24,386,224,287,394,65
2016-08-24,382,119,194,655,626
2016-08-24,610,197,618,511,329
2016-08-25,283,443,0,248,561
2016-08-25,84,332,632,688,924
2016-08-25,234,216,359,825,390
2016-08-25,584,398,264,518,584
2016-08-25,376,181,325,603,392
2016-08-25,279,614,412,1089,531
2016-08-25,324,0,523,359,23
2016-08-25,674,440,396,384,381
2016-08-25,492,209,1135,501,702
2016-08-25,752,504,351,547,439
2016-08-25,268,448,567,788,639
2016-08-25,650,458,484,637,420
2016-08-25,743,128,393,734,538
2016-08-25,409,0,440,246,166
2016-08-26,254,411,493,528,569
2016-08-26,330,534,457,394,610
2016-08-26,531,403,468,452,189
2016-08-26,367,516,171,856,138
2016-08-26,419,192,324,596,403
2016-08-26,631,1082,632,613,386
2016-08-26,278,557,200,0,0
2016-08-26,562,117,151,262,0
2016-08-26,623,309,395,639,546
2016-08-27,693,161,865,683,319
2016-08-27,799,746,355,534,521
2016-08-27,609,286,564,451,666
2016-08-27,261,490,563,651,715
2016-08-27,295,402,367,662,376
2016-08-27,224,196,527,239,417
2016-08-27,435,694,543,214,614
2016-08-27,446,28,330,654,502
2016-08-27,805,546,300,632,545
2016-08-27,557,0,548,245,569
2016-08-27,684,192,160,582,306
2016-08-27,523,571,661,714,38
2016-08-27,631,280,432,620,479
2016-08-27,886,646,891,318,657
2016-08-27,631,283,710,345,183
2016-08-27,357,950,784,239,44
2016-08-28,117,981,508,316,179
2016-08-28,331,366,244,591,94
2016-08-28,700,169,373,364,268
2016-08-28,610,17,283,467,598
2016-08-28,348,532,233,800,711
2016-08-28,266,284,353,658,351
2016-08-28,797,1092,170,523,726
2016-08-28,483,463,581,971,444
2016-08-28,877,234,754,657,543
2016-08-28,605,594,537,573,581
2016-08-28,347,303,431,149,0
2016-08-28,532,507,333,302,375
2016-08-28,204,322,498,874,706
2016-08-28,547,501,174,373,697
2016-08-28,188,317,696,249,404
2016-08-28,640,509,21,667,632
2016-08-28,44,579,456,685,267
2016-08-28,513,379,532,645,670
2016-08-28,485,140,608,526,879
2016-08-29,836,189,766,0,552
2016-08-29,470,329,701,282,318
2016-08-29,617,542,922,578,95
2016-08-29,147,234,543,295,0
2016-08-29,787,473,0,509,1003
2016-08-29,112,0,587,405,605
2016-08-29,325,0,481,78,760
2016-08-29,171,305,380,627,391
2016-08-29,764,193,0,504,708
2016-08-29,370,521,478,168,534
2016-08-29,592,619,210,521,499
2016-08-29,825,512,350,165,511
2016-08-29,242,316,406,133,352
2016-08-29,194,603,707,276,747
2016-08-29,437,136,511,151,420
2016-08-29,602,647,109,541,526
2016-08-29,954,537,672,492,1215
2016-08-29,632,421,471,753,392
2016-08-29,323,732,280,479,549
2016-08-29,587,721,350,758,841
2016-08-29,578,334,877,553,491
2016-08-29,378,2,550,265,872
2016-08-29,734,799,571,184,1054
2016-08-29,242,333,219,411,362
2016-08-30,573,717,128,529,34
2016-08-30,221,365,886,871,876
2016-08-30,38,536,781,159,584
2016-08-30,936,225,338,542,397
2016-08-30,592,729,277,504,712
2016-08-30,366,378,476,435,779
2016-08-30,332,232,488,435,536
2016-08-30,749,439,281,649,659
2016-08-30,389,441,812,492,656
2016-08-30,778,969,0,423,465
2016-08-30,297,485,56,597,374
2016-08-30,796,248,554,596,406
2016-08-30,376,800,92,216,540
2016-08-30,549,404,838,1164,375
2016-08-30,91,392,287,606,658
2016-08-30,330,68,727,537,123
2016-08-31,639,611,791,628,324
2016-08-31,719,349,308,493,596
2016-08-31,242,576,180,486,724
2016-08-31,881,651,279,431,440
2016-08-31,112,84,362,308,388
2016-08-31,618,431,230,712,394
2016-08-31,592,333,871,264,1193
2016-08-31,469,201,349,464,278
2016-08-31,456,127,552,33,399
