"date","A","B","C","E","F","G","I","M","N","O"
2015-11-04,195,253,414,459,100,582,277,258,355,638
2015-11-05,599,317,451,331,318,245,473,134,219,570
2015-11-05,52,336,354,486,343,594,526,288,558,540
2015-11-05,662,425,0,609,660,138,484,506,245,408
2015-11-05,211,329,237,556,471,48,445,164,220,37
2015-11-05,386,0,304,365,745,643,365,0,0,346
2015-11-05,265,0,358,108,501,319,347,720,0,271
2015-11-05,539,23,51,184,587,0,367,192,268,382
2015-11-05,430,109,320,0,319,306,276,449,237,23
2015-11-05,636,558,248,143,507,0,441,0,338,273
2015-11-05,306,775,81,421,347,309,75,264,45,405
2015-11-05,250,547,153,347,0,277,401,399,0,362
2015-11-05,194,408,432,406,274,103,0,752,81,338
2015-11-05,0,89,0,253,427,687,0,545,93,470
2015-11-05,436,454,0,372,530,460,309,403,499,467
2015-11-05,698,922,0,678,209,933,143,0,578,108
2015-11-05,0,398,517,126,427,513,757,100,226,6
2015-11-05,624,164,411,563,35,90,126,60,301,323
2015-11-05,325,174,227,421,0,90,662,99,482,559
2015-11-05,633,469,191,465,585,689,271,421,748,260
2015-11-06,304,664,0,308,291,218,173,8,0,685
2015-11-06,244,339,478,299,395,370,182,0,656,333
2015-11-06,16,485,405,215,371,208,326,523,0,538
2015-11-06,153,967,747,332,261,0,211,398,438,0
2015-11-06,179,334,400,8,279,168,461,0,550,549
2015-11-06,315,352,432,0,634,193,777,881,421,477
2015-11-06,261,319,255,725,89,0,957,350,230,125
2015-11-06,499,778,283,165,310,371,648,0,39,0
2015-11-06,92,494,634,605,564,333,255,210,137,103
2015-11-06,314,238,278,572,0,862,494,0,186,494
2015-11-07,0,61,757,0,0,455,364,206,244,130
2015-11-07,552,158,256,720,611,290,259,219,162,0
2015-11-07,230,735,92,676,107,106,86,286,634,366
2015-11-07,153,418,299,1063,338,618,358,419,343,109
2015-11-07,35,536,200,331,343,395,462,0,0,748
2015-11-07,102,521,352,388,434,163,443,288,378,0
2015-11-07,148,220,99,751,91,744,468,0,26,317
2015-11-07,394,281,547,381,0,57,115,266,257,0
2015-11-07,94,611,231,237,503,0,571,379,418,507
2015-11-08,269,97,256,335,489,280,169,552,181,612
2015-11-08,287,467,141,41,481,203,396,839,533,701
2015-11-08,0,244,158,131,626,380,315,104,560,801
2015-11-08,380,84,653,198,140,275,573,133,159,451
2015-11-08,288,775,413,0,256,83,381,550,383,432
2015-11-08,476,0,813,362,0,610,269,567,284,674
2015-11-08,0,921,164,641,112,0,0,407,100,485
2015-11-08,0,0,82,531,852,134,205,0,453,365
2015-11-08,324,267,669,489,178,196,206,420,462,239
2015-11-08,137,930,818,631,861,402,247,460,0,357
2015-11-08,690,238,394,619,184,255,147,442,221,391
2015-11-09,700,252,97,264,247,42,568,656,347,0
2015-11-09,650,336,203,242,316,363,153,952,403,91
2015-11-09,23,744,0,610,0,129,400,721,510,101
2015-11-09,850,350,858,450,145,267,209,0,350,159
2015-11-09,189,0,278,354,788,658,324,1046,471,153
2015-11-09,678,565,386,0,409,529,558,704,191,320
2015-11-10,0,441,456,366,677,666,404,436,551,493
2015-11-10,464,402,425,127,180,0,436,792,402,388
2015-11-10,176,369,0,561,213,419,364,256,137,450
2015-11-10,194,531,468,603,470,0,281,465,60,191
2015-11-10,213,522,392,560,17,669,295,595,439,415
2015-11-10,152,18,0,755,121,158,148,364,564,256
2015-11-10,163,637,463,105,354,264,416,454,549,369
2015-11-10,563,0,419,0,458,0,240,586,723,261
2015-11-10,307,173,60,281,860,335,474,253,25,119
2015-11-10,385,0,371,35,5,606,370,512,62,102
2015-11-11,0,72,0,257,172,412,0,359,753,756
2015-11-11,15,291,361,442,0,332,556,300,93,158
2015-11-11,324,34,735,289,275,445,204,15,546,791
2015-11-11,350,0,160,327,252,535,373,146,545,468
2015-11-11,282,529,0,363,261,780,87,1080,335,212
2015-11-11,435,505,136,862,332,653,276,39,432,207
2015-11-11,78,220,51,151,216,798,578,140,0,505
2015-11-11,68,453,776,0,666,303,248,303,0,221
2015-11-11,0,535,427,3,0,206,238,0,267,0
2015-11-11,344,449,609,0,201,746,520,417,592,131
2015-11-11,0,731,590,326,419,7,287,199,382,549
2015-11-12,97,402,66,160,123,242,472,353,403,0
2015-11-12,167,0,581,711,421,13,70,0,602,467
2015-11-12,524,91,0,465,44,109,249,241,611,565
2015-11-12,254,481,789,527,517,304,353,108,135,529
2015-11-12,590,435,619,319,253,236,717,207,737,455
2015-11-12,440,410,610,43,474,214,388,374,0,376
2015-11-12,0,60,311,167,0,44,88,331,496,274
2015-11-12,182,82,370,754,429,735,505,0,50,233
2015-11-12,187,287,305,499,464,424,660,209,0,138
2015-11-12,103,367,0,202,499,302,234,741,475,375
2015-11-12,457,79,158,314,516,269,397,470,222,220
2015-11-12,80,530,186,50,405,335,284,500,418,0
2015-11-12,776,306,538,293,597,178,693,157,150,44
2015-11-12,72,523,510,111,211,268,71,346,121,593
2015-11-13,2,212,405,45,184,328,571,247,664,690
2015-11-13,232,0,489,0,631,352,206,328,312,218
2015-11-13,285,339,330,79,267,557,290,225,280,610
2015-11-13,152,265,388,292,683,383,236,123,313,0
2015-11-13,846,981,448,461,256,285,474,794,22,96
2015-11-13,261,88,382,241,0,40,234,439,486,0
2015-11-13,54,338,0,586,94,220,0,259,0,342
2015-11-13,134,393,72,410,534,340,0,768,34,247
2015-11-13,682,300,0,31,378,222,372,318,101,469
2015-11-13,565,463,623,0,136,513,493,0,344,288
2015-11-13,369,371,24,692,522,360,151,305,289,155
2015-11-13,297,330,501,0,567,306,29,428,0,416
2015-11-13,0,419,333,189,269,0,16,537,556,151
2015-11-13,191,365,127,324,314,0,167,563,53,286
2015-11-13,94,54,255,243,300,440,365,342,405,106
2015-11-14,378,0,378,56,657,482,564,379,0,482
2015-11-14,489,279,9,5,68,694,422,162,657,471
2015-11-14,108,126,270,241,690,385,614,207,279,577
2015-11-14,174,254,495,0,100,20,552,238,324,313
2015-11-14,553,156,276,120,68,126,582,0,572,1211
2015-11-14,392,67,504,140,771,502,613,153,182,148
2015-11-14,714,604,256,204,677,236,587,240,122,178
2015-11-15,497,588,0,327,572,435,0,732,540,290
2015-11-15,0,667,333,227,733,442,182,139,156,197
2015-11-15,397,274,315,560,192,451,645,378,302,278
2015-11-15,217,519,685,686,89,490,416,393,455,0
2015-11-15,234,434,318,451,0,0,329,528,417,299
2015-11-15,393,261,48,311,1,60,384,87,408,36
2015-11-15,600,435,567,197,240,617,622,33,178,519
2015-11-15,5,573,899,214,549,486,310,0,568,126
2015-11-15,228,299,325,22,0,384,417,144,834,648
2015-11-15,99,489,553,180,0,267,341,382,118,184
2015-11-16,60,564,638,306,352,546,109,51,405,336
2015-11-16,65,692,100,0,434,0,750,49,822,254
2015-11-16,305,0,756,293,484,0,333,486,486,421
2015-11-16,390,0,112,563,145,308,615,82,150,499
2015-11-16,0,0,217,377,260,543,162,380,0,966
2015-11-17,0,97,309,186,322,0,522,180,741,16
2015-11-17,323,142,507,185,0,613,649,402,274,256
2015-11-17,504,90,700,455,0,0,374,59,319,0
2015-11-17,172,110,0,480,0,204,545,259,353,907
2015-11-17,0,185,444,520,775,233,605,659,218,183
2015-11-17,0,583,361,455,372,0,362,242,195,458
2015-11-18,690,768,0,196,67,0,360,680,174,203
2015-11-18,371,276,558,668,0,369,595,456,141,573
2015-11-18,176,469,118,0,622,315,486,76,0,442
2015-11-18,274,85,77,440,340,0,285,293,345,576
2015-11-18,466,156,188,0,294,0,630,311,7,313
2015-11-18,597,311,318,432,199,280,309,196,391,599
2015-11-18,512,578,0,356,493,389,374,0,370,391
2015-11-18,227,139,128,192,222,0,403,132,261,377
2015-11-19,197,520,216,189,78,237,223,495,646,57
2015-11-19,49,62,430,790,268,542,475,0,397,175
2015-11-19,895,199,226,239,84,354,0,0,0,336
2015-11-19,23,247,81,390,49,110,211,682,588,0
2015-11-19,580,425,791,304,269,134,4,549,339,0
2015-11-19,300,168,196,521,503,152,201,432,578,304
2015-11-19,590,314,73,435,428,425,0,239,78,161
2015-11-19,663,490,106,296,145,351,475,462,173,0
2015-11-19,223,161,297,289,289,595,378,0,724,1081
2015-11-19,0,111,115,55,654,155,168,474,0,404
2015-11-20,82,0,476,138,650,94,474,172,44,270
2015-11-20,559,354,341,573,229,725,0,611,311,522
2015-11-20,243,355,436,338,247,891,419,549,414,225
2015-11-20,282,120,229,553,195,581,104,160,204,312
2015-11-20,251,257,0,0,475,224,463,30,143,129
2015-11-20,134,139,538,0,457,0,282,0,226,73
2015-11-20,495,0,106,480,218,578,338,0,166,419
2015-11-20,877,16,22,742,534,0,1098,151,322,292
2015-11-20,0,0,0,341,104,238,611,296,167,0
2015-11-21,306,588,301,897,25,392,9,255,527,191
2015-11-21,118,164,716,143,589,611,310,0,0,632
2015-11-21,475,260,290,409,236,0,455,182,213,305
2015-11-21,718,747,487,641,230,0,558,245,418,496
2015-11-21,16,164,9,40,329,371,0,152,281,313
2015-11-21,256,700,428,318,896,328,208,154,257,469
2015-11-21,269,285,101,277,297,495,597,339,376,785
2015-11-21,383,243,0,102,354,188,338,531,37,0
2015-11-21,623,101,370,315,133,281,37,429,329,281
2015-11-21,114,73,244,238,523,474,140,603,0,375
2015-11-21,297,166,223,744,530,311,152,178,316,126
2015-11-22,0,0,402,410,38,260,171,106,0,25
2015-11-22,506,566,189,321,4,382,0,393,436,602
2015-11-22,362,475,462,655,463,56,263,215,0,110
2015-11-22,352,342,648,144,545,469,420,230,451,292
2015-11-22,507,332,657,538,44,387,436,464,419,282
2015-11-22,131,282,401,0,443,446,431,382,490,504
2015-11-22,475,173,833,426,444,129,381,339,112,302
2015-11-22,287,0,302,327,378,672,329,57,89,300
2015-11-22,0,325,402,372,663,226,151,0,230,479
2015-11-22,278,0,562,75,404,633,396,210,0,267
2015-11-23,624,407,479,486,390,141,156,352,512,141
2015-11-23,435,221,469,518,325,178,596,329,0,375
2015-11-23,183,303,375,2,666,161,190,530,105,183
2015-11-23,254,645,110,137,0,291,731,53,0,149
2015-11-23,544,0,65,195,680,297,470,0,0,348
2015-11-23,592,260,508,515,144,228,184,292,418,314
2015-11-23,380,426,24,184,448,0,8,677,151,202
2015-11-23,371,0,232,410,601,294,555,536,0,610
2015-11-23,141,454,408,233,92,0,82,638,379,152
2015-11-24,396,374,561,232,224,108,613,328,58,497
2015-11-24,350,268,0,0,251,0,347,329,218,485
2015-11-24,115,416,346,219,435,548,0,445,427,257
2015-11-24,166,107,810,555,397,533,336,306,484,377
2015-11-24,92,471,247,0,413,175,382,218,213,88
2015-11-24,404,273,305,628,0,615,236,27,290,634
2015-11-24,299,152,407,127,453,0,78,536,130,129
2015-11-24,694,658,648,343,572,394,0,73,505,661
2015-11-24,296,421,556,107,500,234,327,219,213,19
2015-11-24,694,481,84,450,533,654,0,435,148,329
2015-11-25,272,340,415,154,182,426,268,707,221,182
2015-11-25,196,31,171,544,0,122,0,884,0,259
2015-11-25,503,206,400,80,295,700,347,266,183,651
2015-11-25,121,96,334,115,398,245,268,244,120,831
2015-11-25,434,196,49,462,568,0,0,411,0,453
2015-11-25,664,0,209,0,364,540,682,406,308,392
2015-11-25,48,146,218,314,557,641,595,407,0,371
2015-11-26,460,725,377,215,124,439,9,101,86,618
2015-11-26,263,624,4,242,60,480,623,0,199,298
2015-11-26,360,476,151,295,131,107,260,454,0,504
2015-11-26,195,390,327,329,0,547,51,590,30,42
2015-11-26,79,129,665,463,440,0,291,367,613,652
2015-11-26,388,62,338,0,14,255,1,158,190,0
2015-11-26,0,0,533,424,0,0,805,261,452,379
2015-11-26,415,379,641,590,492,514,273,220,359,0
2015-11-26,283,29,0,495,127,169,0,40,512,392
2015-11-26,396,180,94,140,416,95,259,375,284,567
2015-11-26,99,378,631,649,169,344,277,364,0,120
2015-11-26,141,0,0,618,71,187,0,370,0,268
2015-11-26,288,0,165,477,555,110,618,451,351,424
2015-11-26,278,358,420,409,322,280,221,7,348,567
2015-11-26,312,293,332,0,121,372,753,415,336,314
2015-11-26,139,422,317,540,488,249,317,409,168,26
2015-11-27,546,820,148,629,556,219,520,115,148,534
2015-11-27,219,195,456,128,372,0,498,0,461,0
2015-11-27,529,82,485,476,100,0,0,1,0,679
2015-11-27,272,316,410,180,83,221,328,350,67,163
2015-11-27,760,37,291,580,322,544,297,173,399,691
2015-11-27,628,60,0,262,0,371,639,568,170,296
2015-11-27,369,217,648,115,273,619,30,180,211,432
2015-11-27,4,245,895,186,291,600,271,414,297,120
2015-11-27,373,477,571,272,717,678,23,422,295,229
2015-11-27,279,109,559,425,269,412,480,556,829,311
2015-11-27,199,647,0,997,0,0,0,91,598,358
2015-11-27,145,63,381,541,128,89,283,404,407,0
2015-11-27,514,213,86,216,469,461,188,535,0,85
2015-11-27,360,35,634,659,662,481,34,452,149,213
2015-11-27,94,54,635,240,326,504,175,276,598,85
2015-11-27,423,222,6,0,429,276,304,0,475,214
2015-11-28,229,906,67,52,67,196,157,420,508,34
2015-11-28,388,157,82,475,141,535,300,725,496,278
2015-11-28,502,323,142,0,682,68,166,524,253,176
2015-11-28,456,0,128,350,768,287,343,113,210,452
2015-11-28,380,61,265,158,94,248,116,429,455,54
2015-11-28,466,704,252,351,674,240,307,495,838,299
2015-11-29,188,317,304,392,161,4,477,139,406,286
2015-11-29,0,172,683,562,389,205,292,421,111,960
2015-11-29,404,798,168,566,279,0,562,0,214,0
2015-11-29,262,194,434,168,301,377,326,484,57,265
2015-11-29,395,358,668,173,494,396,163,310,418,341
2015-11-29,396,1018,831,316,0,337,160,626,521,597
2015-11-29,334,314,428,0,361,0,0,531,392,345
2015-11-29,582,204,0,143,89,1123,0,181,370,442
2015-11-29,177,117,285,947,0,131,528,376,128,47
2015-11-30,317,159,236,634,132,271,639,35,34,0
2015-11-30,584,369,234,253,547,85,311,268,233,334
2015-11-30,420,141,684,266,293,339,174,149,0,317
2015-11-30,905,537,267,234,420,458,55,64,463,662
2015-11-30,745,126,341,528,301,0,206,314,302,252
2015-11-30,0,626,318,0,217,414,34,31,33,430
2015-11-30,134,685,287,655,272,287,456,465,0,369
2015-11-30,47,398,932,328,370,207,292,517,334,0
