"date","A","B","C","D","E","G","H","K","O"
2017-08-25,387,340,129,122,561,120,680,458,117
2017-08-25,592,0,58,331,532,385,809,299,427
2017-08-25,603,717,303,401,134,440,363,425,670
2017-08-25,678,871,0,124,94,587,289,251,707
2017-08-26,546,648,70,385,453,206,674,121,134
2017-08-26,168,171,0,579,466,581,609,85,678
2017-08-26,424,0,322,362,198,516,99,855,0
2017-08-26,507,364,316,38,0,0,90,139,727
2017-08-26,658,181,899,763,473,715,286,544,497
2017-08-26,263,254,376,270,430,272,485,273,102
2017-08-26,122,64,438,634,39,686,300,374,723
2017-08-26,429,401,579,456,653,555,457,277,21
2017-08-26,905,70,515,328,342,55,18,332,579
2017-08-26,209,332,673,241,125,76,310,817,690
2017-08-27,72,221,622,635,496,139,313,419,645
2017-08-27,278,405,142,812,214,0,308,599,230
2017-08-27,173,814,413,0,840,343,599,97,617
2017-08-27,518,621,192,725,679,494,458,176,687
2017-08-27,532,466,312,414,357,664,0,345,871
2017-08-27,599,50,287,429,749,585,0,339,517
2017-08-27,136,361,300,204,354,525,408,0,978
2017-08-27,228,835,0,175,543,446,790,648,608
2017-08-27,313,845,453,345,244,389,510,339,318
2017-08-27,629,868,430,145,332,688,422,222,540
2017-08-27,37,283,859,708,519,60,522,505,318
2017-08-27,75,444,704,131,526,661,495,129,186
2017-08-27,569,538,860,538,267,398,98,481,443
2017-08-27,26,58,300,0,260,336,178,373,371
2017-08-27,786,467,341,970,418,0,509,361,316
2017-08-27,69,693,383,377,199,477,62,0,84
2017-08-27,427,617,7,666,41,746,362,453,361
2017-08-27,523,391,558,346,905,803,204,450,999
2017-08-28,132,287,169,286,366,502,383,428,624
2017-08-28,214,602,396,733,45,0,451,495,649
2017-08-28,0,309,484,397,540,642,543,561,85
2017-08-28,168,471,353,207,0,688,419,373,277
2017-08-28,264,76,733,171,574,225,646,612,281
2017-08-28,677,308,318,147,390,929,501,667,0
2017-08-28,248,380,338,549,350,707,758,139,575
2017-08-28,481,427,732,526,298,695,423,433,546
2017-08-28,590,210,634,330,439,809,191,72,37
2017-08-28,393,408,428,537,629,345,242,145,477
2017-08-28,703,662,207,253,458,379,221,620,625
2017-08-28,236,653,461,612,362,292,750,413,241
2017-08-28,162,647,932,597,458,195,791,570,559
2017-08-29,478,546,258,533,362,175,171,0,12
2017-08-29,496,336,386,548,256,439,373,253,627
2017-08-29,68,212,7,142,429,675,308,237,371
2017-08-29,451,543,167,749,866,199,315,115,310
2017-08-29,790,129,592,72,128,451,95,508,472
2017-08-29,599,0,478,0,737,484,265,201,215
2017-08-29,247,166,611,370,66,0,211,222,70
2017-08-29,207,797,400,702,767,423,363,135,441
2017-08-29,828,595,724,264,379,315,504,313,525
2017-08-29,446,903,920,0,103,198,0,368,58
2017-08-29,677,677,597,56,411,393,404,447,243
2017-08-29,419,868,516,435,637,503,135,612,383
2017-08-29,501,303,313,794,411,0,502,337,495
2017-08-29,683,132,293,407,705,158,470,304,321
2017-08-29,310,725,172,452,485,254,224,262,701
2017-08-29,97,699,368,305,366,396,344,621,453
2017-08-29,448,505,412,606,555,328,610,561,361
2017-08-29,679,593,491,287,55,482,801,263,254
2017-08-29,0,0,739,447,195,348,334,559,292
2017-08-30,528,257,673,768,438,518,831,142,392
2017-08-30,444,287,330,21,723,750,0,513,263
2017-08-30,333,152,44,583,668,393,181,149,334
2017-08-30,499,442,574,0,462,685,418,842,230
2017-08-30,144,561,542,559,389,161,0,586,500
2017-08-30,699,857,292,434,704,154,259,0,627
2017-08-30,663,632,74,300,66,546,776,0,314
2017-08-30,156,736,215,612,404,465,484,669,925
2017-08-30,422,379,436,620,669,348,0,463,0
2017-08-30,309,628,696,525,254,356,434,578,674
2017-08-30,247,0,731,576,439,775,407,356,573
2017-08-30,426,498,528,650,664,380,304,403,392
2017-08-30,429,633,558,650,232,404,443,588,96
2017-08-30,916,607,629,0,410,35,362,144,593
2017-08-31,137,304,374,313,264,455,231,580,375
2017-08-31,766,372,448,617,521,0,271,504,571
2017-08-31,889,274,214,459,91,513,77,321,252
2017-08-31,240,845,439,253,419,556,1042,706,578
2017-08-31,33,630,264,442,329,120,498,797,343
2017-08-31,379,236,549,321,739,0,432,348,418
2017-08-31,917,665,656,655,349,204,556,659,221
2017-08-31,340,324,606,371,355,285,460,337,367
2017-08-31,544,349,334,110,831,694,140,510,975
2017-08-31,564,141,378,174,709,329,422,0,688
2017-08-31,261,426,389,301,561,367,470,26,940
2017-08-31,0,525,197,380,729,279,392,519,621
