"date","B","C","D","E","G","H","I","J","K","L","N","O"
2015-04-07,721,439,276,279,0,435,470,582,0,761,136,257
2015-04-07,236,0,0,191,166,273,628,280,550,117,600,534
2015-04-07,186,9,453,596,341,586,448,329,753,330,0,98
2015-04-07,459,211,0,119,108,385,342,733,196,383,354,341
2015-04-07,664,676,717,565,0,301,68,301,0,0,206,614
2015-04-07,298,95,558,581,643,466,502,626,278,569,609,48
2015-04-07,409,317,213,433,446,539,349,635,481,410,295,895
2015-04-07,284,632,130,299,106,497,276,640,212,489,180,226
2015-04-07,736,0,898,556,590,760,351,545,861,268,167,172
2015-04-07,609,97,135,703,0,306,815,244,321,463,94,528
2015-04-07,732,262,590,485,517,112,485,793,399,320,517,587
2015-04-07,548,0,289,0,179,694,402,808,592,0,662,123
2015-04-08,39,0,283,338,63,514,533,514,632,483,686,717
2015-04-08,200,429,0,60,394,438,251,114,381,706,441,0
2015-04-08,590,199,636,731,900,529,238,405,448,358,463,492
2015-04-08,431,322,715,430,149,171,262,606,782,682,3,932
2015-04-08,300,34,887,570,419,265,496,599,303,85,368,289
2015-04-08,510,0,465,471,0,575,0,524,639,323,210,528
2015-04-08,869,686,121,464,175,352,192,488,349,337,257,539
2015-04-08,491,421,781,493,241,324,235,480,287,394,673,541
2015-04-08,245,434,773,370,205,140,301,693,558,28,330,491
2015-04-08,428,355,0,160,290,239,682,45,0,566,492,101
2015-04-08,319,527,26,0,0,365,583,29,427,0,1,255
2015-04-08,543,553,340,118,556,0,463,256,387,801,746,743
2015-04-08,23,482,588,388,273,481,158,176,128,127,494,270
2015-04-08,618,662,81,107,516,505,285,588,314,49,268,243
2015-04-08,464,463,405,621,659,181,319,249,693,423,790,566
2015-04-09,287,617,997,158,489,1009,273,218,224,351,644,0
2015-04-09,343,284,479,277,0,542,383,655,515,734,139,517
2015-04-09,403,412,168,327,735,809,456,73,452,280,19,219
2015-04-09,418,346,573,343,194,609,81,587,0,184,583,121
2015-04-09,259,898,381,647,215,354,318,509,539,444,539,208
2015-04-09,462,606,56,417,362,632,0,704,1028,310,234,347
2015-04-09,454,49,122,31,329,0,779,317,468,15,716,578
2015-04-09,277,195,534,242,746,245,351,370,127,462,437,288
2015-04-09,596,314,450,91,484,290,438,137,320,374,0,374
2015-04-10,411,200,240,428,460,687,58,392,286,413,642,239
2015-04-10,306,428,351,339,447,452,528,422,182,431,410,305
2015-04-10,1111,400,643,617,0,350,189,188,461,317,358,282
2015-04-10,547,439,488,606,338,697,678,440,329,0,88,0
2015-04-10,587,418,95,259,248,374,261,832,420,419,661,155
2015-04-10,366,0,331,295,0,722,626,72,772,284,678,131
2015-04-10,338,103,721,403,204,765,506,562,522,677,389,497
2015-04-10,326,675,480,60,869,583,392,461,480,401,375,947
2015-04-10,505,255,267,420,282,295,573,381,332,464,121,587
2015-04-10,336,300,506,0,527,728,303,273,440,703,0,313
2015-04-10,463,448,154,635,156,173,781,163,752,540,559,271
2015-04-10,259,512,317,344,472,465,381,427,249,103,533,317
2015-04-10,0,305,170,446,654,270,2,371,875,369,454,522
2015-04-10,142,357,655,394,842,338,538,110,591,515,106,211
2015-04-11,653,423,327,594,660,559,903,396,0,206,62,0
2015-04-11,541,986,432,247,95,314,467,145,0,47,307,389
2015-04-11,464,0,188,778,246,159,634,450,107,404,0,430
2015-04-11,228,379,717,438,651,202,139,397,220,392,288,544
2015-04-11,893,823,550,404,176,865,491,967,0,506,134,0
2015-04-11,415,277,417,801,576,0,476,569,483,8,396,308
2015-04-11,360,594,492,321,431,530,333,596,0,638,557,467
2015-04-11,150,417,448,99,593,292,330,0,291,361,45,531
2015-04-11,496,419,437,236,588,567,358,689,796,577,0,309
2015-04-11,455,389,285,406,101,251,310,547,907,255,610,663
2015-04-11,651,379,384,559,240,402,483,339,534,367,427,623
2015-04-11,201,335,472,451,440,765,0,635,481,344,512,526
2015-04-11,599,425,240,525,457,575,516,100,188,461,520,480
2015-04-11,537,390,250,155,704,415,20,0,203,0,275,489
2015-04-11,693,601,584,360,443,329,371,0,309,485,639,397
2015-04-11,166,0,379,410,0,575,623,498,461,572,575,506
2015-04-11,357,234,605,0,544,341,170,367,735,730,627,494
2015-04-11,485,659,898,660,731,645,590,645,332,411,486,508
2015-04-11,464,84,485,330,690,444,190,374,585,189,814,174
2015-04-11,344,480,270,561,437,394,368,525,183,242,430,460
2015-04-12,602,650,392,773,340,206,105,874,489,291,33,172
2015-04-12,812,0,72,491,1076,327,766,419,497,0,329,254
2015-04-12,620,383,114,613,401,359,893,347,87,121,290,75
2015-04-12,608,716,862,352,20,554,381,619,0,887,273,191
2015-04-12,281,704,449,550,372,655,797,157,0,293,281,497
2015-04-12,592,235,423,115,196,81,624,185,307,748,305,717
2015-04-12,907,751,815,0,344,612,825,566,823,366,0,292
2015-04-12,588,398,123,361,516,78,149,674,507,147,68,421
2015-04-12,524,406,575,442,397,788,803,306,565,632,392,479
2015-04-13,617,416,316,44,0,548,346,570,345,153,591,683
2015-04-13,581,453,520,357,333,593,367,0,371,60,574,608
2015-04-13,41,720,290,429,550,291,426,0,611,427,256,554
2015-04-13,0,465,62,483,780,380,295,542,183,600,735,220
2015-04-13,508,392,430,435,104,567,246,0,698,0,524,635
2015-04-13,65,86,177,371,223,135,557,408,713,654,269,137
2015-04-13,500,538,408,591,365,488,261,144,442,501,333,432
2015-04-13,336,129,61,401,0,493,241,714,422,419,421,686
2015-04-13,398,185,588,8,366,368,710,0,0,412,660,647
2015-04-13,3,50,565,354,551,472,717,478,312,358,205,151
2015-04-13,555,729,276,510,95,485,256,180,641,341,761,349
2015-04-13,0,399,882,128,860,887,697,0,439,418,0,0
2015-04-13,316,719,485,357,926,1038,665,421,399,363,146,714
2015-04-13,533,533,572,398,350,386,48,657,0,661,15,671
2015-04-13,439,464,104,233,478,662,589,481,364,1025,899,633
2015-04-13,191,694,769,384,0,624,237,307,224,513,576,714
2015-04-13,200,414,303,699,599,0,559,508,282,280,597,349
2015-04-14,90,176,288,184,148,991,425,4,483,635,108,301
2015-04-14,482,363,182,667,625,0,74,566,437,443,400,263
2015-04-14,443,365,341,665,818,104,727,613,618,9,636,0
2015-04-14,487,491,450,436,84,816,485,0,746,0,254,260
2015-04-14,251,275,223,1027,204,222,0,489,217,184,653,736
2015-04-14,253,518,498,533,651,441,825,534,618,275,588,585
2015-04-14,664,337,6,615,170,367,630,254,407,458,120,571
2015-04-14,266,363,529,297,0,144,520,437,682,0,440,413
2015-04-14,564,680,219,267,588,450,237,802,113,216,93,109
2015-04-14,220,722,396,211,76,365,295,652,48,354,221,473
2015-04-14,332,450,353,611,159,568,931,0,395,841,95,504
2015-04-14,633,354,449,95,204,58,667,461,483,432,184,379
2015-04-14,292,587,590,491,275,204,563,655,818,761,316,533
2015-04-14,134,301,490,212,70,155,817,359,122,874,572,477
2015-04-14,872,753,309,596,97,605,568,392,473,382,921,439
2015-04-14,530,120,245,220,481,539,430,97,340,230,276,0
2015-04-15,858,141,786,487,610,491,0,441,932,596,635,0
2015-04-15,616,0,514,504,325,240,61,225,501,744,128,71
2015-04-15,240,731,332,378,286,236,450,0,286,738,449,499
2015-04-15,674,647,0,872,992,463,397,237,271,476,361,467
2015-04-15,2,562,17,498,300,289,3,457,291,90,512,516
2015-04-15,411,195,401,416,0,442,708,433,627,761,236,575
2015-04-15,128,343,208,104,569,486,356,499,367,467,549,579
2015-04-15,492,382,0,745,229,695,591,552,425,361,327,683
2015-04-15,247,115,576,328,376,343,305,624,598,157,360,448
2015-04-15,594,362,561,274,0,656,170,105,0,741,82,91
2015-04-15,390,520,606,607,257,546,639,546,499,402,513,602
2015-04-15,227,286,199,88,364,0,719,196,281,303,327,107
2015-04-16,637,0,851,692,521,327,337,71,428,256,669,432
2015-04-16,0,300,683,0,215,649,639,615,616,206,296,228
2015-04-16,393,0,371,0,167,394,15,500,802,715,564,664
2015-04-16,81,126,648,340,92,129,570,442,511,522,183,577
2015-04-16,44,371,233,689,507,0,327,764,345,743,348,362
2015-04-16,346,576,406,202,147,461,212,662,291,386,134,611
2015-04-17,625,247,466,501,351,280,331,8,659,353,799,497
2015-04-17,568,506,193,522,384,459,747,108,274,90,347,706
2015-04-17,546,226,386,706,193,383,185,428,425,102,0,537
2015-04-17,456,454,828,169,542,655,363,566,544,80,918,811
2015-04-17,401,583,189,0,72,585,108,180,68,129,276,871
2015-04-17,473,75,831,61,360,185,590,0,456,491,573,265
2015-04-17,868,243,292,502,233,359,619,679,421,779,634,462
2015-04-17,1046,369,656,101,320,235,71,192,559,225,457,491
2015-04-18,48,474,483,22,306,463,554,861,465,371,839,377
2015-04-18,245,174,396,373,533,273,991,479,190,313,407,128
2015-04-18,445,690,0,528,946,450,441,288,823,498,820,686
2015-04-18,347,528,372,313,240,0,94,431,264,550,669,397
2015-04-18,148,259,252,0,489,77,284,396,504,276,239,483
2015-04-18,480,327,276,88,480,106,483,884,589,365,284,260
2015-04-18,275,647,446,10,594,744,237,528,365,300,14,274
2015-04-18,0,216,134,821,867,183,88,197,66,319,365,617
2015-04-18,177,251,97,382,508,512,302,0,103,391,543,701
2015-04-18,706,572,729,376,394,339,451,616,277,419,17,645
2015-04-18,601,350,309,200,391,155,290,275,468,753,249,366
2015-04-18,648,357,244,837,632,482,258,433,318,246,516,261
2015-04-18,0,322,415,336,313,961,106,223,153,609,77,544
2015-04-18,526,117,332,829,330,466,0,476,928,214,215,658
2015-04-18,823,430,0,359,0,348,291,119,616,705,0,252
2015-04-19,264,447,0,489,0,0,577,430,468,508,296,68
2015-04-19,99,544,100,452,398,421,590,473,333,192,345,480
2015-04-19,287,597,214,0,114,401,69,707,130,300,416,0
2015-04-19,554,484,362,39,557,379,250,532,470,364,823,832
2015-04-19,83,431,851,485,590,329,298,497,458,696,522,49
2015-04-19,523,445,541,48,500,0,5,582,190,683,261,291
2015-04-19,0,335,290,158,164,765,143,351,416,486,378,246
2015-04-19,404,757,272,171,309,45,2,794,771,0,387,361
2015-04-19,145,315,52,909,528,218,253,0,246,260,652,0
2015-04-19,437,180,303,170,0,524,0,205,614,494,158,338
2015-04-19,366,458,391,217,0,148,51,415,290,97,391,19
2015-04-19,0,462,468,152,221,271,488,586,109,808,394,285
2015-04-19,440,680,794,627,268,103,504,761,360,666,305,693
2015-04-20,525,134,429,365,587,3,226,536,47,347,547,30
2015-04-20,680,646,692,188,395,119,85,356,0,271,547,0
2015-04-20,0,327,0,434,1,295,264,360,26,704,583,308
2015-04-20,440,382,549,478,0,703,25,26,490,425,591,659
2015-04-20,661,515,290,524,267,183,322,0,656,163,292,313
2015-04-20,439,475,628,137,766,482,509,644,102,31,433,460
2015-04-20,529,323,256,213,356,0,588,464,816,0,462,285
2015-04-20,402,49,658,132,339,0,628,193,96,472,0,21
2015-04-20,924,314,280,461,69,931,526,0,387,160,612,584
2015-04-20,332,479,214,311,305,716,0,858,635,100,470,723
2015-04-21,259,514,297,0,330,744,533,783,553,552,408,718
2015-04-21,467,131,732,512,989,483,450,718,65,396,497,291
2015-04-21,274,464,341,410,498,102,318,220,518,0,500,315
2015-04-21,628,311,316,521,232,518,233,165,584,298,350,0
2015-04-21,824,311,0,486,73,419,408,0,135,489,91,176
2015-04-21,425,349,761,256,545,348,750,494,599,422,388,530
2015-04-21,388,166,401,58,594,332,599,640,0,429,368,38
2015-04-21,590,281,709,416,592,195,545,592,273,749,349,422
2015-04-21,205,342,305,94,283,33,612,465,144,96,818,19
2015-04-21,269,287,455,411,422,682,166,818,818,187,130,370
2015-04-21,605,464,570,547,142,624,423,193,537,620,266,698
2015-04-21,960,1142,373,185,362,352,453,149,443,1073,297,457
2015-04-21,401,203,266,209,540,279,130,444,440,169,330,604
2015-04-21,156,144,447,331,107,0,21,0,0,400,491,238
2015-04-21,779,178,386,345,414,811,424,449,237,523,882,589
2015-04-21,601,346,396,556,280,193,213,32,421,368,328,629
2015-04-21,580,575,47,0,429,261,411,344,0,324,543,892
2015-04-21,355,597,663,360,840,195,456,18,597,485,309,531
2015-04-22,431,294,375,266,374,741,313,494,713,339,422,19
2015-04-22,372,139,305,330,846,605,505,236,549,556,923,305
2015-04-22,143,6,480,668,532,385,219,504,1021,0,195,281
2015-04-22,440,391,1017,18,568,247,279,444,713,46,470,179
2015-04-22,704,658,277,396,232,675,211,203,247,719,365,319
2015-04-22,108,803,298,675,271,262,337,107,64,777,257,434
2015-04-22,468,558,70,280,309,52,104,743,347,656,513,89
2015-04-22,395,310,494,108,0,0,316,191,36,476,361,68
2015-04-22,240,723,637,572,698,474,693,0,559,861,70,211
2015-04-22,658,413,413,150,677,137,494,174,187,642,559,835
2015-04-22,746,733,652,273,396,384,155,268,396,167,552,104
2015-04-22,242,132,434,673,590,212,439,348,800,588,419,571
2015-04-23,501,914,79,267,418,279,414,633,317,100,317,505
2015-04-23,480,912,488,195,218,382,212,266,567,492,393,292
2015-04-23,554,452,434,214,419,803,200,311,563,756,0,835
2015-04-23,170,313,664,578,204,120,348,390,310,713,778,343
2015-04-23,911,379,532,133,788,690,482,0,14,503,728,20
2015-04-23,0,207,219,333,569,101,67,566,405,420,314,638
2015-04-24,150,222,503,536,203,269,219,0,739,609,400,627
2015-04-24,214,0,351,522,155,852,253,92,368,343,70,0
2015-04-24,100,467,167,440,54,611,584,1059,369,472,229,0
2015-04-24,26,681,743,305,830,620,534,805,228,44,484,160
2015-04-24,374,612,605,616,279,935,226,359,298,339,511,236
2015-04-24,920,262,66,727,646,355,188,263,50,617,386,89
2015-04-24,225,970,465,78,83,53,207,584,361,376,236,296
2015-04-24,341,131,227,206,348,371,304,0,221,109,804,831
2015-04-24,360,0,232,481,666,608,263,252,861,151,216,605
2015-04-24,61,785,639,289,622,222,732,386,511,0,533,329
2015-04-24,728,855,681,349,345,319,389,0,433,303,694,430
2015-04-24,274,663,648,486,737,0,0,364,312,485,215,204
2015-04-24,12,759,191,457,450,393,432,0,366,347,275,410
2015-04-25,238,433,790,379,980,338,22,48,332,669,328,266
2015-04-25,664,376,266,294,539,704,423,182,338,0,0,0
2015-04-25,528,582,73,718,626,379,308,434,126,596,308,0
2015-04-25,780,393,297,290,170,183,459,975,237,443,317,676
2015-04-25,109,603,156,596,432,590,164,328,330,305,277,106
2015-04-25,309,349,87,86,577,434,337,384,705,189,346,384
2015-04-25,316,789,429,430,382,0,338,502,555,14,393,351
2015-04-25,309,175,1076,18,532,522,310,69,491,172,652,435
2015-04-25,374,190,578,27,302,565,75,841,234,601,546,476
2015-04-25,653,217,64,489,316,360,451,685,519,0,528,762
2015-04-25,310,530,12,743,574,456,0,292,128,269,268,198
2015-04-25,832,259,0,272,158,705,567,801,474,148,420,610
2015-04-25,0,600,290,437,569,1127,358,566,7,406,145,534
2015-04-25,152,471,691,348,457,272,308,148,291,354,64,261
2015-04-25,592,255,426,437,449,402,103,446,42,569,682,229
2015-04-25,320,446,636,729,745,518,629,240,475,423,256,117
2015-04-25,266,518,661,14,800,265,83,619,532,437,361,601
2015-04-25,120,266,229,546,260,667,301,380,358,517,454,124
2015-04-25,788,28,483,0,613,210,42,448,130,314,366,432
2015-04-25,73,426,193,237,231,441,517,343,805,481,292,284
2015-04-26,432,678,365,173,104,300,878,395,0,344,340,384
2015-04-26,433,0,323,539,444,476,284,307,329,584,1103,712
2015-04-26,203,688,608,15,242,22,107,641,246,635,35,528
2015-04-26,122,355,290,337,483,628,244,328,321,487,13,484
2015-04-26,7,41,75,559,82,475,411,526,645,367,224,407
2015-04-26,513,420,55,247,332,265,260,330,47,267,553,547
2015-04-26,362,525,633,557,145,287,442,832,543,415,484,149
2015-04-26,467,251,982,145,219,140,501,410,484,469,817,145
2015-04-26,497,244,404,529,0,9,562,0,81,811,533,356
2015-04-26,614,182,254,402,828,0,596,109,324,443,0,460
2015-04-26,183,149,336,627,54,233,552,616,478,412,503,501
2015-04-26,230,534,413,280,851,724,575,229,321,278,470,418
2015-04-26,458,782,746,0,222,198,551,636,614,254,255,647
2015-04-27,478,0,540,318,72,414,306,566,421,482,392,99
2015-04-27,534,359,414,636,60,114,454,416,168,589,311,518
2015-04-27,624,470,478,632,52,0,506,105,349,631,294,589
2015-04-27,417,586,252,366,87,450,0,471,892,529,32,383
2015-04-27,409,360,447,500,595,575,291,74,407,110,558,706
2015-04-27,702,571,242,466,231,439,349,789,281,714,102,55
2015-04-27,438,794,734,0,223,383,261,404,262,625,730,0
2015-04-27,360,705,917,232,0,660,573,224,379,319,48,401
2015-04-27,83,183,493,329,39,573,75,570,324,796,104,578
2015-04-27,111,0,873,434,283,280,120,559,207,287,167,848
2015-04-27,345,378,259,160,0,261,43,652,480,379,124,304
2015-04-27,307,668,252,207,315,499,320,9,0,138,146,394
2015-04-28,798,807,496,64,593,0,551,237,375,759,211,672
2015-04-28,251,379,316,453,397,623,542,410,27,510,281,488
2015-04-28,189,316,207,556,267,47,433,76,573,533,66,366
2015-04-28,0,181,346,471,693,210,401,690,298,363,0,878
2015-04-28,654,388,155,345,480,574,301,524,390,27,764,293
2015-04-28,445,866,123,34,577,737,135,183,290,104,595,530
2015-04-28,381,294,472,0,280,716,133,525,0,609,12,275
2015-04-28,899,88,439,470,673,815,314,755,441,275,243,130
2015-04-28,40,245,379,306,590,292,537,194,1043,39,761,483
2015-04-28,515,339,710,0,55,485,545,567,561,251,454,80
2015-04-28,323,25,0,403,470,310,450,366,613,264,79,415
2015-04-28,0,235,572,473,370,563,471,137,229,429,680,380
2015-04-28,659,305,712,0,590,513,217,528,175,570,371,518
2015-04-28,371,0,200,628,0,454,382,261,599,130,83,254
2015-04-28,586,491,239,943,0,326,163,762,0,197,393,664
2015-04-28,404,412,0,0,249,638,46,477,518,371,19,483
2015-04-29,182,255,137,671,600,336,822,201,8,503,237,559
2015-04-29,436,18,659,461,123,225,0,560,561,669,371,409
2015-04-29,404,288,373,223,19,246,622,411,735,444,347,73
2015-04-29,309,317,638,234,606,470,96,387,874,503,60,245
2015-04-29,0,338,448,188,263,656,321,567,495,129,409,702
2015-04-29,497,682,0,532,599,0,443,361,744,727,475,378
2015-04-29,516,353,603,268,428,790,288,211,425,330,804,745
2015-04-29,681,735,208,130,751,698,22,36,205,0,295,428
2015-04-29,245,940,406,506,790,729,447,257,205,271,390,680
2015-04-30,680,111,23,456,867,416,667,460,316,505,438,364
2015-04-30,544,90,398,296,362,370,30,836,126,246,827,613
2015-04-30,566,440,482,179,425,0,882,729,107,59,471,798
2015-04-30,308,922,635,0,339,73,771,616,135,5,0,707
2015-04-30,316,282,453,730,216,72,0,470,385,547,246,611
2015-04-30,0,522,395,494,267,361,760,286,726,515,394,587
2015-04-30,489,57,148,646,293,342,183,41,213,334,181,200
2015-04-30,322,216,263,173,323,592,231,298,275,509,32,151
2015-04-30,509,69,669,385,220,501,118,0,332,626,0,173
2015-04-30,468,0,86,460,552,602,0,532,544,447,136,682
