"date","A","D","E","H","J","L","N"
2017-01-12,440,486,43,164,565,375,154
2017-01-12,300,423,96,387,401,443,450
2017-01-12,110,837,227,577,706,525,0
2017-01-12,191,370,396,681,337,177,249
2017-01-12,14,695,298,478,631,679,119
2017-01-12,830,297,987,527,193,458,216
2017-01-12,755,290,546,723,450,892,258
2017-01-12,590,307,391,688,573,594,219
2017-01-13,382,582,372,670,276,445,0
2017-01-13,560,555,226,506,387,452,710
2017-01-13,214,160,665,312,257,151,235
2017-01-13,187,478,623,749,396,150,548
2017-01-13,383,203,515,275,690,538,379
2017-01-13,391,343,720,838,897,71,243
2017-01-13,336,219,1071,327,515,533,745
2017-01-13,147,237,632,621,438,394,686
2017-01-13,529,635,585,649,331,436,414
2017-01-13,42,352,310,184,136,77,303
2017-01-13,1164,0,603,867,274,185,209
2017-01-13,281,770,654,101,356,415,398
2017-01-13,163,437,683,596,682,469,416
2017-01-13,40,1118,0,627,0,673,303
2017-01-13,624,274,500,763,197,0,335
2017-01-13,891,62,741,431,129,616,209
2017-01-13,481,518,119,323,615,307,809
2017-01-14,695,238,821,591,672,594,671
2017-01-14,595,0,553,0,290,681,235
2017-01-14,581,369,489,278,176,771,390
2017-01-14,127,0,445,624,626,427,395
2017-01-14,442,339,238,638,228,486,575
2017-01-14,113,420,409,494,567,415,277
2017-01-14,300,579,849,0,596,484,627
2017-01-14,201,300,0,354,0,712,1218
2017-01-14,375,73,779,483,634,317,873
2017-01-14,331,612,676,781,487,950,551
2017-01-14,699,108,247,84,702,223,383
2017-01-14,306,214,629,572,462,200,560
2017-01-14,227,313,228,259,915,602,637
2017-01-14,79,297,661,304,418,255,535
2017-01-14,0,447,54,677,561,407,305
2017-01-14,1257,356,194,443,492,571,277
2017-01-15,503,2,841,203,347,620,478
2017-01-15,482,239,702,467,668,677,634
2017-01-15,629,352,526,941,0,410,521
2017-01-15,543,572,0,441,276,426,459
2017-01-15,547,238,318,324,346,320,322
2017-01-15,423,568,473,114,212,9,40
2017-01-15,601,443,297,806,66,637,472
2017-01-15,752,340,516,790,510,188,716
2017-01-15,561,508,603,529,505,333,374
2017-01-15,338,485,451,376,1128,188,199
2017-01-15,365,249,472,297,51,448,500
2017-01-15,643,211,223,395,729,608,158
2017-01-15,774,70,300,352,434,356,739
2017-01-15,410,837,619,674,637,482,595
2017-01-15,464,351,333,428,37,419,0
2017-01-16,0,712,328,314,852,313,392
2017-01-16,472,461,836,845,478,127,260
2017-01-16,220,387,475,450,876,374,369
2017-01-16,709,147,495,458,616,383,667
2017-01-16,1026,514,414,322,12,441,461
2017-01-16,806,919,296,249,0,117,287
2017-01-16,856,61,150,407,343,533,506
2017-01-16,615,0,100,527,54,218,720
2017-01-16,589,1049,502,74,486,531,426
2017-01-16,595,656,77,178,519,836,814
2017-01-16,343,364,542,47,82,594,768
2017-01-16,527,299,178,191,185,363,473
2017-01-16,434,570,485,164,783,591,471
2017-01-17,167,278,686,158,581,404,119
2017-01-17,410,501,643,157,427,937,668
2017-01-17,225,465,759,342,567,474,494
2017-01-17,614,414,616,296,546,553,457
2017-01-17,0,522,0,668,513,756,515
2017-01-17,238,521,292,296,507,605,0
2017-01-17,461,1024,159,427,311,734,503
2017-01-17,254,556,356,628,166,564,706
2017-01-17,650,579,483,87,125,274,399
2017-01-17,469,776,630,198,0,297,239
2017-01-17,619,11,517,433,151,324,430
2017-01-17,549,764,748,453,690,457,319
2017-01-18,474,683,316,322,260,202,388
2017-01-18,567,783,509,315,431,339,487
2017-01-18,0,107,1075,147,797,558,170
2017-01-18,338,523,439,579,812,173,594
2017-01-18,754,344,971,91,579,408,270
2017-01-18,544,473,232,204,564,429,300
2017-01-18,257,396,151,0,586,363,445
2017-01-18,599,380,0,582,582,197,684
2017-01-18,895,218,290,247,380,510,624
2017-01-19,164,385,671,0,347,0,414
2017-01-19,753,468,639,441,534,625,388
2017-01-19,212,469,657,301,300,236,384
2017-01-19,317,394,459,0,535,1197,247
2017-01-19,472,274,571,0,344,276,234
2017-01-19,269,0,407,388,302,352,437
2017-01-19,691,735,793,711,583,204,349
2017-01-19,265,802,125,543,724,498,174
2017-01-19,273,62,449,473,101,0,269
2017-01-19,85,463,625,291,607,355,728
2017-01-19,375,803,87,428,673,742,607
2017-01-19,484,640,733,5,261,515,779
2017-01-19,210,390,396,979,382,299,615
2017-01-19,28,444,189,762,293,103,506
2017-01-19,123,168,730,586,235,470,1057
2017-01-20,539,607,494,566,240,523,397
2017-01-20,423,263,200,476,454,620,735
2017-01-20,624,361,650,158,94,232,400
2017-01-20,210,382,720,522,350,354,428
2017-01-20,835,287,122,616,603,0,505
2017-01-20,124,902,293,333,463,475,913
2017-01-20,347,349,331,532,545,377,283
2017-01-20,312,64,229,567,412,402,592
2017-01-20,516,673,443,749,558,286,490
2017-01-20,344,578,831,526,684,129,224
2017-01-20,326,994,881,248,304,116,584
2017-01-20,503,301,608,627,272,319,296
2017-01-20,562,398,28,458,570,451,177
2017-01-21,297,475,452,939,386,0,0
2017-01-21,796,128,71,665,78,285,450
2017-01-21,715,548,721,517,708,295,362
2017-01-21,500,163,162,534,491,283,437
2017-01-21,420,980,223,0,0,618,391
2017-01-21,545,638,286,367,544,363,668
2017-01-21,352,809,948,302,548,660,184
2017-01-21,0,378,155,484,0,0,309
2017-01-21,0,514,540,371,83,659,404
2017-01-21,154,411,45,324,337,330,725
2017-01-22,778,493,617,538,488,638,839
2017-01-22,534,466,437,109,418,68,218
2017-01-22,384,287,187,0,533,179,404
2017-01-22,384,610,415,0,615,0,593
2017-01-22,541,150,198,908,339,721,616
2017-01-22,613,137,481,588,195,371,450
2017-01-22,397,287,426,414,512,0,281
2017-01-22,118,393,251,143,568,68,430
2017-01-22,19,364,267,645,311,0,426
2017-01-22,284,214,270,633,857,487,136
2017-01-22,7,488,437,556,152,483,683
2017-01-22,432,279,288,212,137,713,380
2017-01-22,652,728,216,63,317,659,652
2017-01-23,803,0,199,492,498,188,526
2017-01-23,559,0,598,87,498,603,376
2017-01-23,675,328,188,598,577,308,167
2017-01-23,55,247,202,650,296,515,854
2017-01-23,234,69,223,724,439,513,417
2017-01-23,345,586,214,277,168,540,720
2017-01-23,774,294,0,217,377,724,621
2017-01-23,611,223,0,478,593,660,0
2017-01-23,273,354,516,350,740,793,258
2017-01-23,508,233,360,346,669,548,309
2017-01-23,397,271,594,970,644,692,625
2017-01-24,499,337,110,571,483,373,339
2017-01-24,310,522,343,750,164,813,475
2017-01-24,471,137,11,106,198,497,480
2017-01-24,920,27,823,725,579,251,305
2017-01-24,520,546,485,626,572,622,813
2017-01-24,807,366,473,686,274,7,562
2017-01-24,455,448,771,390,28,428,701
2017-01-24,879,500,604,308,826,389,543
2017-01-24,437,494,309,622,72,50,453
2017-01-24,718,407,306,726,151,220,519
2017-01-24,692,351,547,618,0,325,568
2017-01-24,124,218,402,154,472,341,891
2017-01-24,630,0,337,427,477,212,744
2017-01-24,658,507,443,102,420,439,413
2017-01-24,823,0,693,352,262,341,447
2017-01-24,147,676,514,270,609,585,263
2017-01-24,470,349,415,790,109,776,369
2017-01-24,498,743,376,455,68,988,704
2017-01-25,520,307,350,141,636,697,786
2017-01-25,125,617,688,444,301,371,517
2017-01-25,160,186,794,1014,837,899,0
2017-01-25,284,569,402,204,392,173,354
2017-01-25,637,416,16,283,649,142,351
2017-01-25,596,291,288,353,252,645,0
2017-01-25,326,359,0,660,124,265,400
2017-01-25,426,478,639,323,574,152,669
2017-01-25,934,637,611,664,450,602,212
2017-01-25,531,452,340,296,590,267,636
2017-01-25,632,77,682,773,584,183,379
2017-01-25,286,96,523,430,534,234,378
2017-01-25,441,481,0,177,586,1164,527
2017-01-26,134,0,0,544,163,576,449
2017-01-26,592,392,699,614,518,667,523
2017-01-26,384,624,62,305,288,465,248
2017-01-26,341,163,552,452,495,450,0
2017-01-26,357,517,285,738,120,725,399
2017-01-26,451,633,903,398,633,546,0
2017-01-26,423,423,597,315,638,512,286
2017-01-26,553,883,316,319,329,520,595
2017-01-26,591,731,524,114,528,243,515
2017-01-26,377,231,328,278,405,470,0
2017-01-26,762,894,141,577,666,440,483
2017-01-26,433,387,644,443,898,662,625
2017-01-26,272,385,66,558,267,916,816
2017-01-27,887,0,847,740,530,272,178
2017-01-27,147,531,652,494,393,130,596
2017-01-27,211,736,325,205,312,506,377
2017-01-27,704,190,652,773,0,511,803
2017-01-27,347,307,133,0,511,208,298
2017-01-27,227,536,2,193,450,391,709
2017-01-27,0,325,74,479,194,609,518
2017-01-27,734,35,287,370,780,580,492
2017-01-27,229,264,545,157,257,37,447
2017-01-27,567,440,0,387,225,110,305
2017-01-27,307,802,557,0,546,610,668
2017-01-28,698,293,735,90,541,577,262
2017-01-28,92,285,528,123,184,626,435
2017-01-28,255,489,717,194,588,300,725
2017-01-28,757,803,803,885,644,116,47
2017-01-28,234,648,219,321,200,384,67
2017-01-28,363,884,699,167,82,370,810
2017-01-28,707,224,774,692,281,670,268
2017-01-28,512,707,424,237,578,254,285
2017-01-28,472,376,458,147,374,0,22
2017-01-28,807,820,507,88,123,627,666
2017-01-28,189,705,528,268,657,578,865
2017-01-28,296,448,848,642,624,433,710
2017-01-28,553,322,482,568,417,244,663
2017-01-29,3,0,436,45,399,317,215
2017-01-29,396,398,89,0,638,631,361
2017-01-29,27,457,964,492,369,600,329
2017-01-29,326,89,319,197,33,649,326
2017-01-29,353,23,784,577,491,14,408
2017-01-29,608,266,315,241,590,413,238
2017-01-29,511,498,848,858,710,427,399
2017-01-29,636,291,119,990,598,435,281
2017-01-29,479,392,862,605,590,567,375
2017-01-29,554,748,255,57,732,588,505
2017-01-29,453,67,123,917,595,352,47
2017-01-29,818,584,690,577,375,52,575
2017-01-29,481,556,559,476,117,548,200
2017-01-29,661,512,794,880,274,830,491
2017-01-29,15,643,623,333,274,667,315
2017-01-30,485,468,89,90,731,142,543
2017-01-30,413,173,345,275,553,341,526
2017-01-30,269,705,389,487,614,414,709
2017-01-30,285,168,422,629,846,0,807
2017-01-30,652,315,254,438,204,160,677
2017-01-30,912,971,104,480,709,484,553
2017-01-30,636,0,287,297,996,0,550
2017-01-30,391,626,983,844,539,586,608
2017-01-30,339,600,481,0,571,429,219
2017-01-30,650,326,201,501,369,831,392
2017-01-30,461,363,459,195,475,140,296
2017-01-30,762,505,736,144,321,220,435
2017-01-30,144,691,135,658,82,365,373
2017-01-30,401,440,289,567,292,266,677
2017-01-30,399,114,565,420,701,898,359
2017-01-31,467,0,478,483,283,259,571
2017-01-31,0,91,0,603,269,543,243
2017-01-31,804,105,55,268,790,604,101
2017-01-31,180,875,474,0,213,0,356
2017-01-31,784,251,592,421,663,326,660
2017-01-31,397,547,170,441,469,962,626
2017-01-31,55,0,407,570,402,368,338
2017-01-31,523,634,448,334,230,0,567
2017-01-31,822,479,333,417,95,265,281
2017-01-31,300,0,337,231,851,439,1117
2017-01-31,375,272,318,29,93,117,185
2017-01-31,497,239,491,787,60,488,302
2017-01-31,627,968,456,595,677,325,368
2017-01-31,374,58,638,366,488,74,237
2017-01-31,210,223,489,716,510,257,604
2017-01-31,645,261,463,492,848,367,644
2017-01-31,556,129,383,495,472,426,0
2017-01-31,71,579,612,0,195,89,26
2017-01-31,175,484,0,920,352,0,295
