"date","A","B","C","D","E","F","I","J","L","M","N","O"
2015-08-07,495,375,409,332,134,0,633,347,245,0,386,412
2015-08-07,472,258,323,729,662,493,438,388,329,155,207,157
2015-08-07,598,401,290,405,632,332,125,348,324,442,363,115
2015-08-07,488,0,277,112,768,730,544,0,93,281,0,102
2015-08-07,128,239,301,397,3,425,106,171,863,490,329,49
2015-08-08,0,153,527,413,289,0,389,435,138,484,270,139
2015-08-08,26,324,552,270,404,431,32,512,658,121,601,0
2015-08-08,294,523,421,331,311,642,295,10,512,315,561,226
2015-08-08,145,352,74,431,399,256,285,3,66,436,0,762
2015-08-08,35,311,385,40,388,579,254,0,0,535,593,335
2015-08-08,325,40,103,267,164,516,0,357,211,623,297,187
2015-08-08,0,228,38,287,583,513,629,98,484,537,602,454
2015-08-08,352,591,467,238,668,235,0,0,467,353,49,492
2015-08-08,167,518,0,328,100,16,99,338,0,0,170,372
2015-08-08,658,420,348,0,392,288,154,408,0,646,184,392
2015-08-08,378,14,496,480,408,511,359,0,467,141,806,539
2015-08-09,289,371,453,467,391,0,549,0,185,651,239,10
2015-08-09,229,388,278,378,301,4,364,331,141,64,568,431
2015-08-09,19,730,211,354,250,464,632,388,144,92,632,241
2015-08-09,383,29,479,454,106,117,0,197,289,381,653,204
2015-08-09,131,104,612,228,364,479,459,365,622,331,114,300
2015-08-10,36,358,379,275,538,551,223,489,453,60,206,0
2015-08-10,609,307,242,435,266,17,188,0,130,0,519,368
2015-08-10,0,402,0,236,4,398,258,564,524,301,416,604
2015-08-10,319,324,0,441,538,838,336,228,0,0,0,125
2015-08-10,10,668,245,840,19,314,501,476,36,0,526,108
2015-08-10,474,330,363,164,432,78,97,98,0,127,295,358
2015-08-10,0,471,332,163,182,323,454,180,384,333,358,321
2015-08-10,210,393,0,320,284,0,415,666,677,606,0,288
2015-08-10,0,7,758,95,142,160,536,140,292,194,334,72
2015-08-10,634,410,494,0,447,373,0,420,673,432,76,596
2015-08-10,189,301,518,612,235,143,98,213,266,480,269,569
2015-08-10,229,364,455,566,69,498,263,291,116,348,347,119
2015-08-10,457,87,547,158,177,186,339,705,626,71,431,0
2015-08-10,875,255,0,30,608,815,401,324,188,129,100,156
2015-08-11,0,629,432,257,0,664,179,0,259,374,444,133
2015-08-11,579,0,668,343,362,515,0,571,343,623,310,0
2015-08-11,595,322,347,476,475,0,0,482,353,289,0,781
2015-08-11,795,25,56,0,0,337,0,0,514,155,354,172
2015-08-11,578,0,177,364,0,181,349,35,359,409,317,671
2015-08-11,0,106,384,637,403,598,311,429,590,130,0,408
2015-08-11,301,581,638,629,307,343,538,766,669,164,287,0
2015-08-11,53,164,255,284,490,141,723,61,325,436,488,109
2015-08-12,307,142,227,281,0,78,579,702,537,268,73,324
2015-08-12,0,525,468,17,622,519,316,414,27,105,250,905
2015-08-12,0,0,274,140,26,38,25,407,481,0,519,651
2015-08-12,732,0,458,725,241,0,360,0,364,101,116,0
2015-08-12,529,190,481,273,515,0,747,0,208,476,499,199
2015-08-12,158,437,438,578,413,791,227,232,635,262,555,96
2015-08-12,0,306,575,286,54,512,147,651,475,242,535,55
2015-08-12,698,570,545,312,281,287,296,91,425,293,127,0
2015-08-13,0,457,0,26,338,267,337,149,34,48,414,40
2015-08-13,0,457,84,565,403,14,0,95,0,37,0,0
2015-08-13,257,305,554,401,0,0,236,457,332,0,168,95
2015-08-13,0,435,188,0,745,386,0,322,697,0,471,524
2015-08-13,261,366,477,0,70,364,60,606,18,605,358,187
2015-08-13,453,322,785,625,56,0,31,580,399,271,401,66
2015-08-13,606,661,93,43,592,326,395,186,417,282,320,331
2015-08-13,635,383,0,376,0,68,85,0,74,81,183,314
2015-08-13,451,411,124,10,515,564,217,673,248,895,543,226
2015-08-13,306,522,183,0,0,0,236,340,856,102,431,219
2015-08-13,240,524,98,441,117,199,257,229,280,553,543,247
2015-08-13,299,28,273,363,98,163,70,373,542,273,291,668
2015-08-14,357,4,355,255,595,443,102,302,175,463,0,349
2015-08-14,133,265,0,184,189,582,170,249,236,514,368,329
2015-08-14,0,247,494,298,237,1,511,257,239,527,578,239
2015-08-14,86,0,131,625,388,194,814,450,574,0,426,120
2015-08-14,386,230,484,0,835,835,250,0,371,176,459,333
2015-08-14,269,346,94,415,26,175,212,311,0,142,433,862
2015-08-14,55,92,292,234,619,522,117,16,63,348,600,763
2015-08-14,21,612,69,410,562,655,0,256,486,475,352,308
2015-08-14,360,262,496,262,561,0,283,478,552,412,930,32
2015-08-14,228,622,238,6,240,491,291,168,8,48,152,152
2015-08-15,402,536,0,116,479,195,446,479,542,373,634,495
2015-08-15,802,0,0,613,113,578,144,426,125,603,0,683
2015-08-15,214,765,435,65,30,295,317,239,366,115,127,238
2015-08-15,74,230,375,0,305,18,519,336,389,248,129,461
2015-08-15,362,355,263,390,428,325,14,0,206,262,409,317
2015-08-15,230,682,185,0,0,138,403,469,347,236,305,761
2015-08-16,415,457,359,144,664,346,413,472,0,69,147,382
2015-08-16,0,122,297,79,110,723,86,731,48,0,550,419
2015-08-16,0,545,74,58,557,472,197,177,500,304,0,14
2015-08-16,339,146,365,294,422,302,380,235,280,228,40,0
2015-08-16,314,324,173,0,491,0,369,249,606,420,227,292
2015-08-16,0,0,448,265,637,589,574,564,511,558,236,82
2015-08-16,489,266,395,215,367,0,478,224,0,157,421,0
2015-08-16,519,327,0,469,199,512,412,364,0,367,398,538
2015-08-16,324,365,110,405,209,0,0,36,420,552,0,296
2015-08-17,406,251,278,322,85,384,707,0,545,220,389,144
2015-08-17,385,211,891,677,95,551,27,289,779,191,111,483
2015-08-17,425,416,101,0,345,0,0,127,525,409,59,68
2015-08-17,325,467,527,212,68,155,91,227,0,582,114,147
2015-08-17,21,183,520,0,459,639,410,0,767,312,354,439
2015-08-17,290,290,517,769,68,159,248,434,135,493,0,0
2015-08-17,626,0,460,381,491,517,0,352,506,436,539,364
2015-08-17,609,186,63,580,320,220,448,575,0,291,313,219
2015-08-18,774,378,592,407,0,232,198,75,293,0,244,177
2015-08-18,161,351,281,431,260,436,191,0,657,304,523,845
2015-08-18,0,355,242,150,0,45,475,119,80,499,0,226
2015-08-18,254,159,561,0,75,274,635,250,179,55,834,241
2015-08-18,474,124,372,144,0,665,389,203,228,359,387,102
2015-08-18,339,251,63,440,93,471,0,498,225,226,0,132
2015-08-18,402,323,243,0,312,529,337,564,424,0,353,294
2015-08-18,471,240,281,0,509,0,105,386,116,302,38,0
2015-08-19,33,592,334,0,362,184,251,746,580,615,111,961
2015-08-19,163,0,119,90,0,278,354,335,261,276,285,445
2015-08-19,623,494,253,168,594,251,357,544,0,0,544,557
2015-08-19,138,645,71,255,394,344,197,93,303,604,81,385
2015-08-19,554,199,155,188,40,90,183,351,61,397,132,118
2015-08-19,0,224,458,431,631,161,17,0,666,436,165,256
2015-08-19,456,174,98,628,956,388,89,74,107,265,347,499
2015-08-19,551,21,517,495,191,355,245,396,226,416,360,449
2015-08-19,164,275,462,229,418,0,303,586,648,637,312,242
2015-08-19,295,113,0,226,234,0,261,639,0,0,437,460
2015-08-19,176,257,257,258,114,349,0,215,298,129,650,244
2015-08-19,0,247,393,532,286,0,3,0,445,501,185,220
2015-08-20,0,135,692,1003,129,348,293,0,527,391,0,252
2015-08-20,444,298,0,76,442,148,252,304,865,245,171,486
2015-08-20,159,641,0,330,162,604,198,326,638,543,217,111
2015-08-20,168,10,747,10,388,711,230,254,329,500,220,16
2015-08-20,36,553,1,159,546,576,261,582,120,38,0,214
2015-08-20,270,271,0,528,426,0,156,42,54,272,314,9
2015-08-20,251,246,71,144,0,437,393,179,309,526,377,35
2015-08-20,224,74,0,659,652,72,0,350,367,596,137,261
2015-08-20,123,228,298,582,297,112,479,618,222,110,253,213
2015-08-20,413,201,28,125,278,273,374,421,203,273,135,211
2015-08-21,212,327,396,448,17,330,343,889,370,374,540,466
2015-08-21,78,129,0,465,523,0,618,191,98,222,455,57
2015-08-21,278,649,344,177,45,365,423,124,127,285,184,484
2015-08-21,0,551,372,638,382,94,522,251,560,184,598,216
2015-08-21,557,313,239,418,0,279,334,680,181,406,241,64
2015-08-21,594,147,337,291,73,302,321,323,0,498,0,412
2015-08-21,160,316,11,0,105,552,426,622,390,476,515,115
2015-08-21,197,357,0,244,336,848,379,459,23,0,553,808
2015-08-21,737,177,523,807,185,529,443,427,258,75,174,141
2015-08-21,582,166,505,642,277,523,534,231,433,127,243,292
2015-08-21,716,116,40,0,162,382,98,95,621,504,299,320
2015-08-21,129,115,309,317,259,312,486,284,0,396,0,395
2015-08-22,185,540,432,126,0,301,0,373,300,167,631,172
2015-08-22,388,509,395,202,0,89,0,509,417,96,0,485
2015-08-22,0,338,0,410,264,302,689,11,470,526,414,530
2015-08-22,324,235,211,765,650,608,478,63,245,523,295,407
2015-08-22,519,518,731,415,0,522,754,337,627,0,0,45
2015-08-22,281,87,356,207,432,238,381,72,494,77,438,114
2015-08-22,318,186,289,291,0,73,408,282,793,540,67,20
2015-08-23,589,0,201,468,292,439,339,335,22,20,456,253
2015-08-23,245,337,239,240,12,290,0,43,0,0,242,273
2015-08-23,367,311,103,447,110,551,231,152,335,0,294,59
2015-08-23,557,0,443,0,274,428,439,0,686,0,201,495
2015-08-23,242,856,110,296,261,505,218,53,320,411,84,16
2015-08-23,118,197,385,533,188,573,19,401,373,297,0,414
2015-08-23,0,312,210,103,315,0,369,297,11,0,0,296
2015-08-23,0,282,121,316,162,0,0,0,463,117,331,177
2015-08-23,147,0,308,129,462,0,0,142,235,717,278,593
2015-08-24,0,556,450,453,367,390,518,430,244,450,116,18
2015-08-24,393,399,155,371,337,572,0,537,436,185,131,283
2015-08-24,198,422,40,46,374,502,0,75,445,193,581,366
2015-08-24,262,684,202,505,0,251,106,0,50,101,0,0
2015-08-24,408,275,88,0,0,257,311,381,0,408,174,325
2015-08-24,0,496,219,132,577,416,0,863,200,409,306,638
2015-08-24,332,406,66,275,121,0,287,216,281,62,401,57
2015-08-25,213,646,295,401,527,303,308,315,70,194,286,404
2015-08-25,0,0,495,452,667,493,383,342,379,550,612,252
2015-08-25,198,32,268,441,324,434,221,171,0,249,0,0
2015-08-25,400,99,49,677,7,231,36,497,109,247,0,278
2015-08-25,546,0,576,336,539,67,329,540,615,373,0,570
2015-08-25,277,209,0,365,186,697,494,426,543,97,0,663
2015-08-25,410,34,451,642,78,431,0,419,168,462,307,172
2015-08-26,223,334,441,180,34,324,397,564,0,727,181,0
2015-08-26,639,123,460,48,137,307,439,0,249,504,96,391
2015-08-26,63,480,246,159,0,702,0,252,658,431,406,523
2015-08-26,70,462,441,78,196,408,154,486,328,332,5,453
2015-08-26,131,327,3,47,275,208,0,443,453,284,588,149
2015-08-26,495,786,384,198,0,536,297,308,191,99,0,160
2015-08-26,328,53,0,0,518,163,126,168,309,402,697,959
2015-08-26,190,0,0,124,175,213,605,132,120,633,396,0
2015-08-26,449,416,107,214,0,497,368,221,60,88,743,398
2015-08-27,365,250,256,287,255,774,199,0,362,186,191,0
2015-08-27,942,458,431,281,0,223,169,99,134,139,765,405
2015-08-27,419,0,42,414,390,174,669,562,660,229,314,157
2015-08-27,0,456,342,396,19,296,182,122,288,507,426,64
2015-08-28,272,263,489,152,297,442,68,201,712,208,695,313
2015-08-28,231,718,389,329,56,235,217,0,322,0,65,670
2015-08-28,826,616,97,0,158,21,186,0,0,599,264,283
2015-08-28,454,371,424,0,312,0,559,537,459,353,506,650
2015-08-28,300,247,0,182,688,107,0,683,668,120,39,218
2015-08-28,517,597,503,437,63,161,0,483,581,52,241,272
2015-08-28,0,125,727,285,189,0,0,0,492,499,401,298
2015-08-28,416,0,642,139,58,402,0,220,141,353,234,359
2015-08-28,57,567,455,306,56,101,721,305,0,134,383,202
2015-08-29,0,340,395,869,342,666,638,146,0,190,121,161
2015-08-29,222,308,216,317,475,456,116,570,98,82,432,150
2015-08-29,0,441,436,0,20,1006,508,50,401,264,911,625
2015-08-29,552,92,682,215,336,0,343,348,704,288,207,0
2015-08-29,258,177,132,7,257,715,456,235,269,130,90,590
2015-08-29,307,428,48,695,271,44,277,0,0,279,7,828
2015-08-29,56,574,488,433,508,497,564,444,262,161,0,424
2015-08-29,123,406,4,415,325,0,15,0,0,485,465,59
2015-08-29,229,180,50,114,522,285,139,142,456,375,302,256
2015-08-29,84,452,514,77,217,363,495,0,398,229,422,479
2015-08-29,240,58,0,404,575,289,0,383,0,330,129,182
2015-08-30,553,345,273,632,269,0,461,111,276,270,0,0
2015-08-30,296,309,248,435,366,476,285,32,712,119,218,292
2015-08-30,101,0,215,0,655,271,544,75,0,226,197,29
2015-08-30,65,249,137,662,0,300,282,255,193,0,788,324
2015-08-30,343,530,640,253,0,744,652,243,127,223,0,563
2015-08-30,472,28,198,119,812,186,368,673,77,239,778,258
2015-08-30,484,297,219,314,315,395,186,401,202,357,464,82
2015-08-30,210,280,517,127,395,443,400,0,0,212,319,0
2015-08-30,312,459,242,0,268,414,242,255,425,0,525,549
2015-08-31,436,96,268,380,394,526,95,73,443,486,0,0
2015-08-31,282,0,0,517,350,287,61,495,0,107,3,298
2015-08-31,348,316,569,378,312,361,69,0,604,356,733,368
2015-08-31,312,706,358,579,319,81,542,201,359,345,420,78
2015-08-31,72,604,284,86,305,157,299,218,297,80,0,93
2015-08-31,170,0,322,186,435,337,366,62,507,475,36,509
2015-08-31,573,495,466,144,101,762,155,0,417,800,352,295
2015-08-31,817,469,516,146,30,20,621,225,500,575,637,203
2015-08-31,24,379,219,373,0,460,115,416,381,549,257,0
2015-08-31,585,0,724,114,407,261,377,341,0,705,0,356
2015-08-31,182,384,41,642,461,475,53,77,169,619,0,330
2015-08-31,274,31,526,461,795,0,519,300,452,383,47,619
2015-08-31,72,225,421,584,635,574,217,0,313,262,174,592
