"date","A","C","E","F","G","H","K","L","M","N","O"
2015-09-14,937,854,354,211,408,803,26,670,555,96,226
2015-09-14,353,714,672,352,211,27,759,1067,445,689,369
2015-09-14,265,136,240,259,671,605,0,426,63,676,268
2015-09-14,268,688,333,431,572,601,213,258,777,288,506
2015-09-14,292,729,308,676,712,590,562,644,379,960,764
2015-09-14,124,481,160,629,342,75,375,807,278,419,407
2015-09-14,701,317,601,0,932,431,435,13,460,714,792
2015-09-14,167,711,86,211,413,814,1017,18,372,440,507
2015-09-14,325,354,768,491,213,436,679,0,746,1068,618
2015-09-14,89,434,0,220,759,294,118,325,617,249,168
2015-09-14,432,388,198,548,363,594,564,660,535,603,838
2015-09-15,82,177,241,162,96,892,874,469,204,484,575
2015-09-15,653,179,784,1049,81,692,396,548,820,92,334
2015-09-15,450,529,672,385,494,356,647,458,428,610,430
2015-09-15,685,680,943,704,788,559,493,415,164,389,416
2015-09-15,606,618,601,430,432,98,482,434,63,661,511
2015-09-15,449,588,700,676,0,387,664,166,177,551,126
2015-09-15,422,39,98,250,589,404,182,451,660,556,230
2015-09-15,942,371,329,372,329,571,841,55,528,0,0
2015-09-15,358,281,313,647,452,190,100,722,120,31,742
2015-09-15,808,510,529,323,771,662,113,388,672,102,696
2015-09-15,578,726,298,450,110,760,728,528,122,536,0
2015-09-15,794,0,486,481,468,801,555,674,653,781,406
2015-09-15,378,710,508,541,717,424,415,509,711,310,314
2015-09-15,595,0,231,558,619,742,212,497,303,383,435
2015-09-15,509,927,538,616,0,611,315,232,409,393,331
2015-09-15,333,339,624,337,99,0,560,399,936,231,572
2015-09-16,557,470,313,199,431,800,1224,415,415,415,422
2015-09-16,266,96,619,59,663,162,597,511,121,390,465
2015-09-16,723,760,171,243,1037,368,294,503,707,222,782
2015-09-16,412,637,310,786,636,401,308,198,798,227,765
2015-09-16,184,436,224,134,503,618,628,532,393,320,0
2015-09-16,333,207,712,524,658,659,404,574,267,755,145
2015-09-16,224,837,625,450,669,864,921,282,515,648,434
2015-09-16,597,159,701,768,738,376,336,599,436,145,384
2015-09-16,680,478,599,80,533,288,532,452,656,204,412
2015-09-16,374,316,44,81,338,407,479,348,666,385,30
2015-09-16,797,46,739,880,0,665,120,490,498,135,509
2015-09-17,77,284,686,561,305,485,891,408,188,351,183
2015-09-17,318,678,306,448,663,431,447,549,493,312,472
2015-09-17,271,718,996,586,591,661,309,499,499,541,1113
2015-09-17,445,410,62,393,1150,581,123,645,752,451,126
2015-09-17,145,852,713,164,0,244,929,456,735,687,32
2015-09-17,175,744,151,471,257,488,1040,125,112,403,584
2015-09-17,561,862,429,218,348,327,656,437,669,910,572
2015-09-17,572,160,807,297,37,371,276,106,427,0,0
2015-09-17,122,508,609,70,153,266,598,669,874,253,1252
2015-09-17,241,502,757,280,677,508,361,698,582,464,638
2015-09-17,216,677,245,356,607,464,34,339,648,462,567
2015-09-17,346,264,837,753,354,428,504,171,928,178,400
2015-09-17,562,528,302,0,589,156,901,901,427,412,292
2015-09-17,599,396,247,293,289,618,936,95,423,834,344
2015-09-17,0,463,597,391,987,0,826,371,231,669,363
2015-09-17,167,150,294,505,498,808,641,233,488,599,407
2015-09-17,232,402,493,98,45,227,785,524,826,342,711
2015-09-17,440,276,325,90,448,452,608,341,509,90,683
2015-09-17,475,461,139,335,189,76,505,485,462,711,359
2015-09-17,138,320,284,660,105,554,583,250,592,701,615
2015-09-17,750,348,581,445,363,699,603,561,383,736,483
2015-09-18,431,464,699,234,370,735,296,428,335,0,22
2015-09-18,576,315,375,495,733,407,428,234,346,51,487
2015-09-18,495,545,504,390,324,210,456,486,258,671,767
2015-09-18,637,101,719,583,66,567,355,554,199,438,291
2015-09-18,536,603,690,267,376,517,404,445,699,598,659
2015-09-18,235,617,564,396,377,788,640,813,171,0,131
2015-09-18,472,284,256,512,542,472,0,457,746,865,434
2015-09-18,342,266,301,267,274,431,325,394,343,312,977
2015-09-18,308,354,524,87,381,303,746,82,617,623,290
2015-09-18,308,556,248,474,599,654,875,441,261,68,487
2015-09-18,267,245,397,841,30,152,469,166,0,724,739
2015-09-18,338,511,228,366,334,771,321,369,236,271,276
2015-09-18,141,372,227,51,471,366,227,262,253,323,361
2015-09-18,245,407,336,540,592,558,535,666,226,454,246
2015-09-18,605,335,163,481,285,559,326,819,0,316,5
2015-09-18,294,0,685,666,260,298,689,316,695,675,702
2015-09-18,0,139,570,343,810,357,728,537,345,478,414
2015-09-18,503,98,22,0,247,234,752,588,301,363,394
2015-09-19,346,81,359,676,531,617,202,414,427,428,486
2015-09-19,231,221,495,701,537,602,382,328,476,209,331
2015-09-19,156,508,596,726,312,385,762,524,0,586,315
2015-09-19,904,256,168,717,658,418,550,234,108,501,725
2015-09-19,332,180,600,663,209,189,711,127,520,441,501
2015-09-19,332,876,227,621,597,572,532,318,836,438,1002
2015-09-19,728,508,734,437,684,1127,579,311,331,582,0
2015-09-19,85,673,1,479,662,35,1144,527,236,81,0
2015-09-19,120,486,332,668,291,351,538,538,548,1239,0
2015-09-19,250,115,403,895,309,345,14,530,820,783,296
2015-09-19,413,0,626,39,183,384,286,60,420,535,349
2015-09-19,528,270,486,613,711,292,729,930,208,144,256
2015-09-19,499,372,593,224,164,406,397,0,69,426,973
2015-09-20,693,739,0,492,141,706,668,500,433,345,398
2015-09-20,494,596,648,270,448,238,609,244,215,375,348
2015-09-20,767,131,922,777,593,626,426,728,404,330,910
2015-09-20,1116,469,240,746,482,596,181,429,594,258,492
2015-09-20,64,797,470,673,869,957,724,389,0,787,600
2015-09-20,537,605,913,404,566,323,354,768,704,0,415
2015-09-20,43,354,58,471,323,583,302,146,186,690,0
2015-09-20,510,745,436,551,135,681,496,681,465,292,486
2015-09-20,556,767,385,486,460,970,563,585,296,630,551
2015-09-20,624,14,4,46,228,218,0,768,661,693,130
2015-09-20,665,63,569,34,112,453,0,224,505,293,678
2015-09-20,754,265,573,249,445,506,748,195,527,398,884
2015-09-21,711,744,127,606,665,353,645,344,422,428,288
2015-09-21,511,547,197,97,526,13,595,680,539,51,555
2015-09-21,105,484,519,156,238,389,239,133,70,528,381
2015-09-21,329,326,556,439,512,522,50,434,529,0,488
2015-09-21,931,401,605,136,276,36,337,460,250,486,298
2015-09-21,503,0,498,52,213,977,441,842,359,566,274
2015-09-21,860,206,680,461,397,489,273,662,793,582,954
2015-09-21,389,0,177,656,767,242,558,384,730,638,675
2015-09-21,431,0,592,520,433,451,497,298,228,380,611
2015-09-21,482,463,110,701,529,240,355,276,559,787,541
2015-09-22,720,319,476,714,189,595,236,172,532,362,282
2015-09-22,394,608,591,496,139,0,265,21,598,631,354
2015-09-22,900,848,283,615,572,486,1132,427,110,594,40
2015-09-22,477,591,290,455,355,284,446,283,669,89,245
2015-09-22,888,723,593,328,0,258,252,446,568,0,562
2015-09-22,428,525,348,349,182,805,498,380,638,264,312
2015-09-22,401,406,577,538,762,203,739,41,603,458,18
2015-09-22,600,647,0,0,53,125,617,375,509,137,834
2015-09-22,960,339,429,175,465,591,402,768,464,269,836
2015-09-23,398,480,548,462,0,104,521,678,713,382,544
2015-09-23,906,173,443,67,387,73,258,700,80,89,354
2015-09-23,478,572,396,410,626,445,977,578,339,680,518
2015-09-23,734,629,58,304,367,816,217,1098,209,393,426
2015-09-23,457,348,615,168,159,410,468,770,469,417,225
2015-09-23,175,596,191,53,283,487,391,0,355,764,1020
2015-09-23,282,889,450,740,294,197,640,336,0,141,546
2015-09-23,523,0,501,556,309,305,419,432,262,124,542
2015-09-23,451,741,91,481,14,409,464,250,432,454,16
2015-09-23,165,497,607,359,369,140,271,827,178,304,592
2015-09-23,76,483,71,611,423,306,304,167,537,261,525
2015-09-24,571,930,262,620,25,447,249,606,424,63,615
2015-09-24,411,816,531,591,612,0,548,224,150,973,0
2015-09-24,245,200,689,0,478,444,0,528,185,284,537
2015-09-24,367,473,301,451,221,449,332,762,348,123,608
2015-09-24,468,489,483,0,452,829,593,131,0,448,0
2015-09-24,208,139,294,373,669,219,45,757,64,7,266
2015-09-24,81,613,336,55,651,0,0,505,650,892,245
2015-09-24,544,780,579,976,541,463,477,265,794,483,646
2015-09-24,658,257,377,375,166,294,348,489,853,64,159
2015-09-24,796,396,245,362,401,283,822,575,579,597,41
2015-09-24,416,96,89,638,145,527,785,991,205,635,625
2015-09-24,913,461,260,235,209,175,498,300,197,0,137
2015-09-24,335,801,344,708,647,417,275,173,409,363,490
2015-09-24,491,134,360,479,401,246,624,541,516,194,692
2015-09-24,369,803,133,963,628,204,233,973,127,434,295
2015-09-24,182,25,671,570,359,370,392,659,181,673,334
2015-09-24,594,235,593,596,855,87,66,373,798,674,379
2015-09-25,317,73,516,161,470,720,400,195,255,682,352
2015-09-25,443,603,948,284,305,47,66,687,437,294,248
2015-09-25,581,534,462,654,217,329,425,486,0,0,574
2015-09-25,911,509,565,185,499,701,73,472,583,448,231
2015-09-25,716,93,829,212,0,594,477,269,420,395,378
2015-09-25,440,748,206,621,601,798,138,391,507,0,240
2015-09-25,571,311,806,377,57,680,422,522,536,576,176
2015-09-25,242,52,604,616,954,0,214,381,473,607,588
2015-09-25,267,715,211,401,726,506,690,204,535,355,22
2015-09-25,557,238,714,364,515,0,860,590,444,368,48
2015-09-25,286,551,440,349,423,844,298,396,333,239,0
2015-09-25,97,548,738,110,281,681,449,232,949,445,0
2015-09-25,673,0,554,556,476,70,489,604,691,311,416
2015-09-25,2,696,825,542,634,762,459,530,198,652,413
2015-09-26,175,622,367,473,26,445,258,410,404,515,502
2015-09-26,226,253,922,247,764,536,344,50,154,238,273
2015-09-26,33,503,504,650,489,300,591,348,348,567,209
2015-09-26,721,219,273,5,335,199,300,238,811,525,108
2015-09-26,117,690,486,730,0,52,454,699,775,562,294
2015-09-26,577,445,509,383,474,371,589,231,345,355,616
2015-09-26,664,529,0,392,407,761,379,474,229,345,314
2015-09-26,0,620,239,1008,890,324,350,479,402,265,347
2015-09-26,341,676,436,812,254,580,447,619,0,134,884
2015-09-26,628,218,701,267,348,381,521,339,920,498,494
2015-09-26,792,630,393,441,795,271,279,797,818,455,0
2015-09-26,689,490,408,589,344,529,515,727,445,247,357
2015-09-26,0,503,419,260,188,328,514,249,827,578,439
2015-09-26,637,331,387,419,503,697,232,759,313,399,604
2015-09-26,810,0,458,641,0,590,471,578,0,56,525
2015-09-26,632,595,1022,311,136,199,706,564,416,419,876
2015-09-27,546,745,136,0,574,373,954,369,945,250,275
2015-09-27,800,334,742,696,456,493,556,123,74,637,748
2015-09-27,213,456,544,379,142,938,519,279,483,326,197
2015-09-27,650,408,514,540,742,629,95,676,468,203,0
2015-09-27,681,135,391,855,373,0,404,383,61,767,127
2015-09-27,473,462,720,573,490,200,435,277,0,601,369
2015-09-27,108,491,167,733,721,644,759,0,487,774,169
2015-09-27,439,0,355,73,492,368,498,790,521,475,497
2015-09-27,342,0,114,846,360,257,436,559,551,793,55
2015-09-27,357,17,425,0,91,567,590,531,744,302,411
2015-09-27,52,602,487,983,622,476,665,0,755,281,878
2015-09-27,713,629,512,127,217,547,13,0,556,292,266
2015-09-27,948,334,230,102,497,853,561,578,82,543,273
2015-09-27,669,533,56,624,677,545,568,589,360,389,332
2015-09-27,170,324,358,126,389,549,55,315,801,699,278
2015-09-27,0,726,655,336,890,165,630,463,142,100,260
2015-09-27,492,471,286,583,394,107,353,248,605,583,176
2015-09-27,590,437,535,611,369,255,636,509,515,258,142
2015-09-27,301,410,209,598,91,610,313,129,427,446,275
2015-09-28,441,478,368,337,894,657,283,1057,710,266,374
2015-09-28,673,556,484,429,625,669,693,529,619,107,485
2015-09-28,484,777,161,625,508,417,766,436,870,0,535
2015-09-28,690,407,331,1097,506,422,439,165,754,616,289
2015-09-28,0,475,495,530,123,518,384,844,501,677,767
2015-09-28,887,380,476,382,643,482,399,464,159,132,134
2015-09-28,454,268,364,0,620,511,353,240,762,371,230
2015-09-28,601,229,613,1120,612,547,320,537,260,175,689
2015-09-28,547,605,355,238,517,302,507,255,17,265,198
2015-09-28,410,391,43,566,400,664,1180,789,404,621,379
2015-09-28,467,675,375,0,516,238,849,200,421,589,552
2015-09-28,252,127,752,238,898,0,724,333,818,519,844
2015-09-28,662,673,324,849,455,332,887,372,460,630,96
2015-09-28,561,805,115,645,769,333,180,399,278,374,141
2015-09-29,412,497,553,259,119,548,612,634,663,55,707
2015-09-29,666,349,17,704,291,712,599,486,521,934,264
2015-09-29,317,328,579,265,230,352,948,410,574,284,518
2015-09-29,444,210,274,698,623,346,574,430,115,656,382
2015-09-29,474,246,871,512,571,458,613,145,442,563,64
2015-09-29,200,163,560,291,520,475,573,58,511,293,326
2015-09-29,628,558,804,555,598,239,568,570,409,630,477
2015-09-29,0,436,165,774,595,527,316,568,238,143,593
2015-09-29,552,516,0,441,625,134,235,378,395,303,302
2015-09-29,332,176,731,707,519,698,443,20,576,141,848
2015-09-29,307,729,455,842,752,613,485,493,295,345,436
2015-09-29,207,66,569,872,564,257,293,518,765,89,81
2015-09-29,708,600,780,548,444,701,865,263,1011,286,0
2015-09-29,618,479,868,697,674,601,506,739,279,554,913
2015-09-29,1056,400,552,735,422,0,536,183,344,299,817
2015-09-29,165,338,222,228,73,748,111,577,413,679,373
2015-09-30,293,833,721,461,336,509,174,694,698,584,503
2015-09-30,332,761,746,514,265,741,265,281,400,1087,504
2015-09-30,527,978,779,733,1025,790,739,555,521,906,485
2015-09-30,204,632,529,155,681,137,807,278,625,420,511
2015-09-30,575,165,245,557,289,140,403,653,144,167,696
2015-09-30,61,812,836,384,744,687,205,191,558,311,411
2015-09-30,0,192,518,593,822,609,762,546,283,910,259
2015-09-30,397,208,319,515,211,0,536,697,480,600,268
2015-09-30,295,486,198,363,738,255,947,783,500,411,288
2015-09-30,533,624,291,0,438,339,341,265,253,682,328
2015-09-30,679,553,477,373,298,91,494,289,166,475,407
2015-09-30,18,843,326,345,0,501,301,636,368,769,210
2015-09-30,569,0,127,777,36,510,542,515,249,0,0
2015-09-30,568,51,679,1191,122,292,142,479,440,546,26
2015-09-30,554,527,399,695,220,455,558,581,529,355,384
2015-09-30,6,417,641,734,84,272,501,335,744,165,203
2015-09-30,159,714,496,162,571,262,328,562,176,99,604
2015-09-30,965,880,451,868,1070,581,332,720,114,309,439
2015-09-30,420,130,109,282,490,829,650,599,408,776,586
2015-09-30,606,224,579,616,821,438,352,385,271,553,317
