"date","B","E","G","K","L","O"
2017-05-11,407,445,129,397,310,64
2017-05-11,965,680,730,196,428,612
2017-05-11,719,396,511,621,689,213
2017-05-11,569,662,924,514,482,816
2017-05-11,327,617,228,494,570,899
2017-05-11,681,575,967,567,605,362
2017-05-11,199,395,408,684,310,112
2017-05-11,56,409,78,250,602,285
2017-05-11,1053,208,1104,343,437,164
2017-05-11,485,437,444,303,430,617
2017-05-11,729,291,681,395,134,853
2017-05-11,503,732,537,916,16,473
2017-05-11,674,521,869,87,562,742
2017-05-11,538,336,555,712,256,334
2017-05-11,478,540,417,297,817,379
2017-05-11,826,169,862,598,255,708
2017-05-12,523,611,204,447,504,444
2017-05-12,605,876,445,1124,327,0
2017-05-12,731,434,569,833,283,487
2017-05-12,458,92,646,610,543,537
2017-05-12,666,598,609,794,566,0
2017-05-12,164,479,477,515,877,293
2017-05-12,319,297,647,468,666,116
2017-05-12,138,545,382,1213,242,432
2017-05-12,393,185,43,341,591,348
2017-05-12,251,244,171,372,514,918
2017-05-12,121,93,289,905,560,449
2017-05-12,0,464,592,392,636,369
2017-05-12,607,370,304,340,71,99
2017-05-12,748,396,374,741,294,844
2017-05-13,0,624,1018,634,0,687
2017-05-13,530,529,259,394,640,439
2017-05-13,388,0,795,570,511,853
2017-05-13,201,373,824,270,345,126
2017-05-13,263,727,431,780,930,304
2017-05-13,416,633,658,308,850,322
2017-05-13,720,509,341,659,173,153
2017-05-13,640,613,589,286,436,771
2017-05-13,339,342,696,597,479,871
2017-05-13,700,416,57,833,497,318
2017-05-13,616,391,66,415,377,455
2017-05-13,331,452,79,538,465,30
2017-05-13,699,352,539,543,394,417
2017-05-13,709,206,224,373,413,597
2017-05-14,312,750,766,399,408,477
2017-05-14,661,807,752,197,193,161
2017-05-14,0,633,752,519,720,511
2017-05-14,315,691,0,299,256,329
2017-05-14,295,439,342,0,351,324
2017-05-14,768,196,585,561,144,650
2017-05-14,723,648,790,208,465,1055
2017-05-14,400,312,491,866,606,0
2017-05-15,961,1005,745,698,401,597
2017-05-15,0,786,207,466,146,471
2017-05-15,171,603,253,368,105,0
2017-05-15,600,732,518,434,599,460
2017-05-15,616,612,491,731,232,902
2017-05-15,689,853,696,397,190,334
2017-05-15,989,521,435,518,643,523
2017-05-15,339,696,226,891,1082,264
2017-05-15,332,570,559,397,320,344
2017-05-15,441,598,258,800,941,804
2017-05-15,868,19,267,463,301,386
2017-05-15,366,857,0,498,596,700
2017-05-15,235,597,399,436,642,475
2017-05-15,521,498,724,835,121,375
2017-05-16,3,978,56,772,368,346
2017-05-16,669,0,666,210,325,499
2017-05-16,285,872,412,916,880,490
2017-05-16,665,429,397,461,577,649
2017-05-16,303,314,530,0,506,681
2017-05-16,535,358,273,312,438,564
2017-05-16,403,247,576,313,444,802
2017-05-16,750,137,90,689,392,522
2017-05-16,815,601,225,713,460,274
2017-05-16,674,646,641,716,282,376
2017-05-16,388,266,592,264,741,538
2017-05-16,587,659,434,125,554,451
2017-05-16,193,357,828,434,752,750
2017-05-17,565,839,599,410,880,131
2017-05-17,930,204,690,338,596,860
2017-05-17,162,822,585,1005,935,538
2017-05-17,184,611,291,520,174,995
2017-05-17,15,510,667,612,263,487
2017-05-17,217,1066,730,340,621,317
2017-05-17,458,661,388,433,682,800
2017-05-17,600,647,14,380,274,503
2017-05-17,500,594,647,267,479,598
2017-05-17,533,674,576,258,615,569
2017-05-17,265,242,557,632,788,755
2017-05-17,487,231,582,626,629,128
2017-05-17,754,417,462,495,1166,590
2017-05-17,936,123,897,660,676,692
2017-05-17,514,88,611,527,551,49
2017-05-17,734,467,215,634,89,119
2017-05-17,448,431,506,492,371,63
2017-05-17,252,558,636,183,541,789
2017-05-17,347,424,421,295,362,296
2017-05-17,500,94,673,592,677,557
2017-05-17,117,65,880,38,531,509
2017-05-17,643,863,336,761,589,444
2017-05-18,248,367,694,605,250,944
2017-05-18,100,318,360,620,734,889
2017-05-18,686,247,370,624,0,645
2017-05-18,614,178,543,469,356,1070
2017-05-18,149,319,345,600,550,544
2017-05-18,400,433,0,520,727,784
2017-05-18,531,0,188,371,414,468
2017-05-18,531,620,635,65,0,607
2017-05-18,305,215,168,750,748,663
2017-05-18,825,68,104,143,448,674
2017-05-18,573,451,88,0,448,575
2017-05-18,847,460,558,586,18,153
2017-05-19,853,809,296,786,430,499
2017-05-19,600,176,451,172,612,374
2017-05-19,289,746,1108,433,397,721
2017-05-19,325,141,543,263,596,3
2017-05-19,0,709,0,230,0,768
2017-05-19,136,34,554,440,65,379
2017-05-19,320,657,567,339,348,854
2017-05-19,748,565,349,440,263,287
2017-05-19,817,414,407,531,519,239
2017-05-19,310,122,178,442,566,710
2017-05-19,646,137,557,315,409,510
2017-05-19,288,286,92,81,699,253
2017-05-19,0,357,1036,700,40,391
2017-05-19,212,240,406,609,242,407
2017-05-19,768,127,0,743,469,565
2017-05-19,335,513,353,621,933,648
2017-05-19,468,668,489,500,552,459
2017-05-19,283,568,749,466,160,352
2017-05-19,409,754,756,443,698,353
2017-05-20,531,707,439,521,550,668
2017-05-20,477,153,216,774,173,346
2017-05-20,785,355,319,91,414,625
2017-05-20,192,563,404,420,356,561
2017-05-20,820,440,435,654,812,226
2017-05-20,738,321,557,78,461,415
2017-05-20,549,167,726,719,769,417
2017-05-20,338,655,205,555,230,412
2017-05-20,343,595,255,830,654,670
2017-05-20,287,766,0,480,362,306
2017-05-20,678,732,218,0,507,860
2017-05-20,115,572,424,398,499,580
2017-05-20,372,603,241,763,674,639
2017-05-20,810,499,912,723,573,476
2017-05-20,869,678,650,672,527,576
2017-05-20,877,519,223,663,650,633
2017-05-20,594,579,724,263,235,413
2017-05-20,285,414,577,408,211,522
2017-05-20,113,405,519,387,118,689
2017-05-20,490,751,553,165,948,958
2017-05-20,463,356,171,0,389,564
2017-05-20,937,303,546,586,604,630
2017-05-21,585,679,881,215,505,582
2017-05-21,288,550,483,685,936,419
2017-05-21,330,790,353,742,264,547
2017-05-21,85,313,679,420,812,941
2017-05-21,556,699,451,587,605,102
2017-05-21,813,359,546,729,600,739
2017-05-21,740,262,440,374,673,549
2017-05-21,597,228,724,729,162,719
2017-05-21,366,977,583,576,501,904
2017-05-21,198,296,854,597,389,296
2017-05-21,987,848,274,584,888,537
2017-05-21,514,376,523,345,516,479
2017-05-21,0,600,828,103,270,458
2017-05-22,647,645,600,429,470,467
2017-05-22,318,784,49,398,375,787
2017-05-22,734,380,394,274,447,353
2017-05-22,233,63,949,406,396,305
2017-05-22,252,267,434,617,159,722
2017-05-22,299,828,564,591,330,442
2017-05-22,863,139,601,0,696,614
2017-05-22,606,32,394,538,457,129
2017-05-22,603,655,568,457,597,0
2017-05-22,672,324,316,479,565,573
2017-05-22,907,67,637,744,598,42
2017-05-22,579,626,1038,130,425,704
2017-05-22,307,679,485,0,540,460
2017-05-23,371,644,297,708,166,630
2017-05-23,979,554,161,594,729,7
2017-05-23,251,389,395,371,130,679
2017-05-23,709,309,957,440,551,673
2017-05-23,627,383,576,500,379,356
2017-05-23,82,430,874,211,226,480
2017-05-23,912,397,693,654,323,672
2017-05-23,489,443,747,440,639,507
2017-05-23,544,350,125,726,597,486
2017-05-23,262,191,572,117,676,435
2017-05-23,544,766,391,645,150,760
2017-05-23,566,382,61,553,291,640
2017-05-23,371,974,442,346,324,310
2017-05-23,265,373,404,408,711,0
2017-05-23,391,573,446,601,584,0
2017-05-23,686,641,488,583,518,685
2017-05-23,944,733,947,534,245,876
2017-05-23,269,641,547,450,640,369
2017-05-23,212,574,41,224,824,488
2017-05-23,757,627,84,163,223,71
2017-05-23,813,514,341,598,607,637
2017-05-23,340,255,25,427,878,777
2017-05-23,215,856,725,402,599,548
2017-05-23,659,386,693,350,339,639
2017-05-23,436,436,517,941,0,498
2017-05-23,285,647,873,399,676,529
2017-05-23,619,439,69,991,784,195
2017-05-24,597,307,377,632,357,550
2017-05-24,420,426,635,279,263,558
2017-05-24,223,686,661,431,458,45
2017-05-24,686,400,497,740,442,648
2017-05-24,414,628,417,70,303,274
2017-05-24,291,1101,223,712,325,354
2017-05-24,16,261,383,66,954,502
2017-05-24,594,538,496,317,205,300
2017-05-24,178,663,441,453,554,254
2017-05-24,573,415,672,339,510,585
2017-05-24,658,618,443,439,495,289
2017-05-24,461,597,502,611,758,373
2017-05-24,491,132,731,632,297,945
2017-05-24,260,244,481,546,173,158
2017-05-24,517,393,804,761,501,193
2017-05-24,439,599,85,329,316,498
2017-05-25,458,433,631,325,74,257
2017-05-25,801,53,588,521,433,0
2017-05-25,839,291,203,398,1271,227
2017-05-25,387,746,612,886,453,637
2017-05-25,456,188,543,505,330,432
2017-05-25,405,0,551,56,340,443
2017-05-25,547,0,464,451,622,670
2017-05-25,755,317,459,253,259,346
2017-05-25,493,621,954,0,199,339
2017-05-25,723,756,397,222,224,271
2017-05-25,0,610,143,124,606,276
2017-05-25,371,895,812,360,688,433
2017-05-25,226,663,183,267,606,639
2017-05-25,444,739,436,651,769,364
2017-05-25,295,136,282,659,677,429
2017-05-25,284,435,339,0,449,657
2017-05-25,502,629,613,321,24,708
2017-05-26,633,651,349,644,176,361
2017-05-26,478,328,534,371,23,378
2017-05-26,425,409,240,675,392,768
2017-05-26,676,333,441,532,256,386
2017-05-26,382,749,598,164,172,458
2017-05-26,578,505,273,670,0,861
2017-05-26,688,549,338,548,188,692
2017-05-26,748,463,452,607,793,873
2017-05-26,669,770,454,573,468,699
2017-05-26,949,533,641,691,402,486
2017-05-26,288,134,616,405,767,282
2017-05-26,764,743,885,494,563,463
2017-05-26,477,426,450,100,483,335
2017-05-26,234,322,223,272,364,355
2017-05-26,381,520,515,689,255,700
2017-05-26,731,802,211,197,652,0
2017-05-27,946,590,158,388,715,701
2017-05-27,883,649,497,305,564,222
2017-05-27,0,486,839,903,326,0
2017-05-27,262,509,371,437,466,625
2017-05-27,419,421,396,436,595,764
2017-05-27,455,464,513,0,368,640
2017-05-27,687,1010,641,469,703,368
2017-05-27,252,344,888,413,0,308
2017-05-27,791,565,317,253,529,565
2017-05-27,206,463,221,535,365,336
2017-05-27,669,592,1069,646,622,305
2017-05-27,675,151,483,830,516,474
2017-05-27,322,261,578,0,634,428
2017-05-27,509,851,551,5,0,458
2017-05-27,785,120,363,1224,379,326
2017-05-28,0,460,675,884,488,137
2017-05-28,0,371,802,647,278,455
2017-05-28,107,443,217,586,439,537
2017-05-28,454,74,172,540,106,524
2017-05-28,483,654,159,583,664,8
2017-05-28,683,902,692,479,57,371
2017-05-28,455,902,415,699,916,0
2017-05-28,751,980,447,445,533,0
2017-05-28,659,112,481,366,162,321
2017-05-28,550,385,505,275,678,659
2017-05-28,898,522,502,486,0,744
2017-05-28,537,418,44,82,394,486
2017-05-29,624,412,851,68,899,656
2017-05-29,794,661,881,674,311,825
2017-05-29,189,717,774,588,570,384
2017-05-29,289,0,718,934,583,174
2017-05-29,208,533,287,480,1076,495
2017-05-29,778,258,824,561,344,818
2017-05-29,514,590,535,84,364,478
2017-05-29,460,158,835,261,679,530
2017-05-29,578,508,291,4,804,615
2017-05-29,459,684,412,491,247,662
2017-05-29,649,493,860,645,933,11
2017-05-29,936,72,439,181,438,605
2017-05-29,834,730,251,455,498,417
2017-05-29,206,553,99,249,240,636
2017-05-29,250,273,409,0,708,806
2017-05-29,317,678,555,454,462,321
2017-05-29,25,507,217,480,195,513
2017-05-29,458,544,441,144,455,787
2017-05-29,561,288,534,316,818,427
2017-05-29,677,728,223,417,41,177
2017-05-29,495,213,867,142,516,596
2017-05-30,447,878,631,52,360,495
2017-05-30,795,368,638,1034,318,789
2017-05-30,0,637,374,779,590,500
2017-05-30,323,419,152,122,768,733
2017-05-30,463,610,472,513,236,342
2017-05-30,362,338,0,834,449,255
2017-05-30,744,473,414,225,283,428
2017-05-30,203,502,941,172,384,704
2017-05-30,437,389,716,252,381,729
2017-05-30,456,725,533,679,711,821
2017-05-30,402,975,1193,288,459,379
2017-05-30,421,511,1281,602,849,410
2017-05-30,458,932,102,864,730,811
2017-05-30,669,316,268,319,229,351
2017-05-30,140,196,510,656,532,401
2017-05-30,354,119,549,184,245,322
2017-05-30,182,158,322,451,402,461
2017-05-31,907,631,670,258,367,499
2017-05-31,580,163,541,659,112,369
2017-05-31,0,312,556,694,468,580
2017-05-31,62,229,384,424,1047,411
2017-05-31,318,226,599,527,417,464
2017-05-31,897,577,476,1066,784,652
2017-05-31,272,205,34,1200,828,0
2017-05-31,453,157,912,769,539,279
2017-05-31,368,470,147,253,214,721
2017-05-31,730,310,839,106,280,729
2017-05-31,511,270,382,519,749,1018
2017-05-31,76,552,965,530,194,427
2017-05-31,601,142,529,465,286,546
2017-05-31,229,234,148,878,351,634
2017-05-31,921,183,0,731,668,495
