"date","B","C","F","G"
2015-07-14,172,464,598,645
2015-07-14,642,872,512,438
2015-07-14,710,755,448,632
2015-07-14,594,793,529,726
2015-07-14,511,451,731,342
2015-07-14,487,167,11,412
2015-07-14,338,318,370,267
2015-07-14,665,297,255,561
2015-07-14,556,68,281,658
2015-07-15,598,593,164,605
2015-07-15,886,0,263,890
2015-07-15,848,388,282,72
2015-07-15,52,579,0,251
2015-07-15,124,0,380,477
2015-07-15,123,631,866,653
2015-07-15,451,445,819,407
2015-07-15,142,354,543,0
2015-07-15,512,690,165,637
2015-07-15,246,615,314,505
2015-07-16,0,469,772,498
2015-07-16,570,663,588,184
2015-07-16,98,184,184,918
2015-07-16,308,450,25,656
2015-07-16,465,52,663,37
2015-07-16,299,269,538,265
2015-07-16,151,4,398,294
2015-07-16,318,1245,93,441
2015-07-16,301,584,391,216
2015-07-17,338,253,434,956
2015-07-17,424,302,154,215
2015-07-17,412,293,288,497
2015-07-17,0,715,259,480
2015-07-17,550,614,0,556
2015-07-17,131,577,0,932
2015-07-17,741,0,1,103
2015-07-17,243,536,327,628
2015-07-17,595,615,749,587
2015-07-17,540,277,0,151
2015-07-17,495,251,502,408
2015-07-18,91,629,616,451
2015-07-18,300,348,587,493
2015-07-18,100,480,456,473
2015-07-18,117,303,314,307
2015-07-18,625,372,0,117
2015-07-18,0,349,341,839
2015-07-18,0,49,93,370
2015-07-18,536,24,612,56
2015-07-18,145,183,0,358
2015-07-18,424,457,961,318
2015-07-18,175,183,488,0
2015-07-18,219,343,601,893
2015-07-18,261,473,519,573
2015-07-19,310,306,521,778
2015-07-19,759,597,595,0
2015-07-19,176,572,211,336
2015-07-19,645,101,349,634
2015-07-19,433,661,601,533
2015-07-19,131,139,236,167
2015-07-19,371,272,825,96
2015-07-19,393,331,310,47
2015-07-19,55,379,385,26
2015-07-19,796,460,0,823
2015-07-20,716,605,490,350
2015-07-20,566,205,476,579
2015-07-20,307,144,379,118
2015-07-20,356,767,179,611
2015-07-20,660,91,171,204
2015-07-20,600,547,461,440
2015-07-20,240,704,431,601
2015-07-20,231,481,357,873
2015-07-20,739,773,523,843
2015-07-20,177,308,170,243
2015-07-20,191,267,337,557
2015-07-20,314,159,0,1075
2015-07-20,343,704,336,116
2015-07-20,347,203,230,200
2015-07-20,807,301,450,459
2015-07-21,528,94,106,354
2015-07-21,530,128,257,490
2015-07-21,477,666,350,720
2015-07-21,112,475,254,419
2015-07-21,491,208,485,188
2015-07-21,47,224,855,370
2015-07-21,419,318,1025,280
2015-07-21,211,282,746,351
2015-07-21,374,687,387,514
2015-07-21,77,510,425,275
2015-07-21,576,336,246,718
2015-07-21,204,298,239,303
2015-07-21,501,502,574,376
2015-07-21,539,586,568,394
2015-07-22,537,545,560,230
2015-07-22,409,857,478,0
2015-07-22,37,185,260,402
2015-07-22,41,151,359,424
2015-07-22,307,253,0,681
2015-07-23,384,204,0,453
2015-07-23,548,288,269,812
2015-07-23,530,114,164,22
2015-07-23,404,270,585,477
2015-07-23,609,333,545,137
2015-07-23,677,300,301,188
2015-07-23,529,351,19,193
2015-07-23,309,187,83,744
2015-07-23,79,606,209,672
2015-07-24,523,558,514,0
2015-07-24,16,396,396,493
2015-07-24,237,119,161,475
2015-07-24,196,595,281,641
2015-07-24,707,266,731,168
2015-07-24,606,119,461,332
2015-07-24,580,591,794,299
2015-07-24,315,220,316,667
2015-07-24,90,646,398,570
2015-07-24,376,539,25,640
2015-07-24,146,522,383,599
2015-07-24,562,538,595,142
2015-07-24,294,423,0,736
2015-07-24,302,755,470,293
2015-07-25,52,525,202,397
2015-07-25,416,393,201,641
2015-07-25,106,757,329,197
2015-07-25,391,462,564,95
2015-07-25,553,235,294,577
2015-07-25,858,272,365,89
2015-07-25,746,516,592,489
2015-07-25,196,1024,0,292
2015-07-25,667,816,373,860
2015-07-25,726,69,850,511
2015-07-25,257,92,533,716
2015-07-25,256,428,487,807
2015-07-25,0,411,430,551
2015-07-25,440,631,525,368
2015-07-26,429,604,605,581
2015-07-26,0,833,607,128
2015-07-26,603,537,413,304
2015-07-26,602,337,117,53
2015-07-26,190,341,465,596
2015-07-26,691,103,582,242
2015-07-26,274,250,664,340
2015-07-26,178,369,186,570
2015-07-26,398,645,187,0
2015-07-26,443,228,18,422
2015-07-26,495,353,273,727
2015-07-26,401,145,487,191
2015-07-26,599,249,338,530
2015-07-26,369,457,0,519
2015-07-26,419,516,359,700
2015-07-27,560,239,438,296
2015-07-27,320,669,352,174
2015-07-27,532,588,328,379
2015-07-27,670,619,528,254
2015-07-27,508,259,389,314
2015-07-27,343,431,584,534
2015-07-27,710,433,208,317
2015-07-27,219,750,419,285
2015-07-27,534,55,328,345
2015-07-27,180,173,124,655
2015-07-27,529,444,730,264
2015-07-28,0,461,339,699
2015-07-28,1066,289,494,709
2015-07-28,542,550,338,23
2015-07-28,0,192,806,732
2015-07-28,613,582,749,615
2015-07-28,771,0,487,138
2015-07-28,609,668,405,246
2015-07-28,357,355,544,277
2015-07-28,528,652,310,322
2015-07-28,646,0,746,639
2015-07-29,509,241,97,27
2015-07-29,28,247,293,335
2015-07-29,0,464,0,667
2015-07-29,182,646,131,312
2015-07-29,538,143,340,508
2015-07-29,765,147,222,230
2015-07-29,507,263,371,559
2015-07-29,255,451,230,13
2015-07-29,352,860,835,582
2015-07-29,468,222,275,720
2015-07-30,219,0,552,114
2015-07-30,535,400,358,232
2015-07-30,919,520,491,287
2015-07-30,0,99,279,0
2015-07-30,834,545,0,645
2015-07-30,219,0,762,398
2015-07-30,652,270,458,247
2015-07-30,329,32,0,388
2015-07-30,832,96,335,599
2015-07-30,442,742,0,340
2015-07-30,470,711,147,327
2015-07-30,404,0,379,100
2015-07-30,395,398,35,484
2015-07-31,444,333,281,0
2015-07-31,0,340,20,212
2015-07-31,511,703,327,571
2015-07-31,673,442,218,534
2015-07-31,661,310,418,190
2015-07-31,204,445,172,303
2015-07-31,452,34,383,705
2015-07-31,672,464,192,0
2015-07-31,505,0,420,343
2015-07-31,209,517,296,20
2015-07-31,615,387,0,432
2015-07-31,261,179,453,472
2015-07-31,396,336,659,399
