"date","A","B","C","F","G","I","J","K","L","M","N","O"
2017-11-06,303,329,0,47,542,182,101,0,98,180,47,0
2017-11-06,89,202,391,0,527,38,436,0,523,500,81,72
2017-11-06,328,184,520,625,326,262,0,613,281,410,509,13
2017-11-06,472,32,197,793,626,336,158,0,192,230,127,137
2017-11-06,644,261,463,221,475,491,538,573,447,0,102,219
2017-11-06,301,130,467,245,52,97,464,205,0,548,129,415
2017-11-07,281,507,441,0,145,691,97,393,223,454,0,0
2017-11-07,527,849,76,546,267,157,591,420,291,311,232,458
2017-11-07,364,636,464,204,85,196,454,409,291,290,63,218
2017-11-07,44,617,123,221,0,462,105,0,233,203,272,412
2017-11-07,144,342,368,0,185,273,222,50,416,173,54,0
2017-11-07,573,22,371,644,94,444,101,330,0,101,340,130
2017-11-07,469,962,397,182,724,89,366,0,86,704,519,523
2017-11-07,179,122,252,200,642,61,462,22,153,279,432,895
2017-11-07,345,0,141,362,73,0,0,321,8,565,221,192
2017-11-07,0,0,809,172,31,281,0,618,752,31,217,0
2017-11-07,100,50,570,160,183,0,717,381,342,447,375,492
2017-11-08,501,57,52,0,545,463,383,10,297,0,301,123
2017-11-08,98,543,68,0,391,558,348,71,438,10,419,366
2017-11-08,660,220,495,268,217,0,144,387,0,624,64,258
2017-11-08,217,0,338,437,243,0,622,121,79,507,324,0
2017-11-08,0,56,205,237,304,412,161,108,802,524,484,229
2017-11-08,401,0,449,426,120,81,354,0,197,453,335,202
2017-11-08,30,146,199,486,0,239,226,323,443,0,611,190
2017-11-08,459,354,509,145,225,399,0,0,354,7,183,0
2017-11-09,162,0,354,0,463,65,0,401,424,338,180,155
2017-11-09,544,83,393,655,500,131,385,98,238,450,173,207
2017-11-09,82,394,0,211,157,110,338,0,171,209,121,181
2017-11-09,41,722,593,73,418,0,536,245,479,415,87,332
2017-11-09,0,237,601,359,138,415,364,561,317,328,0,0
2017-11-09,38,252,584,479,541,153,282,339,454,0,418,195
2017-11-09,348,0,261,629,250,27,48,14,157,381,468,533
2017-11-10,0,475,142,363,0,173,157,98,594,22,0,653
2017-11-10,297,659,397,292,547,348,433,0,28,0,62,125
2017-11-10,587,41,247,228,235,278,81,0,413,50,356,0
2017-11-10,226,374,0,107,274,460,516,0,251,252,35,0
2017-11-10,275,276,0,164,618,539,300,0,259,966,394,0
2017-11-10,0,193,429,0,163,0,0,0,299,352,186,232
2017-11-10,0,266,0,371,61,138,9,115,400,0,230,384
2017-11-10,252,92,325,431,0,765,131,734,363,348,346,768
2017-11-10,277,287,303,187,346,156,159,86,269,270,422,125
2017-11-11,0,296,0,487,426,64,370,247,0,496,136,145
2017-11-11,127,506,314,114,92,569,618,192,0,0,507,717
2017-11-11,0,19,295,0,442,0,172,165,258,242,218,426
2017-11-11,0,0,296,284,361,55,283,345,592,385,378,0
2017-11-11,122,28,0,0,229,21,128,42,273,627,247,12
2017-11-11,33,500,439,618,429,0,38,301,444,54,284,140
2017-11-11,497,655,155,12,405,202,17,696,75,447,576,0
2017-11-11,495,253,866,393,212,583,18,340,221,123,219,14
2017-11-11,0,192,0,80,172,433,383,410,242,135,257,11
2017-11-11,428,66,209,0,349,163,0,0,219,199,377,609
2017-11-11,0,386,498,242,781,0,0,108,647,101,195,737
2017-11-11,0,225,474,459,476,61,598,236,239,0,184,230
2017-11-11,52,557,0,170,134,795,54,284,505,550,416,234
2017-11-11,0,176,211,83,278,520,285,349,167,387,521,430
2017-11-12,614,0,87,786,229,403,597,637,215,37,675,664
2017-11-12,380,418,0,185,115,72,308,0,668,192,182,166
2017-11-12,40,675,128,0,276,780,245,223,101,472,238,626
2017-11-12,0,837,590,439,352,548,93,538,726,348,177,178
2017-11-12,0,331,308,288,196,137,67,257,344,245,0,0
2017-11-12,95,650,315,0,123,476,0,144,313,458,546,0
2017-11-12,0,529,461,157,304,0,288,680,357,340,414,34
2017-11-12,534,282,427,415,329,0,0,495,429,0,206,409
2017-11-12,170,650,367,560,0,295,407,361,9,558,0,123
2017-11-12,808,411,116,235,0,642,516,403,380,637,652,278
2017-11-12,0,394,370,426,42,692,759,391,758,587,183,245
2017-11-12,414,551,56,68,0,488,0,0,455,224,153,304
2017-11-13,340,275,645,174,511,383,221,308,376,242,186,457
2017-11-13,86,163,226,169,169,549,585,226,0,297,0,198
2017-11-13,638,564,357,0,145,609,348,433,198,0,77,92
2017-11-13,605,240,310,217,85,369,284,530,283,0,169,400
2017-11-13,136,282,451,128,422,0,52,113,0,264,0,196
2017-11-13,198,5,0,187,363,470,0,0,604,568,100,261
2017-11-14,223,0,640,365,124,176,75,190,195,0,0,389
2017-11-14,140,417,363,429,242,89,304,0,403,372,522,160
2017-11-14,195,0,644,286,0,143,440,0,383,298,222,0
2017-11-14,256,113,579,0,44,105,115,45,223,325,0,58
2017-11-14,619,211,0,0,778,451,414,94,508,445,398,131
2017-11-15,265,0,109,416,390,429,536,0,278,195,54,142
2017-11-15,323,299,631,0,365,254,364,172,63,0,0,311
2017-11-15,0,179,222,424,0,333,83,430,542,116,0,402
2017-11-15,272,58,247,221,151,340,492,161,415,486,7,352
2017-11-15,72,432,0,70,103,304,426,443,347,71,16,49
2017-11-15,470,187,325,89,59,314,0,0,82,208,153,263
2017-11-15,60,424,0,601,108,0,0,175,402,510,343,699
2017-11-15,0,703,0,159,480,447,153,220,0,584,606,829
2017-11-16,180,259,586,198,242,325,487,559,612,282,74,172
2017-11-16,248,0,311,184,445,173,677,106,0,0,0,111
2017-11-16,0,5,255,15,350,289,488,679,38,316,166,62
2017-11-16,356,21,400,629,587,519,0,318,0,116,596,157
2017-11-16,879,68,488,0,401,725,68,410,0,201,209,420
2017-11-16,357,369,0,230,0,7,180,185,520,725,234,278
2017-11-16,208,181,568,455,93,463,175,178,460,153,237,0
2017-11-16,292,0,0,191,612,480,0,74,40,373,327,671
2017-11-16,0,363,420,143,106,125,0,155,578,360,162,109
2017-11-16,292,763,0,150,3,0,4,0,571,279,0,139
2017-11-16,308,0,126,29,350,315,349,0,17,409,454,290
2017-11-16,212,228,205,357,461,178,612,226,0,402,55,66
2017-11-17,61,194,229,492,389,517,121,197,483,222,198,529
2017-11-17,50,0,244,276,0,224,243,0,709,131,214,408
2017-11-17,212,203,514,42,362,145,79,594,360,186,157,0
2017-11-17,729,338,63,279,0,185,195,611,627,369,215,244
2017-11-17,0,442,96,347,127,181,538,447,397,632,0,246
2017-11-17,463,0,503,38,204,222,96,128,7,431,691,397
2017-11-17,361,165,373,123,45,673,112,100,265,83,0,130
2017-11-17,0,463,354,722,0,20,230,441,444,410,130,0
2017-11-17,60,578,494,96,126,0,311,356,400,310,392,0
2017-11-17,759,491,269,473,434,279,463,530,451,396,389,286
2017-11-17,127,363,29,512,689,229,358,305,170,40,424,527
2017-11-17,173,270,123,342,250,0,386,167,76,31,240,380
2017-11-18,0,69,451,230,151,407,337,77,161,337,435,243
2017-11-18,358,496,0,0,371,96,124,354,18,487,9,67
2017-11-18,279,74,138,352,275,409,0,300,169,0,622,576
2017-11-18,0,174,304,465,838,734,0,14,166,17,492,279
2017-11-18,522,121,143,0,162,0,240,273,0,126,0,73
2017-11-18,0,155,517,5,736,2,498,563,244,231,67,178
2017-11-18,553,307,344,335,757,190,495,3,413,592,865,0
2017-11-19,0,212,443,557,69,315,0,206,172,268,166,315
2017-11-19,0,552,0,293,103,241,413,188,0,515,265,234
2017-11-19,0,769,327,203,352,381,537,0,493,125,413,679
2017-11-19,85,86,543,226,167,0,44,157,458,351,490,274
2017-11-19,42,374,0,336,287,0,721,422,35,0,212,399
2017-11-19,240,466,294,778,70,0,0,214,167,205,334,436
2017-11-19,372,173,230,0,0,217,0,25,430,375,145,394
2017-11-20,0,47,393,358,410,318,0,325,184,146,429,414
2017-11-20,193,675,0,264,0,445,266,0,0,102,0,171
2017-11-20,0,83,12,484,604,415,287,0,574,539,256,263
2017-11-20,134,540,333,450,0,312,343,48,543,0,738,0
2017-11-20,787,0,38,308,0,204,23,0,558,427,308,183
2017-11-20,149,455,0,0,217,11,507,444,25,218,76,358
2017-11-20,576,364,831,0,372,16,830,0,128,194,639,201
2017-11-20,0,40,164,560,439,220,224,374,245,89,262,400
2017-11-20,124,345,291,418,442,367,246,631,401,0,323,148
2017-11-20,366,357,0,358,0,0,781,424,387,0,246,445
2017-11-20,421,381,25,326,406,402,96,599,99,372,235,34
2017-11-21,35,34,594,518,141,379,0,364,0,0,253,211
2017-11-21,583,360,278,376,505,351,0,864,229,242,430,0
2017-11-21,31,100,371,391,608,216,682,244,76,581,293,202
2017-11-21,213,150,0,182,119,351,524,318,189,579,212,158
2017-11-21,63,0,519,239,0,743,508,0,398,0,381,385
2017-11-21,344,0,239,66,240,911,358,286,59,433,509,0
2017-11-22,147,218,314,267,176,0,0,39,625,179,513,441
2017-11-22,175,522,412,245,194,137,429,338,605,208,205,101
2017-11-22,544,536,344,654,245,203,202,569,0,118,85,666
2017-11-22,431,130,265,410,7,363,242,455,0,131,821,148
2017-11-22,331,0,311,138,562,531,451,465,0,236,313,0
2017-11-22,373,299,492,57,317,82,390,259,329,451,373,0
2017-11-23,29,576,206,602,327,0,136,657,192,273,446,353
2017-11-23,327,234,99,0,0,177,761,374,0,506,551,594
2017-11-23,379,144,804,0,104,325,636,302,0,509,246,0
2017-11-23,148,0,495,139,524,51,288,0,299,477,282,219
2017-11-24,327,542,156,0,360,285,193,69,222,93,118,588
2017-11-24,774,392,58,686,306,402,155,355,402,68,238,474
2017-11-24,433,678,403,0,542,313,0,445,0,60,0,112
2017-11-24,262,0,68,0,525,57,0,288,159,245,173,361
2017-11-24,444,344,0,179,154,338,239,483,431,350,0,250
2017-11-24,255,0,566,120,0,265,164,326,429,161,226,183
2017-11-24,0,148,647,296,343,89,389,0,87,129,16,625
2017-11-25,0,0,128,316,211,159,430,377,261,41,745,597
2017-11-25,907,139,97,0,332,626,0,208,266,30,306,358
2017-11-25,0,92,0,215,398,0,791,372,145,208,605,81
2017-11-26,387,0,126,0,96,324,0,847,265,159,168,378
2017-11-26,217,705,0,105,615,277,104,349,52,317,605,298
2017-11-26,294,536,651,384,295,290,283,271,0,443,0,0
2017-11-26,89,0,0,0,237,0,260,261,153,589,414,424
2017-11-26,730,11,139,448,151,381,272,327,367,577,404,236
2017-11-26,0,277,740,69,0,507,390,77,256,270,270,130
2017-11-26,252,349,54,295,414,233,0,286,0,278,220,0
2017-11-26,572,374,354,0,0,690,96,322,269,304,0,173
2017-11-26,255,16,132,301,0,0,229,0,721,193,48,94
2017-11-26,87,734,358,331,88,175,441,0,166,460,328,562
2017-11-27,533,316,218,0,316,326,42,745,0,534,419,381
2017-11-27,240,0,139,53,275,311,555,514,41,385,435,266
2017-11-27,108,502,199,157,0,194,234,858,192,244,526,645
2017-11-27,180,149,569,0,815,152,49,59,110,387,192,259
2017-11-27,324,291,78,176,365,49,0,247,137,708,16,0
2017-11-28,171,434,748,757,465,142,322,319,501,244,0,683
2017-11-28,0,0,29,0,0,468,438,0,360,205,233,453
2017-11-28,380,140,0,258,0,740,289,230,438,139,138,447
2017-11-28,147,0,616,283,242,325,620,554,547,345,98,239
2017-11-29,0,0,707,0,354,317,324,173,336,730,327,0
2017-11-29,542,635,560,426,255,369,307,607,265,493,407,737
2017-11-29,195,778,363,142,425,226,353,0,0,398,503,502
2017-11-29,480,437,698,749,30,300,0,288,433,263,162,584
2017-11-29,510,213,1,665,0,268,1,0,497,240,223,0
2017-11-29,15,43,0,221,0,63,0,225,257,471,575,162
2017-11-29,362,254,177,355,343,220,331,423,59,94,308,246
2017-11-29,102,429,0,112,304,65,386,0,468,365,0,333
2017-11-29,269,395,9,0,0,80,0,696,87,375,354,84
2017-11-30,182,249,464,210,445,504,169,518,234,162,435,223
2017-11-30,395,281,317,444,450,167,0,0,265,302,113,14
2017-11-30,0,254,217,157,576,279,198,77,683,0,150,0
2017-11-30,52,53,0,230,189,36,751,274,0,318,221,428
2017-11-30,201,193,377,282,211,0,0,606,205,749,81,0
2017-11-30,466,0,0,348,235,9,51,234,136,291,95,145
