"date","A","B","C","D","E","F","H","I","J","K","M","N","O"
2015-12-07,289,0,188,0,86,0,459,223,101,60,547,274,237
2015-12-07,338,527,371,712,538,192,0,532,445,506,623,42,324
2015-12-07,123,575,183,435,56,180,606,264,202,359,112,709,786
2015-12-07,152,0,283,308,213,340,336,590,517,456,270,0,0
2015-12-07,0,277,69,102,0,61,505,291,565,172,425,772,578
2015-12-07,455,100,0,330,250,55,188,478,282,251,129,193,41
2015-12-08,494,0,0,251,51,120,152,248,410,286,709,0,209
2015-12-08,178,393,144,296,397,231,310,256,0,821,166,178,225
2015-12-08,86,0,19,242,156,390,428,401,268,716,117,260,205
2015-12-08,198,419,414,0,617,184,716,225,0,576,0,360,198
2015-12-08,0,163,117,340,42,0,412,208,103,140,855,57,398
2015-12-08,297,105,141,162,506,245,502,0,54,169,103,48,728
2015-12-08,121,177,66,0,482,0,182,212,299,353,540,157,53
2015-12-08,1,0,292,0,400,242,80,295,204,396,352,272,511
2015-12-08,0,157,175,226,315,42,0,368,445,78,0,176,398
2015-12-08,366,115,0,188,481,95,311,686,54,197,0,28,0
2015-12-09,146,596,246,314,633,477,301,52,71,378,38,0,614
2015-12-09,118,298,0,135,0,0,124,140,344,73,0,203,442
2015-12-09,101,177,409,580,68,882,215,0,387,628,392,498,80
2015-12-09,142,549,116,192,0,0,275,271,442,703,615,111,15
2015-12-09,621,337,152,529,140,582,397,160,239,632,573,492,144
2015-12-09,524,0,0,327,334,804,339,137,531,0,0,100,292
2015-12-09,190,0,289,248,225,354,159,0,86,318,363,505,693
2015-12-09,8,374,0,437,430,278,522,765,442,92,171,0,0
2015-12-09,516,205,299,369,0,38,378,463,68,89,859,485,99
2015-12-09,227,687,37,298,480,254,466,385,56,389,0,166,282
2015-12-10,0,798,103,417,349,0,228,309,434,252,525,284,0
2015-12-10,263,67,308,0,57,18,638,427,207,44,269,54,882
2015-12-10,0,555,308,268,45,131,143,392,357,0,180,0,626
2015-12-10,106,93,203,293,171,91,575,0,327,509,333,194,638
2015-12-10,355,21,647,0,742,303,101,344,559,307,60,280,431
2015-12-10,206,360,312,142,622,219,266,388,546,963,266,0,165
2015-12-11,99,173,124,540,535,117,230,353,142,64,0,634,196
2015-12-11,194,432,214,139,0,312,346,0,311,112,0,101,266
2015-12-11,0,0,614,45,0,420,74,136,250,1141,85,203,471
2015-12-11,205,0,397,556,0,0,278,150,451,660,0,193,353
2015-12-12,484,296,266,95,183,116,637,2,0,154,0,0,324
2015-12-12,655,141,0,92,243,50,32,152,281,0,99,608,109
2015-12-12,564,233,221,108,203,520,598,402,0,0,0,184,693
2015-12-12,223,630,162,0,215,341,202,299,0,362,191,277,448
2015-12-12,639,220,0,368,783,273,12,502,519,61,0,156,272
2015-12-12,182,261,273,0,348,111,520,617,98,415,376,568,475
2015-12-12,227,149,160,262,144,149,413,0,157,0,0,306,72
2015-12-13,150,169,301,357,0,412,395,248,292,0,0,0,118
2015-12-13,0,362,17,316,54,369,620,43,206,312,326,304,146
2015-12-13,381,180,0,358,293,0,581,439,0,0,0,111,198
2015-12-14,234,0,40,217,49,18,171,0,141,0,124,805,180
2015-12-14,605,204,355,595,348,323,335,609,324,388,386,461,232
2015-12-14,107,207,134,502,265,342,149,0,123,146,381,386,0
2015-12-14,923,53,130,430,11,569,496,108,447,159,344,548,325
2015-12-14,438,0,112,544,298,427,115,799,81,0,51,327,415
2015-12-14,0,0,470,233,195,301,67,97,0,214,249,189,531
2015-12-14,0,237,312,312,594,529,305,94,166,207,336,230,292
2015-12-14,169,313,453,0,2,0,459,420,271,297,216,424,264
2015-12-14,0,0,737,0,319,334,326,494,0,356,513,0,518
2015-12-15,600,141,135,432,134,249,0,474,209,385,807,194,560
2015-12-15,0,90,471,0,0,121,126,0,126,95,281,0,0
2015-12-15,105,387,484,618,307,367,375,224,371,197,110,749,0
2015-12-15,48,285,3,254,114,503,0,454,491,529,436,188,0
2015-12-15,73,244,266,226,0,331,672,126,398,257,197,220,341
2015-12-16,607,237,205,124,327,568,0,41,378,51,0,72,284
2015-12-16,111,76,31,267,0,155,476,0,0,12,474,0,182
2015-12-16,769,266,181,162,21,21,0,0,155,0,0,517,356
2015-12-16,270,416,377,469,181,442,542,275,363,433,416,201,99
2015-12-16,318,99,128,484,87,77,378,222,20,431,345,381,473
2015-12-16,158,325,276,119,336,0,25,298,251,151,358,389,502
2015-12-16,395,620,97,501,0,0,441,541,222,305,275,73,553
2015-12-16,88,163,523,635,301,295,315,737,228,56,361,552,56
2015-12-16,53,130,0,0,266,300,595,427,0,380,440,0,0
2015-12-16,275,261,427,363,608,640,413,0,0,132,41,278,319
2015-12-16,0,166,177,0,238,0,203,736,184,256,390,126,95
2015-12-16,126,696,111,122,50,119,504,64,167,0,353,0,184
2015-12-16,0,99,316,0,105,131,82,296,0,312,429,214,137
2015-12-17,0,122,451,518,841,28,397,184,534,630,0,0,203
2015-12-17,286,137,0,343,0,556,0,272,356,390,32,483,459
2015-12-17,137,191,133,665,147,269,6,195,375,45,267,0,487
2015-12-17,89,0,43,0,0,568,372,171,334,796,120,0,5
2015-12-17,118,0,285,436,663,447,0,196,400,489,474,507,338
2015-12-17,39,127,61,239,565,155,0,323,733,213,87,109,367
2015-12-17,10,525,0,403,398,748,0,406,229,0,54,544,367
2015-12-17,328,0,281,367,713,302,95,85,286,183,579,406,644
2015-12-17,785,0,225,240,0,170,481,0,272,137,342,124,92
2015-12-18,0,43,0,414,0,33,667,116,0,452,642,478,710
2015-12-18,497,589,157,356,142,246,719,125,301,377,428,348,57
2015-12-18,353,350,211,184,0,355,177,423,287,0,192,0,0
2015-12-18,384,43,125,392,0,278,0,0,219,381,413,0,80
2015-12-18,0,0,400,0,0,556,366,195,596,358,262,0,0
2015-12-18,119,0,405,419,0,467,146,0,466,311,650,0,492
2015-12-18,260,0,278,149,0,196,238,0,426,0,0,0,552
2015-12-18,207,0,94,131,0,183,16,224,408,482,221,205,14
2015-12-18,408,291,155,709,467,159,300,696,1144,313,263,75,0
2015-12-18,0,0,413,28,201,0,138,460,396,91,1092,467,0
2015-12-18,61,586,454,499,240,329,539,602,863,36,0,280,0
2015-12-18,255,197,676,267,0,348,225,138,210,179,295,186,632
2015-12-19,281,373,242,523,0,0,456,324,637,121,234,494,532
2015-12-19,537,0,67,142,295,2,0,97,534,410,639,170,363
2015-12-19,49,0,77,482,605,240,378,0,225,402,389,0,336
2015-12-19,427,0,479,0,524,825,386,376,132,131,430,360,205
2015-12-20,208,510,554,664,385,69,648,249,579,210,138,354,540
2015-12-20,391,32,0,8,221,131,187,0,520,219,475,258,629
2015-12-20,0,0,26,0,287,146,207,0,247,0,170,109,252
2015-12-20,382,538,0,562,785,666,0,0,199,468,571,321,151
2015-12-20,225,0,484,271,601,167,0,366,745,215,172,86,411
2015-12-20,230,74,619,962,684,0,24,727,123,3,0,386,172
2015-12-20,281,0,129,197,679,337,241,0,295,341,328,364,598
2015-12-20,0,429,725,0,395,133,769,184,359,0,479,32,469
2015-12-20,419,530,152,254,0,89,334,36,742,617,234,7,339
2015-12-21,0,173,5,406,561,130,0,0,461,16,413,405,389
2015-12-21,492,38,32,226,724,197,0,111,531,68,87,159,218
2015-12-21,233,377,187,435,0,60,492,138,802,0,170,507,717
2015-12-21,171,234,357,0,310,657,0,208,674,481,0,93,79
2015-12-21,51,449,148,253,385,0,593,309,205,407,348,41,136
2015-12-21,206,329,842,135,284,202,192,340,0,0,268,105,250
2015-12-22,0,576,403,0,291,262,232,183,0,192,811,299,424
2015-12-22,124,590,426,379,0,161,0,283,0,515,0,385,157
2015-12-22,134,288,524,444,0,950,331,505,94,0,510,520,108
2015-12-22,650,128,347,231,0,58,354,447,572,390,315,115,112
2015-12-22,0,465,129,0,0,0,0,660,769,286,186,228,0
2015-12-22,209,208,591,245,186,432,57,475,566,0,323,0,0
2015-12-22,445,0,79,278,117,331,660,0,431,300,322,125,386
2015-12-23,64,34,527,0,214,0,0,342,389,347,511,517,0
2015-12-23,359,477,362,0,65,359,0,234,0,261,79,232,536
2015-12-23,179,170,495,492,0,233,262,222,483,105,0,478,475
2015-12-23,122,145,18,152,473,0,46,599,50,0,285,310,142
2015-12-23,366,0,181,193,346,429,239,0,130,167,331,657,190
2015-12-23,172,433,126,526,127,344,0,618,411,568,534,630,634
2015-12-23,0,497,0,217,0,264,550,0,34,75,839,461,244
2015-12-23,356,365,342,267,483,253,320,0,175,508,294,767,132
2015-12-23,133,272,209,196,0,24,352,0,540,664,485,826,164
2015-12-24,0,113,187,180,356,193,26,316,456,186,62,344,111
2015-12-24,0,413,389,0,0,154,0,546,0,188,355,609,181
2015-12-24,562,248,225,138,0,404,375,0,199,0,48,174,672
2015-12-24,15,425,533,370,341,601,142,160,22,453,0,404,205
2015-12-24,204,315,186,0,102,299,0,313,0,422,0,681,668
2015-12-24,209,89,287,446,0,207,0,212,312,475,423,705,0
2015-12-24,198,278,79,414,291,448,716,393,80,290,1,120,6
2015-12-24,670,0,618,91,293,427,223,243,158,472,0,0,0
2015-12-25,0,277,51,135,0,320,0,357,358,8,430,345,516
2015-12-25,114,0,290,669,0,308,137,372,237,197,241,751,503
2015-12-25,0,156,252,0,435,276,268,336,300,139,290,0,257
2015-12-25,108,461,68,14,181,124,308,217,199,346,211,0,186
2015-12-26,575,300,454,297,221,0,288,543,896,467,0,223,308
2015-12-26,521,340,392,382,0,52,208,19,0,456,549,209,241
2015-12-26,216,221,0,320,561,0,294,222,40,0,290,163,691
2015-12-26,396,269,5,470,425,141,41,483,133,320,119,220,360
2015-12-26,528,376,0,836,678,0,293,308,608,33,0,324,49
2015-12-26,166,463,132,158,254,124,278,143,179,288,317,94,0
2015-12-26,636,435,6,563,0,297,0,176,470,323,472,274,725
2015-12-26,0,224,539,817,0,289,329,464,512,537,129,0,436
2015-12-26,0,444,136,404,193,0,248,633,400,109,0,380,305
2015-12-26,431,94,569,943,904,616,321,131,311,458,562,159,0
2015-12-27,202,186,0,0,203,0,371,818,307,693,167,312,588
2015-12-27,262,0,308,192,556,0,126,215,347,292,412,295,187
2015-12-27,0,566,684,77,24,0,0,138,0,74,255,103,0
2015-12-27,149,224,240,328,0,0,307,539,70,572,0,480,443
2015-12-27,636,324,0,394,394,0,361,6,708,429,301,341,101
2015-12-28,109,268,434,48,136,583,497,251,316,385,214,0,560
2015-12-28,155,99,118,265,94,43,361,0,428,211,110,166,68
2015-12-28,277,424,415,343,517,529,0,0,166,190,146,604,201
2015-12-28,234,390,724,0,298,757,174,0,379,142,0,0,0
2015-12-28,0,109,0,33,0,338,531,243,91,349,69,59,622
2015-12-28,418,370,0,88,342,0,565,35,107,0,299,0,0
2015-12-29,0,325,245,0,704,378,310,307,469,342,8,37,268
2015-12-29,0,368,441,39,593,227,493,125,0,0,40,522,0
2015-12-29,586,300,0,0,74,221,216,242,110,492,0,357,61
2015-12-29,885,0,367,0,224,688,676,401,495,40,198,376,442
2015-12-29,123,0,82,319,0,390,200,262,123,0,303,0,366
2015-12-29,294,660,580,104,934,443,843,350,0,217,319,623,324
2015-12-29,79,72,50,39,644,536,176,1,157,192,301,394,678
2015-12-29,284,459,0,311,290,336,318,899,9,0,125,545,485
2015-12-30,64,0,20,582,128,744,108,206,468,386,364,644,352
2015-12-30,142,332,0,0,0,148,550,0,148,0,454,0,187
2015-12-30,425,93,346,140,45,72,27,0,413,177,412,222,317
2015-12-30,606,0,131,263,320,821,0,504,199,398,418,235,98
2015-12-30,0,203,186,430,243,126,37,0,0,0,0,0,483
2015-12-30,376,0,490,274,289,376,251,222,416,767,411,0,341
2015-12-30,273,252,176,451,323,663,564,329,0,184,153,496,0
2015-12-30,0,78,0,0,0,0,320,0,0,102,126,354,351
2015-12-30,0,366,544,497,0,306,7,474,413,184,9,0,0
2015-12-30,0,413,0,361,98,0,488,0,157,343,347,270,0
2015-12-30,265,387,174,384,0,0,292,164,257,56,347,133,0
2015-12-30,22,0,86,26,1008,587,288,0,32,0,38,0,404
2015-12-31,673,65,182,427,78,395,201,226,357,579,53,100,0
2015-12-31,6,521,591,135,109,241,0,257,0,63,203,239,92
2015-12-31,553,0,47,0,230,814,202,0,390,0,97,94,435
2015-12-31,468,631,179,34,0,53,296,420,377,272,595,294,0
2015-12-31,292,0,269,452,272,574,136,252,17,594,83,358,751
2015-12-31,373,237,0,326,150,0,140,537,436,443,63,322,118
2015-12-31,323,475,0,0,276,262,228,459,146,394,91,510,404
2015-12-31,484,252,399,271,348,0,192,23,145,166,382,685,0
2015-12-31,64,179,136,646,0,304,239,520,0,210,759,265,62
