"date","A","B","C","F","G","L","M","O"
2017-03-10,351,132,796,413,345,791,0,611
2017-03-10,235,642,866,462,697,0,0,0
2017-03-10,136,387,295,744,518,682,1020,98
2017-03-10,167,767,365,628,391,1021,548,879
2017-03-10,393,396,647,277,914,803,867,788
2017-03-10,538,748,503,515,0,202,226,261
2017-03-11,443,290,462,35,627,369,749,304
2017-03-11,511,147,390,318,332,433,326,208
2017-03-11,523,433,0,366,313,738,414,33
2017-03-11,223,909,520,286,393,179,191,12
2017-03-11,342,181,1031,503,713,521,511,415
2017-03-11,453,536,429,416,281,932,356,472
2017-03-11,447,0,478,303,276,630,391,355
2017-03-11,644,644,0,525,298,446,1061,456
2017-03-12,709,411,129,626,351,607,175,442
2017-03-12,255,140,254,898,685,389,814,362
2017-03-12,377,590,16,580,311,340,452,151
2017-03-12,110,202,283,335,757,152,455,362
2017-03-12,465,178,450,14,1019,563,389,307
2017-03-12,486,0,567,680,364,781,663,761
2017-03-12,291,173,182,592,314,540,23,793
2017-03-12,511,37,380,15,601,523,251,477
2017-03-13,718,532,546,803,548,948,672,133
2017-03-13,625,428,0,941,248,21,231,647
2017-03-13,315,15,595,42,126,86,585,411
2017-03-13,760,336,443,639,427,514,454,178
2017-03-13,268,337,393,312,629,426,731,773
2017-03-13,206,260,449,47,532,726,834,636
2017-03-13,102,368,276,142,947,445,598,331
2017-03-13,412,0,175,366,593,180,232,745
2017-03-13,237,228,318,236,781,143,476,0
2017-03-13,319,675,641,495,917,188,724,318
2017-03-13,439,596,580,303,772,848,861,475
2017-03-13,527,244,864,477,0,453,341,180
2017-03-13,726,190,67,352,556,116,765,286
2017-03-13,546,111,0,19,309,174,388,367
2017-03-13,0,458,314,727,442,616,144,242
2017-03-13,851,193,120,57,690,625,226,476
2017-03-14,161,589,41,533,360,689,539,641
2017-03-14,165,202,0,79,187,541,506,509
2017-03-14,162,647,356,389,659,409,213,582
2017-03-14,929,624,413,374,412,971,617,802
2017-03-14,984,321,340,492,551,623,123,269
2017-03-14,237,265,334,342,78,679,693,538
2017-03-14,755,495,293,277,385,257,575,163
2017-03-14,548,431,220,147,438,197,294,781
2017-03-14,176,713,423,299,594,195,1006,409
2017-03-14,218,478,251,537,0,234,408,456
2017-03-14,522,952,495,163,294,387,334,258
2017-03-14,310,352,20,289,696,225,111,659
2017-03-14,2,213,189,197,382,468,244,278
2017-03-14,672,728,281,515,572,676,255,381
2017-03-14,661,253,404,451,872,406,145,188
2017-03-14,778,458,903,552,156,199,784,433
2017-03-14,146,553,1225,375,203,262,815,97
2017-03-15,422,462,107,0,0,361,211,556
2017-03-15,527,533,49,385,340,412,322,412
2017-03-15,49,598,1021,392,620,404,544,571
2017-03-15,502,76,585,457,593,578,351,467
2017-03-15,244,396,528,459,678,142,130,297
2017-03-15,402,466,29,170,544,684,311,216
2017-03-15,494,579,513,342,94,23,661,516
2017-03-15,229,227,441,655,392,41,383,893
2017-03-15,298,592,782,125,753,1206,590,861
2017-03-15,27,468,480,638,396,407,440,350
2017-03-15,572,411,535,355,494,193,889,229
2017-03-15,819,180,532,419,515,460,547,288
2017-03-15,114,770,227,595,372,290,0,202
2017-03-15,939,807,391,852,41,414,650,481
2017-03-16,145,603,0,273,651,227,665,497
2017-03-16,239,719,626,598,575,587,398,282
2017-03-16,278,349,107,371,523,323,789,457
2017-03-16,546,637,457,102,0,740,510,660
2017-03-16,15,549,514,741,518,244,493,479
2017-03-16,230,201,484,344,354,911,726,333
2017-03-16,246,414,539,580,369,256,667,518
2017-03-16,874,628,437,720,618,738,551,315
2017-03-16,299,0,330,8,0,632,260,698
2017-03-16,335,713,287,296,436,597,289,646
2017-03-16,284,658,732,124,772,306,382,625
2017-03-16,324,700,151,476,157,1119,929,341
2017-03-16,766,600,675,662,334,190,0,545
2017-03-16,631,446,605,572,438,663,303,124
2017-03-16,428,716,381,693,369,363,362,635
2017-03-16,901,0,442,415,738,121,565,125
2017-03-16,483,365,133,126,409,667,459,160
2017-03-17,873,410,399,801,664,770,263,435
2017-03-17,337,369,175,829,808,795,96,495
2017-03-17,821,783,279,415,1084,134,250,526
2017-03-17,255,328,366,534,343,363,615,362
2017-03-17,601,568,697,427,412,398,410,175
2017-03-17,488,324,810,405,470,698,511,0
2017-03-17,63,359,430,334,0,338,785,337
2017-03-17,312,176,925,262,417,528,17,621
2017-03-17,533,285,663,528,607,284,824,395
2017-03-17,372,252,697,281,557,292,505,449
2017-03-17,664,455,283,481,310,158,346,22
2017-03-18,464,496,649,536,716,343,246,311
2017-03-18,646,151,226,291,549,866,814,515
2017-03-18,417,296,665,214,470,375,303,553
2017-03-18,0,152,137,354,587,335,764,497
2017-03-18,871,276,38,586,499,682,163,507
2017-03-18,296,354,610,801,179,435,576,506
2017-03-18,669,606,413,932,251,241,277,437
2017-03-18,788,328,73,179,229,0,301,322
2017-03-18,181,359,442,720,316,3,448,677
2017-03-18,483,184,471,563,668,512,710,226
2017-03-18,617,260,566,359,885,46,505,986
2017-03-18,601,323,570,58,427,275,548,318
2017-03-18,553,843,227,149,677,792,748,222
2017-03-18,704,0,644,280,901,316,293,0
2017-03-18,0,857,259,150,496,665,363,527
2017-03-18,0,376,652,335,464,564,9,547
2017-03-18,464,0,353,467,553,509,284,578
2017-03-18,141,883,367,381,517,639,0,505
2017-03-19,470,219,0,493,212,178,517,615
2017-03-19,515,120,180,469,681,372,196,1117
2017-03-19,455,413,287,358,294,122,818,808
2017-03-19,401,235,301,646,469,415,456,49
2017-03-19,789,490,347,409,362,390,439,392
2017-03-19,128,112,755,107,795,324,405,133
2017-03-19,715,890,630,763,744,421,707,243
2017-03-19,415,540,645,222,221,364,703,298
2017-03-19,727,733,525,385,0,202,565,355
2017-03-19,772,527,362,735,264,237,754,645
2017-03-19,636,342,548,56,309,0,428,344
2017-03-19,276,173,0,357,488,702,337,881
2017-03-19,528,525,421,483,291,438,487,347
2017-03-19,131,576,0,294,70,203,759,110
2017-03-19,316,654,593,318,413,879,994,367
2017-03-20,969,524,971,191,308,942,274,403
2017-03-20,176,678,781,366,417,325,535,771
2017-03-20,248,302,380,159,411,273,147,657
2017-03-20,554,351,152,313,303,336,761,360
2017-03-20,674,0,693,0,587,74,314,319
2017-03-20,511,146,476,701,270,428,619,621
2017-03-20,630,400,536,297,650,678,272,797
2017-03-20,694,846,814,484,176,540,512,464
2017-03-20,245,528,541,210,0,149,0,386
2017-03-20,272,796,534,269,176,542,427,510
2017-03-20,581,543,701,650,263,392,849,445
2017-03-20,289,194,397,825,736,567,567,381
2017-03-21,259,407,220,240,160,389,960,575
2017-03-21,824,231,427,702,786,757,588,342
2017-03-21,221,839,594,553,351,659,658,341
2017-03-21,861,687,5,747,613,371,161,569
2017-03-21,123,53,462,219,826,607,473,503
2017-03-21,542,524,517,491,31,423,623,167
2017-03-21,0,245,133,453,437,211,64,251
2017-03-21,394,620,22,592,358,530,412,270
2017-03-21,0,434,244,499,342,92,313,329
2017-03-21,500,115,492,680,922,686,433,500
2017-03-21,308,171,0,477,748,530,229,803
2017-03-21,435,509,1029,675,725,711,371,688
2017-03-21,541,619,396,463,1155,453,759,404
2017-03-21,247,566,729,338,442,525,303,697
2017-03-22,273,176,253,315,661,425,136,797
2017-03-22,377,159,612,569,353,188,3,0
2017-03-22,214,577,383,293,298,423,506,541
2017-03-22,778,305,619,429,136,329,0,475
2017-03-22,365,583,649,458,363,711,382,659
2017-03-22,281,720,381,0,257,430,346,602
2017-03-22,673,718,721,475,723,126,621,604
2017-03-22,342,277,637,126,317,527,392,968
2017-03-22,820,307,868,77,684,195,144,838
2017-03-22,0,205,600,639,494,630,332,268
2017-03-22,451,343,209,96,288,730,659,403
2017-03-22,311,507,508,664,568,757,462,284
2017-03-22,201,367,0,261,641,278,577,110
2017-03-22,324,658,0,384,512,364,855,696
2017-03-22,619,468,490,793,738,454,749,0
2017-03-23,380,846,473,152,486,130,565,784
2017-03-23,453,132,627,684,285,315,525,299
2017-03-23,837,633,134,202,797,643,633,0
2017-03-23,742,425,485,208,308,320,650,0
2017-03-23,925,537,926,424,659,419,221,553
2017-03-23,383,455,205,0,723,695,641,489
2017-03-23,509,569,0,952,329,499,463,496
2017-03-23,597,708,677,551,527,272,397,217
2017-03-23,359,437,832,114,1006,244,410,626
2017-03-23,483,359,630,916,278,421,717,280
2017-03-23,118,227,282,640,293,198,544,481
2017-03-23,790,469,12,948,649,18,359,308
2017-03-23,401,430,391,190,649,626,345,216
2017-03-24,468,373,562,361,80,225,769,492
2017-03-24,286,424,583,417,858,297,354,789
2017-03-24,481,140,15,433,0,503,669,529
2017-03-24,437,199,925,405,413,743,795,590
2017-03-24,124,345,454,362,328,230,523,459
2017-03-24,356,307,106,452,712,395,169,362
2017-03-24,712,293,229,338,728,666,343,0
2017-03-24,37,486,435,793,738,510,139,463
2017-03-24,204,604,587,247,97,678,431,714
2017-03-24,639,356,273,824,250,383,528,276
2017-03-24,651,115,506,546,749,490,866,935
2017-03-24,377,377,416,681,353,481,218,400
2017-03-24,749,535,375,969,286,173,598,537
2017-03-24,463,510,516,261,671,523,60,545
2017-03-24,283,220,127,356,716,578,443,112
2017-03-24,16,566,590,90,346,278,355,849
2017-03-24,420,505,470,454,467,641,243,632
2017-03-25,514,233,88,647,372,369,553,393
2017-03-25,1097,656,571,705,358,577,325,456
2017-03-25,442,280,433,83,113,0,197,596
2017-03-25,517,115,314,1182,310,1130,820,1086
2017-03-25,777,947,583,213,290,604,467,550
2017-03-25,147,245,555,320,200,622,0,412
2017-03-25,518,430,299,544,101,702,953,510
2017-03-25,72,251,741,828,267,324,273,679
2017-03-25,718,632,473,760,698,295,36,359
2017-03-25,599,0,925,784,309,564,557,612
2017-03-25,783,262,212,419,709,58,553,798
2017-03-25,696,697,151,294,209,167,255,335
2017-03-25,349,329,337,331,185,647,307,487
2017-03-26,662,596,205,878,202,340,320,279
2017-03-26,113,145,435,478,564,1081,317,85
2017-03-26,752,75,418,761,574,542,65,450
2017-03-26,0,114,283,662,429,267,0,0
2017-03-26,0,363,254,404,224,168,419,577
2017-03-26,594,844,400,611,732,275,250,680
2017-03-26,141,617,512,419,375,179,149,583
2017-03-26,349,222,687,174,719,649,339,797
2017-03-26,478,395,566,494,339,895,241,283
2017-03-26,413,464,234,311,475,285,393,368
2017-03-26,1017,178,335,440,162,418,0,475
2017-03-27,688,106,285,856,300,818,267,552
2017-03-27,407,63,346,802,273,303,526,475
2017-03-27,532,527,454,689,413,340,185,654
2017-03-27,99,234,101,784,696,755,27,118
2017-03-27,583,533,337,232,392,717,500,563
2017-03-27,340,1371,0,712,799,507,211,348
2017-03-27,182,555,380,714,306,250,409,464
2017-03-27,195,543,400,306,856,710,92,940
2017-03-27,286,288,625,446,0,555,106,651
2017-03-27,192,707,1045,765,208,432,251,751
2017-03-27,1037,493,708,812,458,0,485,399
2017-03-27,268,920,316,675,879,893,415,549
2017-03-27,453,494,301,724,184,233,219,622
2017-03-27,80,885,515,50,897,0,330,946
2017-03-27,361,290,329,533,283,651,792,0
2017-03-27,90,5,136,101,0,131,345,550
2017-03-27,0,293,396,647,534,580,490,441
2017-03-28,322,189,739,622,788,496,455,306
2017-03-28,347,681,804,463,500,424,423,774
2017-03-28,605,318,577,490,185,475,354,449
2017-03-28,545,174,592,785,538,624,217,308
2017-03-28,391,536,424,393,741,701,522,636
2017-03-28,719,382,0,345,546,524,699,667
2017-03-28,556,330,127,332,93,772,153,108
2017-03-28,585,609,448,454,58,478,360,95
2017-03-28,413,306,522,380,534,251,293,696
2017-03-28,783,973,287,191,597,620,162,343
2017-03-28,789,782,264,469,490,327,568,794
2017-03-28,484,382,954,561,402,481,436,321
2017-03-28,308,206,445,0,736,584,199,425
2017-03-28,189,871,480,205,588,291,491,452
2017-03-28,437,174,842,866,789,325,0,1009
2017-03-29,885,327,23,596,534,137,725,510
2017-03-29,85,422,496,172,675,71,457,451
2017-03-29,546,351,515,768,10,102,709,653
2017-03-29,553,227,511,204,432,543,289,668
2017-03-29,668,456,838,751,350,827,153,244
2017-03-29,465,984,941,586,347,773,601,305
2017-03-29,524,573,654,589,799,498,170,417
2017-03-29,214,158,705,707,410,508,71,398
2017-03-30,30,237,322,537,386,803,454,10
2017-03-30,243,244,605,577,826,485,527,188
2017-03-30,0,50,274,711,100,711,264,798
2017-03-30,469,190,452,1040,211,297,146,726
2017-03-30,329,134,611,366,145,373,169,885
2017-03-30,157,615,722,514,819,607,420,491
2017-03-30,533,186,1023,85,475,119,439,564
2017-03-30,651,442,0,832,877,182,630,1033
2017-03-30,268,294,144,559,371,76,902,822
2017-03-30,209,634,788,267,397,294,460,325
2017-03-30,272,387,537,811,652,357,653,0
2017-03-31,693,705,158,682,0,654,284,644
2017-03-31,889,394,696,689,255,368,554,709
2017-03-31,750,321,756,791,94,466,1021,366
2017-03-31,86,171,558,452,694,374,998,550
2017-03-31,150,600,384,491,291,222,753,353
2017-03-31,58,379,0,580,690,477,631,398
2017-03-31,433,202,520,853,456,474,419,109
2017-03-31,780,1297,285,91,280,421,395,399
2017-03-31,466,482,711,606,678,398,330,0
2017-03-31,53,278,889,504,423,298,844,201
2017-03-31,502,131,436,51,322,494,601,70
2017-03-31,50,593,698,444,294,281,578,584
2017-03-31,326,486,102,610,1124,227,283,730
2017-03-31,30,663,382,701,423,187,257,651
2017-03-31,424,357,653,604,353,263,538,611
2017-03-31,244,749,761,560,547,695,0,564
2017-03-31,343,850,305,499,734,526,368,114
