"date","B","C","E","F","G","H","I","K","L","N","O"
2017-09-19,823,258,754,595,969,323,756,445,926,416,621
2017-09-19,688,558,680,44,143,463,615,72,516,607,451
2017-09-19,673,499,388,728,687,426,137,748,248,571,0
2017-09-19,600,347,445,961,270,343,480,593,0,76,620
2017-09-19,395,426,625,215,356,555,900,728,423,682,924
2017-09-19,1067,549,388,0,487,662,307,365,217,863,616
2017-09-19,697,507,312,506,493,297,464,220,27,120,393
2017-09-19,597,673,529,776,724,423,773,550,764,704,633
2017-09-19,1032,13,902,143,660,594,295,1094,495,869,422
2017-09-19,1007,356,163,916,604,797,641,521,345,630,701
2017-09-19,678,672,552,686,565,562,266,660,773,794,473
2017-09-19,661,0,316,434,384,553,597,882,581,717,400
2017-09-19,538,773,276,396,491,386,966,592,928,837,558
2017-09-19,0,717,483,312,550,977,569,524,117,576,689
2017-09-19,941,911,568,491,772,516,119,77,941,224,511
2017-09-19,400,1065,493,488,233,532,385,591,125,442,695
2017-09-19,539,384,667,403,777,586,484,209,123,250,321
2017-09-19,513,419,1236,1010,980,310,653,230,543,174,643
2017-09-19,546,562,715,966,946,199,349,728,598,573,941
2017-09-19,461,817,854,103,792,935,768,210,433,252,0
2017-09-19,724,113,463,295,552,481,713,652,554,119,895
2017-09-19,469,396,657,270,103,188,161,335,437,453,543
2017-09-19,227,228,501,409,704,411,443,478,530,738,561
2017-09-19,672,723,862,604,443,134,448,326,360,503,668
2017-09-20,322,644,495,522,465,850,429,561,791,615,544
2017-09-20,682,311,700,404,640,933,0,95,576,232,799
2017-09-20,749,250,148,468,778,209,633,475,136,106,140
2017-09-20,511,447,658,268,376,579,606,787,631,600,329
2017-09-20,596,132,327,895,0,782,973,520,314,1092,626
2017-09-20,423,0,609,585,339,390,346,397,742,160,644
2017-09-20,180,844,616,256,222,0,277,584,504,340,755
2017-09-20,577,894,403,248,687,556,586,1004,321,513,256
2017-09-20,559,740,814,349,284,380,719,62,356,721,527
2017-09-20,429,969,378,447,227,31,245,902,285,868,630
2017-09-20,659,595,589,190,564,734,420,54,225,530,736
2017-09-20,613,419,399,275,585,598,0,558,427,119,135
2017-09-21,164,637,316,208,963,491,392,811,239,738,177
2017-09-21,788,370,799,651,481,798,784,814,723,885,424
2017-09-21,195,432,13,483,1062,467,97,867,519,616,624
2017-09-21,667,0,418,236,274,681,536,175,77,512,303
2017-09-21,77,347,506,313,371,732,192,605,742,742,770
2017-09-21,546,512,651,552,393,504,410,285,423,389,581
2017-09-21,541,372,0,948,638,0,127,366,1212,826,312
2017-09-21,491,1042,712,213,208,288,348,649,484,406,311
2017-09-21,244,181,748,23,514,448,839,866,356,807,269
2017-09-21,635,208,838,594,488,749,439,594,783,126,426
2017-09-21,675,904,581,347,278,419,274,1098,300,110,535
2017-09-21,755,162,474,535,328,792,0,295,625,409,196
2017-09-21,295,652,17,468,786,321,309,256,254,956,441
2017-09-21,768,336,116,628,654,334,841,486,383,433,301
2017-09-21,360,900,546,503,521,538,310,269,673,333,717
2017-09-21,871,734,504,623,420,364,426,636,567,690,761
2017-09-21,626,0,322,409,521,519,421,732,683,698,506
2017-09-22,953,439,504,799,565,672,488,494,38,789,677
2017-09-22,398,968,441,325,674,754,728,759,582,220,271
2017-09-22,345,313,675,671,502,297,549,679,293,874,290
2017-09-22,549,614,745,536,761,643,603,625,766,249,274
2017-09-22,664,339,90,975,938,319,272,464,453,121,735
2017-09-22,895,520,582,399,278,123,682,213,294,406,257
2017-09-22,507,694,1040,547,386,472,326,724,897,193,369
2017-09-22,343,795,682,639,230,823,281,211,771,463,643
2017-09-22,487,429,366,833,707,400,316,496,1113,521,182
2017-09-22,298,243,348,885,312,583,505,113,469,495,501
2017-09-22,198,661,508,593,424,375,801,1220,786,288,0
2017-09-22,954,551,399,227,742,790,267,635,841,413,752
2017-09-22,673,82,596,0,777,770,276,278,657,462,406
2017-09-23,55,445,528,844,802,213,282,461,657,230,418
2017-09-23,551,238,210,442,70,214,1039,270,842,430,338
2017-09-23,371,239,154,707,689,547,392,263,130,470,662
2017-09-23,566,433,117,755,435,388,368,610,495,463,25
2017-09-23,216,538,794,720,527,581,474,698,407,824,332
2017-09-23,614,478,466,497,0,413,803,201,756,663,104
2017-09-23,591,523,569,0,701,542,530,520,232,461,117
2017-09-23,280,797,658,518,213,701,305,617,564,535,387
2017-09-23,421,488,403,812,302,712,855,427,249,425,584
2017-09-23,0,667,852,376,541,542,257,434,217,591,745
2017-09-23,550,766,363,762,47,331,597,629,143,115,519
2017-09-23,372,954,399,366,669,14,357,305,527,928,426
2017-09-23,359,530,818,660,0,446,557,295,189,747,439
2017-09-24,898,582,1166,638,259,628,0,634,67,224,254
2017-09-24,485,424,673,1102,601,326,113,625,804,386,623
2017-09-24,292,167,548,530,713,271,331,400,148,486,586
2017-09-24,706,428,553,157,727,787,670,225,610,809,447
2017-09-24,279,59,31,535,712,970,512,812,653,525,575
2017-09-24,534,301,194,644,530,579,607,305,356,485,914
2017-09-24,129,120,178,345,596,325,441,217,699,300,1201
2017-09-24,514,619,589,173,480,378,515,500,654,630,413
2017-09-24,347,310,466,669,505,289,601,862,523,511,498
2017-09-24,751,774,244,424,406,442,617,391,220,339,802
2017-09-24,0,531,811,899,966,644,617,282,526,532,190
2017-09-24,0,481,837,0,35,211,530,420,400,0,675
2017-09-24,368,576,614,1153,280,882,1334,672,701,611,620
2017-09-24,508,981,521,800,0,630,293,598,612,611,789
2017-09-24,513,629,586,698,611,368,724,200,447,402,217
2017-09-24,770,420,50,484,235,550,250,244,402,459,720
2017-09-25,610,203,351,817,533,357,228,594,587,437,436
2017-09-25,434,783,742,565,0,528,0,571,434,293,310
2017-09-25,1197,643,540,358,647,653,792,452,588,848,343
2017-09-25,422,696,805,468,714,253,260,233,275,742,551
2017-09-25,374,805,190,548,609,411,410,859,186,610,287
2017-09-25,379,357,542,657,450,345,563,522,581,207,0
2017-09-25,450,382,755,788,77,49,724,301,494,513,385
2017-09-25,515,724,242,268,806,779,744,823,596,1053,851
2017-09-25,436,982,543,538,534,608,971,960,243,509,396
2017-09-25,375,662,662,16,231,239,333,563,499,281,962
2017-09-25,159,563,66,773,888,183,589,324,508,825,360
2017-09-25,484,329,536,941,496,360,378,974,193,470,530
2017-09-25,783,379,0,513,411,385,544,819,748,550,793
2017-09-25,333,653,687,382,631,599,0,344,435,164,339
2017-09-25,553,374,697,648,234,550,275,580,362,364,984
2017-09-25,165,649,435,535,124,469,496,19,257,1046,562
2017-09-25,235,639,618,0,748,636,644,485,511,556,533
2017-09-25,727,348,156,607,45,456,502,629,268,320,433
2017-09-26,443,559,510,776,555,379,548,18,716,466,453
2017-09-26,638,1132,424,361,232,104,802,661,405,465,506
2017-09-26,883,207,387,554,1150,550,706,852,677,794,435
2017-09-26,178,129,11,153,1001,429,711,263,707,535,354
2017-09-26,1118,787,567,828,129,644,265,440,266,280,398
2017-09-26,791,968,489,460,102,392,892,617,943,0,676
2017-09-26,891,489,563,187,247,611,225,366,251,934,744
2017-09-26,498,364,540,115,360,693,486,884,748,467,789
2017-09-26,503,182,449,405,46,664,150,554,0,493,700
2017-09-26,551,251,492,600,442,818,122,539,565,937,320
2017-09-26,435,522,1003,854,319,291,357,286,533,622,404
2017-09-26,562,663,653,60,927,78,558,707,902,487,158
2017-09-26,827,468,137,740,41,522,273,0,584,613,497
2017-09-26,1063,837,646,168,921,525,630,421,878,913,633
2017-09-26,720,155,193,356,642,582,621,229,712,586,228
2017-09-26,323,619,511,369,257,868,128,488,377,182,738
2017-09-26,274,824,140,483,666,1134,592,611,589,578,516
2017-09-26,270,501,746,541,397,690,659,423,797,459,42
2017-09-27,216,320,127,424,902,416,613,697,293,729,191
2017-09-27,213,436,11,345,344,924,370,730,321,277,785
2017-09-27,293,358,321,669,671,97,0,403,680,117,546
2017-09-27,263,177,882,0,98,670,438,715,301,402,353
2017-09-27,417,1023,1121,471,78,0,1101,727,792,693,501
2017-09-27,507,922,702,197,634,32,485,134,805,830,427
2017-09-27,735,908,405,461,493,857,563,390,323,1035,533
2017-09-27,601,611,1024,444,514,901,98,718,547,335,623
2017-09-27,790,713,326,139,564,271,9,404,1099,758,395
2017-09-27,490,371,719,988,399,462,644,551,781,721,577
2017-09-27,0,174,339,736,0,506,156,737,298,356,269
2017-09-27,309,407,564,439,288,286,956,325,960,549,571
2017-09-27,0,644,451,736,636,320,857,118,331,337,557
2017-09-27,346,775,622,592,344,297,0,312,647,631,636
2017-09-28,752,431,703,419,789,954,499,226,395,477,376
2017-09-28,261,695,1000,615,263,989,294,130,598,470,39
2017-09-28,716,583,703,361,1088,585,320,183,546,279,585
2017-09-28,537,334,150,906,227,265,814,551,720,429,833
2017-09-28,595,262,953,372,438,628,600,368,820,449,612
2017-09-28,388,571,0,183,314,311,699,397,378,875,657
2017-09-28,677,295,763,442,988,283,172,822,547,1196,691
2017-09-28,940,778,976,543,660,557,422,464,534,800,658
2017-09-28,236,70,411,485,0,735,340,50,485,746,417
2017-09-28,400,501,492,1100,444,423,855,405,596,645,370
2017-09-28,379,253,467,1034,184,550,508,426,549,814,313
2017-09-28,654,461,542,838,452,794,768,275,326,601,651
2017-09-28,131,521,562,461,385,218,604,182,232,581,441
2017-09-28,519,752,135,667,450,33,740,566,475,594,530
2017-09-28,350,494,539,342,515,584,666,524,370,295,334
2017-09-28,140,192,441,524,222,491,742,682,731,708,774
2017-09-28,407,315,711,391,640,543,577,402,857,727,859
2017-09-29,788,105,404,742,21,677,308,645,774,519,511
2017-09-29,616,747,488,669,347,503,634,124,257,457,0
2017-09-29,756,273,534,418,407,1038,224,249,611,534,748
2017-09-29,115,329,469,526,1089,487,174,193,204,256,103
2017-09-29,924,807,474,267,284,261,508,608,473,596,452
2017-09-29,472,911,469,313,727,586,342,462,697,975,845
2017-09-29,0,749,373,236,320,443,307,120,656,271,733
2017-09-29,383,963,341,355,327,750,385,457,482,521,117
2017-09-29,524,891,393,329,484,629,515,431,322,235,670
2017-09-29,319,722,452,760,535,627,219,0,188,240,0
2017-09-29,597,287,569,478,69,266,300,392,813,542,0
2017-09-29,610,512,330,652,249,204,685,730,439,837,845
2017-09-29,669,934,1181,528,654,537,661,439,628,824,115
2017-09-29,219,928,613,155,901,342,650,662,685,175,631
2017-09-30,336,528,793,627,492,0,0,496,272,601,470
2017-09-30,249,576,458,590,283,701,226,499,850,769,969
