"date","A","D","E","G","H","J","K","L","O"
2016-05-14,393,0,75,0,331,369,324,238,403
2016-05-14,722,44,334,329,931,250,174,169,289
2016-05-14,235,254,503,0,241,58,371,445,340
2016-05-14,0,534,452,232,906,139,545,33,849
2016-05-14,131,168,117,455,589,823,150,154,235
2016-05-14,0,884,257,552,256,433,537,146,239
2016-05-14,609,164,328,323,227,141,0,114,146
2016-05-14,135,390,0,281,276,0,165,699,104
2016-05-14,234,299,593,54,274,313,0,48,127
2016-05-14,535,0,492,130,279,486,303,328,321
2016-05-14,0,522,651,194,432,10,504,778,587
2016-05-15,0,326,491,705,484,370,364,0,490
2016-05-15,319,44,330,0,250,411,304,162,177
2016-05-15,310,394,16,31,175,839,530,0,107
2016-05-15,264,405,423,440,575,509,333,242,337
2016-05-15,209,0,356,825,117,0,103,443,349
2016-05-15,596,264,67,66,77,475,548,67,164
2016-05-15,312,484,286,602,0,157,596,294,0
2016-05-15,43,165,83,318,314,0,201,637,583
2016-05-15,190,511,151,513,305,303,264,408,558
2016-05-15,407,411,610,266,618,0,552,524,272
2016-05-15,236,459,146,0,462,166,521,347,287
2016-05-15,262,480,481,259,377,675,279,610,210
2016-05-15,330,550,60,177,596,531,236,140,35
2016-05-15,585,169,197,508,271,439,241,420,196
2016-05-15,541,502,0,490,672,451,460,316,18
2016-05-15,205,212,254,331,271,243,0,334,96
2016-05-15,556,478,402,245,0,65,87,0,165
2016-05-16,14,495,463,382,142,90,508,310,173
2016-05-16,384,0,904,0,359,119,190,449,194
2016-05-16,39,335,337,390,138,147,521,456,299
2016-05-16,0,128,468,652,276,163,216,500,70
2016-05-16,396,581,56,169,268,938,257,367,213
2016-05-16,533,0,499,0,0,391,387,40,234
2016-05-16,98,610,361,57,663,469,50,276,493
2016-05-16,125,0,349,261,749,162,350,707,1304
2016-05-16,56,367,213,0,611,247,353,159,84
2016-05-17,0,467,628,681,0,0,568,51,715
2016-05-17,375,331,164,204,199,133,0,218,0
2016-05-17,463,365,85,374,477,331,466,0,150
2016-05-17,142,0,0,411,433,85,314,526,615
2016-05-17,61,311,511,155,526,342,602,511,135
2016-05-17,374,246,472,0,531,78,376,892,543
2016-05-17,631,912,454,390,154,523,397,0,0
2016-05-17,454,228,514,0,749,266,176,239,22
2016-05-17,339,0,137,0,85,190,0,408,334
2016-05-18,437,465,340,136,730,129,257,314,506
2016-05-18,118,0,708,195,421,406,574,137,76
2016-05-18,224,91,0,588,574,622,464,179,525
2016-05-18,0,356,154,325,80,0,19,214,580
2016-05-18,0,191,135,463,370,145,96,775,762
2016-05-18,0,0,344,0,371,463,538,334,0
2016-05-18,275,460,318,0,0,856,309,575,404
2016-05-18,0,296,609,540,238,295,335,0,582
2016-05-18,458,213,0,77,219,347,330,649,321
2016-05-18,351,252,0,49,144,171,277,382,669
2016-05-18,577,987,485,186,439,411,113,553,448
2016-05-18,108,123,555,232,236,311,0,483,82
2016-05-19,456,20,0,42,221,285,575,168,171
2016-05-19,456,376,482,188,0,0,199,290,0
2016-05-19,0,442,201,273,326,85,866,60,557
2016-05-19,625,118,274,463,215,217,503,394,434
2016-05-19,209,586,419,0,136,0,444,307,423
2016-05-19,262,38,196,366,0,93,150,334,144
2016-05-19,374,304,572,741,102,11,601,231,211
2016-05-19,367,87,399,230,0,360,0,266,853
2016-05-19,214,648,0,369,147,192,24,203,0
2016-05-19,605,296,0,375,530,315,12,556,253
2016-05-19,257,0,171,463,0,0,0,196,657
2016-05-20,449,243,403,0,469,349,0,296,0
2016-05-20,0,560,123,0,286,36,179,479,0
2016-05-20,117,86,0,315,160,142,317,470,223
2016-05-20,471,45,711,341,467,324,468,355,799
2016-05-20,465,844,167,327,691,415,59,611,0
2016-05-20,667,0,435,787,341,50,293,224,409
2016-05-20,376,322,171,789,0,0,127,58,169
2016-05-21,613,706,431,537,386,0,838,60,171
2016-05-21,368,448,0,373,312,225,279,5,0
2016-05-21,411,0,236,465,733,133,89,375,275
2016-05-21,0,526,848,241,515,418,146,237,159
2016-05-22,280,680,175,160,226,165,367,534,480
2016-05-22,522,369,469,303,878,326,177,205,783
2016-05-22,369,147,376,434,0,342,317,136,781
2016-05-22,437,210,701,34,344,0,140,452,330
2016-05-22,143,253,152,452,0,246,352,578,65
2016-05-22,182,881,533,107,279,289,580,244,244
2016-05-22,461,328,425,620,525,463,92,513,665
2016-05-22,399,0,0,559,20,181,631,148,498
2016-05-22,100,755,638,160,487,591,854,641,722
2016-05-22,0,312,454,289,246,275,367,689,260
2016-05-23,454,108,0,220,529,271,379,253,62
2016-05-23,426,370,0,0,261,633,53,0,147
2016-05-23,827,614,315,305,0,711,86,0,120
2016-05-23,413,0,912,480,20,779,514,594,456
2016-05-23,535,515,474,439,117,302,35,393,53
2016-05-23,0,508,163,0,0,416,425,408,662
2016-05-23,325,142,0,584,29,450,255,432,483
2016-05-23,261,0,820,187,78,360,344,89,0
2016-05-23,595,241,16,306,459,0,858,207,516
2016-05-23,503,529,407,32,402,272,386,1002,438
2016-05-23,90,1011,224,156,471,330,697,0,218
2016-05-23,233,279,695,273,304,53,188,644,0
2016-05-23,222,113,117,90,327,244,592,615,498
2016-05-23,421,334,869,456,656,0,0,309,425
2016-05-24,0,363,245,293,121,61,285,313,402
2016-05-24,41,971,399,395,0,144,550,755,451
2016-05-24,107,504,172,299,376,515,120,256,581
2016-05-24,540,443,0,176,181,179,977,727,428
2016-05-24,395,626,339,45,0,468,360,137,153
2016-05-24,0,629,349,0,8,391,0,601,385
2016-05-24,204,126,61,251,315,686,391,469,603
2016-05-24,194,207,309,284,0,619,74,666,267
2016-05-24,235,299,118,461,456,90,234,251,213
2016-05-24,363,335,66,403,231,200,403,362,292
2016-05-24,196,30,17,508,414,0,0,780,256
2016-05-25,297,438,263,324,0,274,239,501,178
2016-05-25,339,474,350,538,0,586,312,650,479
2016-05-25,35,0,527,564,392,62,474,81,344
2016-05-25,634,198,437,160,456,99,27,495,397
2016-05-25,0,461,321,270,438,78,143,157,215
2016-05-25,409,149,0,501,186,339,321,5,45
2016-05-25,378,209,291,288,115,405,195,396,715
2016-05-25,379,490,185,256,416,3,751,281,602
2016-05-25,664,386,241,691,118,246,605,615,234
2016-05-25,273,432,367,309,544,0,1031,456,389
2016-05-26,509,675,268,340,927,178,398,573,403
2016-05-26,307,0,187,631,563,138,461,0,303
2016-05-26,191,369,227,12,62,255,329,391,1051
2016-05-26,103,0,87,603,0,164,121,195,631
2016-05-26,358,612,141,380,0,209,0,596,155
2016-05-26,391,346,173,500,371,68,249,956,0
2016-05-26,384,546,156,476,0,69,179,529,659
2016-05-26,549,113,219,24,170,490,127,0,52
2016-05-26,131,364,354,355,127,325,643,354,171
2016-05-27,332,766,277,182,309,798,0,296,174
2016-05-27,362,414,457,302,141,198,110,388,88
2016-05-27,665,379,343,484,470,202,556,551,59
2016-05-27,455,706,386,58,436,184,467,186,296
2016-05-27,0,0,0,0,93,248,249,0,354
2016-05-27,158,461,248,231,235,507,631,307,598
2016-05-27,116,169,584,313,239,433,0,359,155
2016-05-27,465,368,324,0,315,0,30,340,0
2016-05-27,303,446,507,218,276,0,343,217,102
2016-05-27,106,231,408,452,490,0,614,0,590
2016-05-27,0,231,52,0,379,113,155,561,470
2016-05-28,353,0,390,222,484,455,444,318,0
2016-05-28,59,69,23,313,0,507,174,322,385
2016-05-28,596,169,119,753,447,383,0,346,334
2016-05-28,280,0,372,638,545,107,664,84,216
2016-05-28,272,308,520,264,692,538,0,92,240
2016-05-28,218,67,287,222,47,334,500,235,23
2016-05-29,149,263,12,160,653,176,270,0,0
2016-05-29,253,572,125,108,179,100,239,323,701
2016-05-29,16,249,415,455,643,461,288,150,296
2016-05-29,342,527,0,0,0,424,218,128,496
2016-05-29,639,478,627,328,318,0,273,497,318
2016-05-29,62,96,257,403,238,305,526,237,769
2016-05-29,502,310,392,159,0,0,210,22,0
2016-05-30,285,127,0,0,346,242,609,65,339
2016-05-30,193,101,92,156,225,0,0,322,0
2016-05-30,293,544,542,213,0,68,465,24,202
2016-05-30,307,270,581,421,134,0,0,366,383
2016-05-30,319,180,532,405,4,531,0,209,56
2016-05-30,236,0,0,20,486,0,336,402,423
2016-05-30,0,653,538,166,502,0,218,97,246
2016-05-30,305,517,75,281,217,141,0,710,750
2016-05-30,399,84,315,162,210,219,335,431,260
2016-05-30,0,0,363,668,547,907,0,330,297
2016-05-31,0,474,628,0,0,156,587,0,457
2016-05-31,304,637,204,320,435,125,413,352,521
2016-05-31,0,762,121,122,454,147,604,435,481
2016-05-31,364,359,0,0,163,264,441,295,344
2016-05-31,245,0,286,862,0,459,718,256,1
2016-05-31,332,573,196,661,0,40,340,401,441
2016-05-31,227,265,243,123,666,256,2,0,0
2016-05-31,151,658,538,157,323,240,592,125,566
