"date","A","C","D","E","F","G","H","I","L"
2016-10-04,202,119,195,300,357,240,574,284,283
2016-10-05,23,193,331,550,677,867,744,0,0
2016-10-05,295,408,269,392,0,440,779,500,242
2016-10-05,157,570,334,299,368,329,52,289,0
2016-10-05,103,428,846,425,210,216,498,457,261
2016-10-05,534,283,166,618,327,480,562,367,102
2016-10-05,518,386,109,283,144,559,0,158,174
2016-10-06,12,477,824,58,557,883,0,254,690
2016-10-06,86,69,0,302,588,400,617,196,268
2016-10-06,0,125,0,594,517,311,33,83,132
2016-10-06,629,431,324,120,260,555,488,294,740
2016-10-06,114,218,819,280,369,122,508,208,448
2016-10-06,85,717,528,0,377,183,402,343,567
2016-10-06,423,50,559,185,317,647,498,233,249
2016-10-06,73,553,0,435,568,425,473,41,540
2016-10-06,280,825,0,421,0,456,202,466,358
2016-10-06,144,697,473,430,584,277,0,329,693
2016-10-06,408,299,498,150,270,0,357,0,264
2016-10-06,285,548,382,496,574,567,409,0,191
2016-10-07,414,304,0,898,336,23,22,769,478
2016-10-07,244,0,13,302,319,0,548,38,225
2016-10-07,0,395,0,304,339,407,722,0,261
2016-10-07,393,287,479,402,368,339,369,594,0
2016-10-07,438,350,281,511,430,179,170,0,679
2016-10-07,0,15,187,432,0,2,724,335,138
2016-10-07,0,260,619,264,109,499,408,208,492
2016-10-07,41,180,222,855,126,139,482,0,0
2016-10-07,260,303,337,2,209,587,416,118,342
2016-10-07,122,137,695,310,55,0,81,297,286
2016-10-07,0,261,123,723,199,0,177,418,0
2016-10-08,326,77,231,612,121,265,370,0,530
2016-10-08,497,505,0,309,246,0,389,351,319
2016-10-08,301,0,415,353,3,380,129,496,583
2016-10-08,181,15,405,359,665,0,544,220,475
2016-10-08,336,180,504,0,281,0,308,71,726
2016-10-08,495,236,0,757,655,0,485,0,244
2016-10-08,0,399,243,498,34,18,524,411,698
2016-10-08,174,0,527,225,195,609,353,272,228
2016-10-08,450,474,164,0,0,215,0,116,624
2016-10-08,588,210,121,18,0,289,364,144,600
2016-10-08,278,482,506,212,515,89,429,0,255
2016-10-08,759,478,284,301,746,504,458,107,721
2016-10-08,266,217,323,335,395,0,242,215,232
2016-10-08,76,354,421,161,617,357,362,326,168
2016-10-09,187,542,280,621,473,272,176,449,0
2016-10-09,551,114,316,271,37,394,381,69,131
2016-10-09,0,155,0,82,472,532,337,145,345
2016-10-09,277,616,0,401,838,232,145,154,358
2016-10-09,188,256,350,741,476,252,758,843,371
2016-10-09,541,0,690,0,371,778,133,486,92
2016-10-09,0,60,269,524,279,651,573,0,0
2016-10-10,479,154,407,0,448,201,436,594,227
2016-10-10,419,384,348,559,504,370,540,454,168
2016-10-10,599,20,455,925,327,377,371,744,545
2016-10-10,21,241,955,624,616,763,401,667,171
2016-10-10,424,202,319,400,715,265,306,457,241
2016-10-10,169,0,92,0,80,0,0,730,500
2016-10-10,75,300,446,464,173,0,304,281,320
2016-10-10,701,598,301,0,596,566,276,137,0
2016-10-10,237,379,372,284,443,386,345,0,385
2016-10-11,223,227,255,348,325,745,78,8,373
2016-10-11,171,30,0,630,173,689,533,90,209
2016-10-11,309,305,380,375,363,200,302,45,506
2016-10-11,382,530,168,546,507,523,370,189,331
2016-10-11,261,253,633,434,231,374,123,166,464
2016-10-11,111,307,94,385,0,0,220,600,373
2016-10-11,81,186,182,10,96,490,510,571,415
2016-10-11,397,473,399,516,211,0,153,709,424
2016-10-11,0,385,363,132,332,403,320,483,271
2016-10-11,42,186,287,172,85,321,0,509,105
2016-10-11,0,207,568,434,228,448,0,807,125
2016-10-11,620,229,605,537,512,271,214,563,528
2016-10-11,276,428,450,44,790,6,528,356,533
2016-10-12,257,308,209,475,354,797,449,144,231
2016-10-12,0,332,136,530,0,769,545,190,302
2016-10-12,509,416,0,15,665,585,0,116,737
2016-10-12,54,0,658,286,161,16,0,575,83
2016-10-12,517,99,460,0,174,218,504,360,354
2016-10-12,23,542,439,419,260,80,462,353,134
2016-10-12,111,602,739,374,494,683,100,0,3
2016-10-12,138,529,201,295,0,836,204,50,219
2016-10-12,650,425,507,0,324,538,21,282,200
2016-10-12,0,377,0,776,508,169,304,390,245
2016-10-12,0,423,766,175,252,562,0,185,48
2016-10-12,643,364,299,320,913,447,234,256,193
2016-10-12,0,297,288,424,764,0,0,467,13
2016-10-12,496,342,0,361,454,34,535,414,277
2016-10-12,669,304,575,387,727,464,196,0,274
2016-10-13,0,646,295,661,0,168,659,44,43
2016-10-13,507,529,224,0,598,547,330,810,81
2016-10-13,501,437,175,302,31,345,358,0,117
2016-10-13,309,0,720,559,563,0,161,675,566
2016-10-13,587,399,608,0,374,221,276,580,719
2016-10-13,605,532,414,401,82,0,161,257,376
2016-10-13,249,293,620,417,578,0,370,102,285
2016-10-13,274,563,316,186,148,310,516,691,8
2016-10-13,396,401,435,461,417,148,612,441,0
2016-10-14,559,280,460,294,481,432,375,99,0
2016-10-14,477,301,594,402,315,584,0,304,186
2016-10-14,316,430,468,292,33,0,130,514,623
2016-10-14,491,0,334,329,467,489,192,445,523
2016-10-14,331,679,0,280,781,465,417,40,501
2016-10-14,333,587,597,392,173,299,33,237,634
2016-10-14,501,365,272,268,117,748,637,0,218
2016-10-14,224,265,130,765,515,0,329,327,87
2016-10-15,353,250,429,127,365,503,8,757,42
2016-10-15,541,140,472,157,574,314,874,563,453
2016-10-15,167,645,842,582,185,190,0,559,128
2016-10-15,733,49,417,88,362,714,169,629,160
2016-10-15,967,156,161,222,288,494,352,544,377
2016-10-15,0,378,553,0,343,223,151,939,249
2016-10-16,130,242,205,628,385,590,14,689,238
2016-10-16,556,408,216,43,712,14,399,866,545
2016-10-16,383,197,149,316,475,0,454,840,163
2016-10-16,389,0,700,625,344,527,524,349,0
2016-10-16,694,122,895,410,453,31,822,256,194
2016-10-17,901,0,322,491,68,82,670,307,0
2016-10-17,323,696,0,396,341,0,331,201,82
2016-10-17,664,364,249,353,275,605,310,0,0
2016-10-17,548,510,223,137,550,0,322,276,970
2016-10-17,300,51,714,608,142,0,185,456,280
2016-10-17,152,709,400,179,278,351,123,226,242
2016-10-17,279,498,179,184,418,222,337,198,574
2016-10-17,70,515,206,467,385,0,0,421,356
2016-10-17,280,139,711,300,367,106,700,667,416
2016-10-17,259,234,825,362,214,319,401,410,459
2016-10-17,170,230,233,319,36,284,302,255,369
2016-10-17,703,263,148,643,602,285,0,376,343
2016-10-18,285,507,191,295,979,154,0,274,514
2016-10-18,81,163,278,330,52,411,204,960,510
2016-10-18,432,218,869,318,251,815,840,401,675
2016-10-18,0,282,192,337,288,382,636,182,299
2016-10-18,220,240,58,569,184,29,248,382,232
2016-10-18,367,439,482,471,119,139,580,518,303
2016-10-18,208,410,313,209,673,203,430,351,0
2016-10-18,59,182,386,694,945,23,810,580,295
2016-10-19,0,0,511,344,389,0,437,423,540
2016-10-19,340,332,211,662,468,286,524,220,285
2016-10-19,698,53,111,599,332,186,396,0,800
2016-10-19,0,317,906,253,395,182,84,608,742
2016-10-19,383,49,770,676,365,74,338,0,82
2016-10-19,194,562,194,367,95,0,432,337,484
2016-10-20,263,113,716,561,882,215,509,140,532
2016-10-20,261,590,434,93,357,290,876,241,0
2016-10-20,199,185,557,87,249,493,328,296,211
2016-10-20,411,0,581,198,414,590,211,231,108
2016-10-20,425,179,270,401,0,290,212,182,757
2016-10-20,178,534,164,0,372,47,803,132,102
2016-10-20,273,468,607,600,332,702,368,640,213
2016-10-21,203,76,102,428,291,503,444,119,103
2016-10-21,0,290,338,525,244,322,387,545,914
2016-10-21,278,163,298,307,251,289,506,984,0
2016-10-21,846,443,552,120,447,426,139,210,438
2016-10-21,241,0,432,255,73,0,871,39,435
2016-10-21,0,404,243,493,253,97,0,318,651
2016-10-21,429,117,38,324,68,454,611,66,233
2016-10-22,190,15,548,227,365,302,0,434,76
2016-10-22,117,0,382,285,291,158,290,0,0
2016-10-22,0,121,366,626,304,313,298,55,110
2016-10-22,554,231,17,302,534,485,93,178,609
2016-10-22,372,720,132,480,440,60,631,696,439
2016-10-22,9,340,205,806,0,740,578,244,317
2016-10-22,587,244,47,382,190,840,230,439,715
2016-10-22,180,527,744,347,586,422,0,159,548
2016-10-22,463,775,627,371,296,206,232,359,279
2016-10-22,417,366,79,522,0,406,354,385,115
2016-10-23,463,274,58,219,3,396,104,340,308
2016-10-23,348,521,741,588,502,521,0,14,575
2016-10-23,451,390,0,315,480,254,155,0,205
2016-10-23,0,60,69,0,0,230,643,674,79
2016-10-23,0,20,621,471,709,169,0,0,85
2016-10-23,556,542,282,640,353,153,0,457,268
2016-10-23,360,293,696,610,383,356,0,387,638
2016-10-23,228,693,456,728,382,181,354,337,219
2016-10-23,969,290,117,42,579,203,290,598,845
2016-10-23,405,126,646,107,624,19,338,699,651
2016-10-23,182,648,245,792,659,676,655,660,409
2016-10-23,351,500,452,238,451,430,466,344,6
2016-10-24,357,437,0,261,515,320,300,432,312
2016-10-24,442,562,214,577,127,458,599,48,324
2016-10-24,0,268,272,161,294,460,398,538,329
2016-10-24,429,663,579,173,0,297,126,278,294
2016-10-24,134,500,689,0,29,644,211,0,724
2016-10-24,299,246,147,246,510,458,227,294,247
2016-10-24,53,0,459,303,0,222,566,572,555
2016-10-24,141,609,474,356,635,49,232,412,336
2016-10-24,524,758,204,899,145,86,405,427,309
2016-10-24,389,472,332,730,340,262,575,752,465
2016-10-24,472,521,389,511,330,648,113,606,0
2016-10-24,0,94,0,154,53,100,390,21,532
2016-10-24,289,168,248,310,484,433,195,235,251
2016-10-24,333,174,847,694,119,390,336,533,579
2016-10-24,342,688,461,428,0,408,89,81,435
2016-10-24,361,208,740,94,117,182,210,92,189
2016-10-24,0,726,287,716,643,0,297,358,158
2016-10-25,586,86,142,374,479,525,468,254,134
2016-10-25,554,214,326,357,341,821,511,355,157
2016-10-25,0,446,640,288,1062,348,0,535,587
2016-10-25,806,0,297,426,130,507,242,948,503
2016-10-25,787,558,168,136,677,377,497,170,451
2016-10-25,443,341,856,176,550,432,393,436,37
2016-10-26,157,501,336,466,169,297,188,689,358
2016-10-26,291,616,0,1042,247,354,443,137,221
2016-10-26,363,332,374,60,457,491,483,271,0
2016-10-26,0,225,215,311,480,48,1,559,295
2016-10-26,534,285,258,0,410,0,597,0,835
2016-10-26,392,0,169,673,0,897,478,164,0
2016-10-26,38,4,0,514,484,376,981,377,14
2016-10-26,342,216,234,489,371,605,354,371,183
2016-10-26,0,310,0,659,143,374,499,110,333
2016-10-26,0,206,485,169,326,373,225,329,249
2016-10-27,191,394,10,211,748,226,658,401,490
2016-10-27,386,440,271,428,549,135,71,362,574
2016-10-27,167,161,722,287,0,294,209,0,529
2016-10-27,432,0,92,259,719,352,597,597,279
2016-10-27,476,27,0,713,261,48,365,283,0
2016-10-27,86,649,394,285,442,46,445,311,559
2016-10-27,374,506,341,278,71,255,169,308,464
2016-10-27,580,389,229,156,41,278,428,83,365
2016-10-28,104,664,19,389,0,574,313,613,589
2016-10-28,269,1067,0,387,313,299,0,589,850
2016-10-28,840,245,433,510,289,138,952,466,363
2016-10-28,585,327,247,0,444,344,514,361,124
2016-10-28,349,441,490,458,465,299,266,301,476
2016-10-28,103,0,22,0,239,257,460,122,23
2016-10-28,860,279,861,455,327,72,735,137,0
2016-10-28,359,590,277,304,145,438,296,425,459
2016-10-28,0,663,604,702,221,619,415,0,0
2016-10-29,763,241,185,524,130,83,315,0,119
2016-10-29,0,499,292,508,679,0,259,116,363
2016-10-29,623,72,147,0,619,18,468,139,226
2016-10-29,0,0,391,0,451,656,379,512,0
2016-10-29,40,425,168,420,104,276,0,282,593
2016-10-29,568,211,218,292,144,308,466,357,196
2016-10-29,363,166,445,790,465,603,0,296,558
2016-10-29,212,135,521,106,213,316,54,348,91
2016-10-29,503,375,552,339,425,316,251,418,337
2016-10-29,838,893,55,0,383,159,701,100,778
2016-10-29,396,664,215,404,577,0,669,394,215
2016-10-29,386,637,333,612,247,264,66,520,105
2016-10-29,88,212,13,287,228,209,567,121,0
2016-10-29,8,0,0,585,403,185,17,233,44
2016-10-29,293,130,335,0,670,0,141,514,392
2016-10-30,377,41,209,0,45,0,951,601,367
2016-10-30,237,507,201,145,62,139,36,405,657
2016-10-30,626,87,380,803,159,282,408,88,220
2016-10-30,457,0,611,465,0,778,199,390,183
2016-10-30,653,138,2,289,37,661,334,544,0
2016-10-30,309,183,61,385,470,267,375,286,406
2016-10-30,418,102,8,571,390,544,210,160,176
2016-10-30,955,312,501,288,286,490,0,8,0
2016-10-30,424,24,422,554,290,785,262,176,290
2016-10-30,195,444,412,45,432,901,10,472,617
2016-10-30,801,88,329,71,798,509,5,67,436
2016-10-30,450,266,178,304,294,326,0,491,188
2016-10-30,0,296,737,607,454,603,321,236,212
2016-10-30,347,412,347,336,107,463,134,628,347
2016-10-30,177,279,98,534,476,546,199,57,461
2016-10-30,438,279,569,461,736,126,566,672,0
2016-10-31,422,281,654,379,568,0,297,590,524
2016-10-31,288,532,23,703,204,52,414,396,605
2016-10-31,183,309,207,94,79,120,313,310,0
2016-10-31,226,587,200,133,425,486,362,349,718
2016-10-31,792,163,410,62,180,130,536,292,179
2016-10-31,784,287,524,267,463,189,229,800,0
2016-10-31,47,442,523,685,396,43,111,139,0
2016-10-31,431,198,597,244,158,215,407,0,527
2016-10-31,187,264,0,629,0,0,442,314,326
