"date","A","B","J","K"
2016-11-25,0,446,255,595
2016-11-26,178,0,542,373
2016-11-26,410,454,360,335
2016-11-26,108,0,421,578
2016-11-26,284,89,273,723
2016-11-26,0,0,246,257
2016-11-26,418,427,0,671
2016-11-26,201,758,208,500
2016-11-26,665,507,302,302
2016-11-27,597,520,373,585
2016-11-27,251,53,640,608
2016-11-27,112,14,442,400
2016-11-27,189,369,38,0
2016-11-27,0,458,439,831
2016-11-27,667,262,258,401
2016-11-27,188,95,316,297
2016-11-27,378,517,0,373
2016-11-27,487,9,660,553
2016-11-27,0,204,500,0
2016-11-27,320,0,771,716
2016-11-27,428,97,234,310
2016-11-27,648,503,92,109
2016-11-27,0,474,487,314
2016-11-27,351,365,547,200
2016-11-27,386,484,360,96
2016-11-28,22,452,500,398
2016-11-28,285,339,742,0
2016-11-28,474,354,444,205
2016-11-28,0,605,688,538
2016-11-28,677,41,298,302
2016-11-28,0,486,264,487
2016-11-28,224,0,753,562
2016-11-28,476,279,480,247
2016-11-28,332,458,430,104
2016-11-28,389,0,189,594
2016-11-28,224,0,349,136
2016-11-28,178,155,338,301
2016-11-28,440,235,740,677
2016-11-28,300,274,441,1161
2016-11-28,0,623,197,723
2016-11-29,654,30,317,83
2016-11-29,530,432,370,94
2016-11-29,965,430,587,234
2016-11-29,571,18,195,426
2016-11-29,236,297,264,166
2016-11-29,425,626,352,5
2016-11-29,101,266,479,526
2016-11-29,561,331,724,170
2016-11-29,588,580,457,727
2016-11-29,172,417,218,78
2016-11-29,107,163,317,804
2016-11-29,133,410,220,440
2016-11-30,761,889,230,444
2016-11-30,228,52,54,621
2016-11-30,515,330,0,856
2016-11-30,633,76,717,149
2016-11-30,402,646,669,201
