"date","B","C","E","F","H","I","J","K","L","M","O"
2015-05-16,284,670,142,811,271,642,800,442,482,756,422
2015-05-16,233,270,431,764,238,570,596,194,86,701,899
2015-05-16,439,231,553,262,576,631,468,262,385,319,383
2015-05-16,0,111,822,829,271,297,480,757,730,696,165
2015-05-16,467,860,584,396,520,95,464,302,696,374,817
2015-05-16,264,635,481,275,662,308,292,660,573,0,375
2015-05-16,1098,177,56,169,0,617,363,304,513,701,751
2015-05-16,465,555,664,815,612,492,239,648,383,535,678
2015-05-16,307,890,468,542,315,203,157,724,449,448,525
2015-05-16,158,585,303,701,290,331,651,852,71,994,619
2015-05-16,744,370,506,615,403,269,717,242,226,780,902
2015-05-16,441,513,399,760,686,875,0,871,607,353,131
2015-05-16,428,539,559,689,234,646,458,737,412,139,573
2015-05-17,0,820,0,279,356,696,623,388,435,774,272
2015-05-17,298,866,463,637,679,455,525,413,478,516,83
2015-05-17,201,358,100,748,284,291,38,612,415,813,426
2015-05-17,638,368,515,383,610,625,50,506,326,182,448
2015-05-17,610,348,831,961,371,561,726,743,363,267,739
2015-05-17,212,538,654,452,401,1010,644,858,721,647,498
2015-05-17,649,325,221,267,425,398,493,508,694,537,583
2015-05-17,881,865,621,356,645,227,383,616,270,704,239
2015-05-17,262,540,0,889,787,221,408,386,613,250,98
2015-05-17,189,269,613,227,645,548,621,956,615,654,602
2015-05-17,644,412,366,1046,505,595,600,827,218,686,270
2015-05-17,661,229,870,234,467,526,449,30,624,284,402
2015-05-17,152,476,562,457,494,678,561,694,515,736,524
2015-05-17,396,340,43,838,174,760,392,298,50,384,694
2015-05-17,568,531,100,75,717,468,500,569,0,430,316
2015-05-17,685,736,812,481,239,829,314,352,667,527,416
2015-05-17,232,497,59,139,259,995,313,409,593,612,813
2015-05-17,355,349,366,142,546,37,431,444,427,424,226
2015-05-17,732,536,867,346,355,558,836,797,489,861,626
2015-05-17,578,841,944,949,748,144,375,66,330,256,594
2015-05-18,368,768,241,455,867,346,243,171,855,527,755
2015-05-18,381,698,853,575,706,365,431,514,163,60,585
2015-05-18,539,970,541,209,517,556,463,552,432,359,730
2015-05-18,257,680,267,491,947,404,0,705,569,754,879
2015-05-18,767,57,678,661,564,882,649,429,801,251,325
2015-05-18,410,682,435,891,673,614,620,662,649,332,421
2015-05-18,558,693,279,727,339,999,557,704,345,177,781
2015-05-18,481,406,1080,369,485,652,550,650,886,804,377
2015-05-18,305,677,432,274,642,423,394,327,467,429,539
2015-05-18,304,689,189,672,139,630,289,384,511,490,550
2015-05-18,784,276,304,467,538,766,443,670,609,703,727
2015-05-19,760,515,678,540,432,703,346,140,348,426,624
2015-05-19,342,740,518,572,329,207,654,568,667,594,407
2015-05-19,972,556,625,620,417,157,210,791,951,852,296
2015-05-19,786,586,605,484,1009,509,345,613,458,494,787
2015-05-19,551,691,303,499,216,0,501,356,612,0,316
2015-05-19,593,586,859,762,193,617,81,519,768,476,245
2015-05-19,585,248,0,504,611,509,645,487,604,494,547
2015-05-19,377,927,726,0,666,299,910,435,603,872,596
2015-05-19,829,287,306,536,277,196,491,650,838,301,181
2015-05-19,428,604,72,104,662,806,496,185,533,405,367
2015-05-19,293,708,255,602,740,0,383,566,598,524,468
2015-05-19,848,125,420,412,752,2,331,511,314,457,680
2015-05-19,449,609,686,692,873,466,338,762,370,517,797
2015-05-20,0,597,659,690,179,721,299,417,424,262,1005
2015-05-20,241,475,508,183,475,697,0,723,229,311,754
2015-05-20,507,246,574,233,473,935,336,893,675,427,72
2015-05-20,526,524,444,435,630,715,196,723,796,283,128
2015-05-20,515,597,612,952,618,669,329,359,288,142,715
2015-05-20,166,191,566,394,204,448,373,167,433,297,576
2015-05-20,515,102,401,441,556,179,564,276,456,331,1041
2015-05-20,804,863,1089,374,77,472,656,525,209,849,374
2015-05-20,542,353,320,666,862,53,492,493,345,592,597
2015-05-21,676,388,279,785,905,696,225,631,434,597,954
2015-05-21,364,915,594,507,467,639,869,780,1052,768,480
2015-05-21,454,550,172,21,239,431,448,580,611,222,246
2015-05-21,926,843,0,683,837,528,388,216,577,893,449
2015-05-21,465,371,887,244,43,322,911,851,345,927,465
2015-05-21,579,239,409,503,546,731,118,414,431,756,885
2015-05-21,536,117,6,321,642,508,569,308,711,733,744
2015-05-21,744,988,1013,454,196,0,659,0,539,693,759
2015-05-21,714,200,841,578,758,156,396,715,484,783,408
2015-05-21,341,408,557,395,730,700,559,549,336,299,631
2015-05-21,553,402,354,241,692,117,588,502,862,364,647
2015-05-21,577,927,651,427,603,178,418,584,553,374,299
2015-05-21,627,182,85,950,820,148,471,513,669,464,948
2015-05-21,564,407,473,621,301,587,549,722,566,657,426
2015-05-21,184,877,629,0,513,613,431,741,739,437,86
2015-05-21,403,322,467,156,404,323,642,300,357,403,355
2015-05-21,190,888,931,614,748,483,296,834,556,48,832
2015-05-21,90,456,438,964,826,514,828,761,516,380,600
2015-05-21,563,541,592,475,758,763,521,234,565,507,493
2015-05-21,346,48,779,489,348,716,796,544,448,787,486
2015-05-22,495,341,924,315,361,758,609,398,717,248,810
2015-05-22,896,769,1026,383,518,530,687,650,188,969,1115
2015-05-22,481,480,478,709,392,580,566,293,247,479,494
2015-05-22,564,727,549,322,614,641,366,318,284,443,775
2015-05-22,527,679,557,929,745,176,658,421,336,0,288
2015-05-22,815,0,983,61,0,530,359,530,692,215,155
2015-05-22,538,307,928,789,214,652,867,835,394,226,509
2015-05-22,634,0,0,443,564,730,288,330,542,683,236
2015-05-22,397,505,601,668,158,566,635,477,124,262,579
2015-05-22,375,199,1165,477,550,719,369,588,123,667,557
2015-05-22,311,114,479,396,339,587,166,741,710,179,676
2015-05-22,637,353,698,463,689,451,748,487,723,530,77
2015-05-22,506,93,809,423,266,275,823,475,425,515,407
2015-05-22,444,352,372,767,503,624,344,480,670,684,507
2015-05-22,443,492,431,166,653,432,689,239,447,1028,367
2015-05-22,1170,619,127,992,623,684,808,284,405,742,332
2015-05-22,788,758,514,173,481,315,49,441,39,331,655
2015-05-22,466,630,527,978,362,80,679,614,409,205,492
2015-05-23,395,411,923,700,679,593,373,905,214,816,656
2015-05-23,742,931,20,664,693,224,628,685,330,310,845
2015-05-23,462,497,751,378,468,600,442,577,648,434,490
2015-05-23,257,658,491,807,375,395,648,603,921,549,1112
2015-05-23,702,727,316,436,364,490,313,0,556,499,503
2015-05-23,894,538,381,237,0,706,994,630,352,577,274
2015-05-23,50,126,366,1022,1043,788,746,513,670,664,1046
2015-05-23,649,416,831,200,915,216,395,591,584,285,296
2015-05-23,663,484,0,472,390,496,151,312,170,1307,433
2015-05-23,797,460,584,702,599,731,189,411,186,217,0
2015-05-23,306,452,253,1109,261,660,422,787,877,1188,602
2015-05-23,293,312,704,632,715,597,178,213,228,293,834
2015-05-23,610,822,928,285,565,0,468,334,484,507,634
2015-05-23,961,229,219,519,648,306,399,296,881,768,118
2015-05-23,339,798,510,443,805,869,868,756,111,345,648
2015-05-23,566,673,501,466,642,372,358,520,307,611,424
2015-05-24,738,1104,422,237,1105,653,809,872,625,473,173
2015-05-24,592,32,953,249,529,331,562,604,366,706,868
2015-05-24,663,711,250,533,453,502,120,758,731,294,279
2015-05-24,258,495,358,191,422,764,564,565,3,535,719
2015-05-24,582,509,895,407,51,927,349,538,843,590,608
2015-05-24,662,956,643,716,458,305,256,303,896,816,644
2015-05-24,525,44,884,571,489,271,379,523,787,801,782
2015-05-24,100,673,1166,597,172,58,32,663,266,732,974
2015-05-24,627,259,368,350,427,640,738,454,681,568,283
2015-05-24,619,927,703,405,390,1081,897,621,0,704,517
2015-05-24,206,716,814,885,643,973,640,180,420,401,407
2015-05-24,466,550,245,586,302,314,576,127,393,100,820
2015-05-24,939,951,326,306,845,652,784,317,542,270,598
2015-05-24,208,247,1058,446,368,347,595,238,615,146,297
2015-05-25,717,0,266,552,922,408,574,98,590,797,236
2015-05-25,523,686,324,424,567,645,389,88,0,753,860
2015-05-25,1047,0,210,396,1019,459,443,965,63,442,591
2015-05-25,582,879,679,377,752,586,598,604,253,385,314
2015-05-25,759,677,138,879,779,207,340,423,637,301,443
2015-05-25,107,460,233,580,116,1080,522,298,300,482,934
2015-05-25,300,573,565,0,466,0,289,831,510,692,632
2015-05-25,575,982,573,570,393,1029,535,816,85,436,438
2015-05-25,540,548,667,373,289,282,503,164,388,479,529
2015-05-25,902,480,766,442,440,231,160,600,575,143,327
2015-05-25,510,616,1141,459,451,311,1142,275,447,433,580
2015-05-25,0,1317,880,460,195,281,263,787,317,410,455
2015-05-25,774,2,252,338,618,678,754,268,1050,206,475
2015-05-25,337,661,157,733,616,770,741,698,727,304,955
2015-05-25,394,938,711,549,57,470,563,520,611,480,523
2015-05-25,837,344,716,0,106,528,441,322,286,651,818
2015-05-25,468,632,27,383,274,0,710,184,410,644,560
2015-05-26,466,757,741,332,629,809,832,524,540,363,332
2015-05-26,505,542,344,367,0,642,424,244,319,228,613
2015-05-26,434,586,486,692,414,635,667,984,902,36,374
2015-05-26,92,194,276,423,710,672,303,112,317,530,164
2015-05-26,712,134,327,467,180,870,457,212,571,738,406
2015-05-26,553,381,601,228,253,354,822,364,626,674,125
2015-05-26,729,657,635,590,453,746,611,296,563,547,638
2015-05-26,363,593,722,627,481,903,350,380,596,632,1147
2015-05-26,442,605,695,711,684,438,351,692,164,442,361
2015-05-26,612,493,446,427,473,39,720,596,484,511,0
2015-05-26,0,470,244,605,759,172,687,531,259,419,29
2015-05-26,477,524,1069,391,1034,467,505,513,754,769,168
2015-05-26,446,319,520,686,492,428,729,843,569,461,245
2015-05-26,394,413,350,495,664,329,624,462,400,845,765
2015-05-26,329,786,964,661,312,433,979,516,993,818,438
2015-05-26,360,498,558,571,115,863,613,5,600,664,370
2015-05-27,552,506,229,784,831,507,351,419,582,454,66
2015-05-27,633,335,599,59,1007,508,667,499,463,469,332
2015-05-27,710,728,909,791,205,1149,500,565,351,410,461
2015-05-27,82,532,798,670,834,0,530,1056,183,889,276
2015-05-27,207,531,583,780,676,156,455,840,189,429,516
2015-05-27,771,616,451,174,349,485,0,143,474,531,638
2015-05-27,698,772,101,250,607,808,393,605,1104,341,208
2015-05-27,588,593,146,307,736,657,611,54,682,905,555
2015-05-27,1030,0,849,736,876,323,633,419,361,216,967
2015-05-27,525,0,525,339,376,313,303,677,596,135,231
2015-05-27,549,477,1067,463,360,841,171,588,603,937,320
2015-05-27,346,792,636,597,549,224,727,338,307,394,564
2015-05-28,857,408,393,773,645,351,664,628,426,216,103
2015-05-28,445,77,287,254,72,651,1015,424,277,316,643
2015-05-28,883,277,697,705,515,660,697,841,286,939,523
2015-05-28,467,902,671,9,575,1068,574,330,672,564,455
2015-05-28,593,336,331,868,748,376,535,801,600,639,736
2015-05-28,478,411,496,801,317,823,314,604,764,169,790
2015-05-28,839,702,330,386,689,687,506,618,544,721,400
2015-05-28,290,1151,0,336,402,515,280,383,231,387,656
2015-05-28,566,621,729,962,436,239,501,202,614,329,96
2015-05-28,220,15,0,737,123,363,261,715,850,323,622
2015-05-28,917,647,451,801,949,550,741,292,514,912,407
2015-05-28,535,1006,469,125,864,786,685,0,692,421,381
2015-05-28,446,445,126,331,464,577,121,560,423,376,455
2015-05-28,912,511,421,93,789,356,852,775,776,267,411
2015-05-28,701,512,853,362,18,944,538,472,586,805,154
2015-05-28,486,591,329,401,588,718,531,563,559,492,0
2015-05-29,769,562,0,1004,511,346,579,11,297,468,1075
2015-05-29,868,240,360,392,298,0,1104,103,560,51,686
2015-05-29,797,613,641,574,327,263,443,456,482,208,643
2015-05-29,344,721,701,274,643,352,843,658,293,648,500
2015-05-29,276,428,611,451,781,856,235,640,587,0,644
2015-05-29,42,627,189,823,393,567,707,892,872,722,813
2015-05-29,86,366,132,790,227,168,536,757,511,861,767
2015-05-29,570,333,295,438,211,479,477,349,278,351,436
2015-05-29,352,142,499,538,406,798,481,229,339,307,578
2015-05-29,0,415,0,441,544,0,512,481,111,0,639
2015-05-29,642,996,335,257,906,445,782,121,171,403,793
2015-05-29,128,257,506,15,505,674,477,304,792,786,434
2015-05-29,0,393,435,409,700,652,0,266,813,674,916
2015-05-29,809,450,420,398,443,646,748,426,394,805,27
2015-05-29,272,480,579,607,519,589,288,278,421,106,773
2015-05-29,115,902,57,964,519,226,21,533,279,616,403
2015-05-29,488,441,752,486,828,584,543,1086,513,125,654
2015-05-29,0,466,434,664,0,892,342,298,156,725,211
2015-05-29,364,316,68,457,625,613,836,718,535,379,170
2015-05-29,445,474,285,644,492,526,195,325,629,773,557
2015-05-29,706,516,819,534,428,384,341,466,468,805,360
2015-05-30,1176,75,536,547,449,672,699,516,811,712,505
2015-05-30,506,392,235,543,1262,261,887,704,272,194,998
2015-05-30,214,231,320,295,661,829,251,220,340,721,247
2015-05-30,253,0,301,0,553,505,672,575,481,776,283
2015-05-30,895,791,771,604,535,648,742,283,346,1121,91
2015-05-30,594,473,321,532,679,929,342,599,208,739,659
2015-05-30,0,375,301,396,491,742,377,268,339,426,730
2015-05-30,530,105,93,201,425,473,491,628,657,420,274
2015-05-30,442,208,753,577,616,481,211,139,447,754,401
2015-05-30,745,322,65,550,404,538,535,863,726,570,279
2015-05-30,398,869,317,242,385,456,562,510,264,656,578
2015-05-30,406,19,178,529,411,536,1044,400,372,547,571
2015-05-30,622,645,0,751,410,134,410,665,339,405,831
2015-05-30,759,431,497,625,218,619,334,834,436,520,1014
