"date","A","B","C","E","G","I","J","N","O"
2016-02-15,610,640,0,473,405,497,450,0,0
2016-02-15,329,116,115,301,119,410,796,478,245
2016-02-15,830,769,939,387,429,540,466,963,437
2016-02-15,314,445,246,632,183,684,347,568,578
2016-02-15,208,0,347,480,415,538,724,178,495
2016-02-15,513,304,183,320,250,446,494,73,0
2016-02-15,450,568,606,220,0,75,64,72,421
2016-02-15,504,709,0,197,776,174,408,697,171
2016-02-16,0,256,543,253,34,413,136,120,545
2016-02-16,554,569,153,410,136,180,392,197,254
2016-02-16,315,439,614,159,190,254,455,56,430
2016-02-16,174,185,665,547,382,447,37,299,337
2016-02-16,698,663,94,634,469,540,563,524,423
2016-02-16,933,98,634,98,461,581,507,314,496
2016-02-16,640,340,185,16,239,433,235,786,645
2016-02-16,51,700,417,410,529,637,435,532,318
2016-02-16,626,591,641,355,621,274,437,705,126
2016-02-16,103,287,240,126,483,297,44,34,679
2016-02-16,540,3,348,178,543,111,856,492,186
2016-02-16,966,312,287,478,426,678,633,214,260
2016-02-16,1,568,524,0,387,420,873,111,263
2016-02-16,477,412,826,394,213,691,388,448,279
2016-02-16,559,859,134,0,0,337,205,0,815
2016-02-17,426,450,307,495,420,59,207,538,243
2016-02-17,634,760,328,482,377,175,594,679,31
2016-02-17,309,287,526,0,147,189,531,335,334
2016-02-17,57,466,648,570,421,263,287,602,448
2016-02-17,197,17,822,233,277,920,623,762,269
2016-02-17,295,0,479,315,137,516,393,2,391
2016-02-17,135,999,401,658,343,273,714,312,346
2016-02-17,32,462,468,0,296,100,482,16,79
2016-02-17,480,741,672,135,777,459,0,591,89
2016-02-18,1,336,398,427,94,393,196,0,467
2016-02-18,462,593,16,588,195,243,256,498,38
2016-02-18,50,282,325,371,436,234,819,254,451
2016-02-18,359,449,233,380,219,387,442,14,415
2016-02-18,77,115,369,593,763,314,436,543,593
2016-02-18,629,113,870,570,343,436,480,387,82
2016-02-18,359,313,0,21,524,362,213,486,427
2016-02-18,282,352,660,203,0,751,81,769,191
2016-02-18,600,191,105,439,521,577,254,349,477
2016-02-18,547,321,498,243,659,120,0,870,287
2016-02-18,459,678,0,151,557,711,0,356,0
2016-02-18,445,455,667,279,215,565,182,507,296
2016-02-18,508,74,0,699,669,675,246,242,143
2016-02-19,297,21,269,234,400,576,461,0,587
2016-02-19,472,644,267,524,0,237,479,161,392
2016-02-19,388,151,261,0,316,420,25,856,494
2016-02-19,753,299,365,0,304,144,421,616,757
2016-02-19,16,41,258,610,348,722,272,222,552
2016-02-19,247,621,399,584,1034,340,384,411,532
2016-02-19,464,154,592,475,0,0,294,84,130
2016-02-19,141,604,393,13,114,14,513,677,89
2016-02-19,0,368,532,622,311,437,245,443,276
2016-02-19,731,461,331,322,843,520,0,308,53
2016-02-19,631,544,251,399,0,513,284,543,371
2016-02-19,561,642,701,254,0,106,250,245,276
2016-02-19,539,317,352,138,308,787,508,170,384
2016-02-19,189,476,444,0,232,325,926,458,888
2016-02-19,455,242,596,207,384,279,353,527,359
2016-02-19,50,537,542,335,385,272,905,334,275
2016-02-20,850,497,0,934,566,354,0,833,332
2016-02-20,683,179,293,174,671,655,260,362,612
2016-02-20,228,632,559,641,392,261,312,518,170
2016-02-20,283,421,389,98,652,0,616,125,591
2016-02-20,0,366,530,845,394,707,375,205,70
2016-02-20,537,193,332,83,1010,726,526,723,411
2016-02-20,60,255,679,279,495,586,226,0,443
2016-02-20,100,844,495,330,244,190,88,314,600
2016-02-20,415,715,643,730,318,428,261,349,68
2016-02-20,866,366,222,671,607,640,770,384,459
2016-02-20,107,400,523,217,244,651,363,543,147
2016-02-20,0,461,439,154,0,409,665,291,410
2016-02-21,736,0,854,512,0,393,236,478,324
2016-02-21,257,481,356,400,262,161,876,581,618
2016-02-21,536,475,478,447,478,399,144,339,651
2016-02-21,308,178,392,141,101,472,334,515,421
2016-02-21,427,0,179,431,167,66,0,410,325
2016-02-21,532,0,564,496,0,223,164,326,316
2016-02-21,337,552,59,453,400,167,96,0,665
2016-02-21,220,435,117,146,269,458,382,614,15
2016-02-21,305,376,118,1,559,321,522,299,243
2016-02-21,547,0,917,590,1150,125,75,321,301
2016-02-21,553,370,157,530,0,146,1057,0,438
2016-02-21,619,338,256,357,375,107,130,294,352
2016-02-21,449,323,552,453,206,364,438,675,725
2016-02-22,530,507,282,93,786,124,43,555,208
2016-02-22,251,427,0,0,125,444,356,356,131
2016-02-22,0,325,236,901,0,603,316,238,319
2016-02-22,633,340,408,271,306,259,355,338,545
2016-02-22,291,232,351,541,568,477,81,448,727
2016-02-22,364,485,571,623,385,0,487,356,195
2016-02-22,533,109,249,226,564,389,525,375,592
2016-02-22,338,55,356,0,420,753,538,353,464
2016-02-22,0,0,0,214,318,435,568,391,303
2016-02-22,32,514,126,402,9,347,361,926,194
2016-02-22,544,165,402,848,410,446,672,469,225
2016-02-22,635,777,537,203,535,424,625,372,199
2016-02-22,567,70,325,163,204,0,0,95,272
2016-02-22,583,207,139,799,766,0,369,233,156
2016-02-22,269,912,0,388,208,486,241,0,164
2016-02-22,517,607,327,185,418,758,504,268,332
2016-02-22,286,370,523,0,472,264,0,100,189
2016-02-22,689,0,254,387,365,259,0,458,598
2016-02-22,105,171,357,264,225,533,149,108,193
2016-02-23,352,762,672,288,168,228,312,267,195
2016-02-23,0,407,387,36,868,745,433,599,579
2016-02-23,348,398,0,278,0,146,280,258,669
2016-02-23,558,734,657,8,172,515,193,172,89
2016-02-23,357,158,402,0,689,308,343,800,431
2016-02-23,414,571,440,372,50,232,191,0,388
2016-02-24,503,490,619,508,450,515,369,36,294
2016-02-24,471,629,112,568,0,40,434,106,339
2016-02-24,178,488,189,386,476,782,191,474,317
2016-02-24,221,623,483,470,253,295,267,317,579
2016-02-24,314,66,378,254,214,434,386,332,157
2016-02-24,576,89,412,492,501,317,552,77,661
2016-02-24,712,330,317,217,605,457,379,371,0
2016-02-24,111,698,0,211,199,671,0,174,502
2016-02-24,379,466,191,684,455,727,113,141,0
2016-02-24,568,235,233,222,437,347,0,278,248
2016-02-24,380,539,500,0,586,179,302,0,623
2016-02-24,321,141,803,505,809,701,0,0,255
2016-02-24,646,256,412,374,453,374,718,301,289
2016-02-24,393,676,788,0,280,248,671,740,913
2016-02-24,154,628,592,293,544,874,427,0,356
2016-02-24,463,409,744,454,545,60,396,889,701
2016-02-24,459,300,0,616,543,229,593,504,343
2016-02-24,369,213,376,567,425,262,492,395,200
2016-02-24,322,50,0,27,541,529,730,762,711
2016-02-25,403,505,290,297,579,808,442,128,407
2016-02-25,366,528,756,528,613,90,762,556,590
2016-02-25,853,92,210,285,606,155,51,238,204
2016-02-25,0,261,462,699,516,445,189,320,476
2016-02-25,462,361,530,565,342,392,81,192,478
2016-02-25,93,265,530,388,266,97,866,539,724
2016-02-25,0,676,389,370,0,560,561,630,431
2016-02-25,597,527,65,547,401,624,357,858,106
2016-02-25,101,406,217,690,532,565,204,169,116
2016-02-25,0,202,327,0,683,343,0,148,535
2016-02-25,225,446,400,514,122,404,0,69,279
2016-02-25,1234,359,715,556,291,343,0,196,183
2016-02-25,170,422,241,302,400,0,423,658,618
2016-02-25,409,445,446,36,348,329,328,522,0
2016-02-26,197,300,796,549,28,96,138,331,550
2016-02-26,167,673,461,277,247,148,439,613,185
2016-02-26,487,389,525,117,444,679,535,0,301
2016-02-26,359,468,474,683,893,363,546,0,32
2016-02-26,442,639,432,819,229,536,829,872,557
2016-02-26,49,0,115,233,571,571,326,442,592
2016-02-26,237,139,492,216,53,579,576,478,0
2016-02-26,753,472,168,496,367,583,244,48,580
2016-02-26,25,498,314,68,0,410,148,143,676
2016-02-27,626,335,355,162,0,285,524,600,508
2016-02-27,422,803,419,511,754,325,288,468,47
2016-02-27,360,709,811,478,382,471,370,320,0
2016-02-27,246,938,233,458,432,433,325,562,260
2016-02-27,329,341,228,0,332,987,364,642,684
2016-02-27,151,673,549,857,5,0,339,373,503
2016-02-27,770,216,328,450,1024,52,39,206,0
2016-02-27,220,232,412,317,450,611,429,446,450
2016-02-27,576,0,240,653,400,159,689,358,0
2016-02-28,186,468,330,134,525,256,326,460,436
2016-02-28,218,469,305,53,638,211,704,624,260
2016-02-28,443,778,348,314,306,712,391,364,428
2016-02-28,322,636,335,562,62,259,320,198,332
2016-02-28,421,525,201,428,241,0,201,156,354
2016-02-28,805,0,525,362,58,678,764,398,374
2016-02-28,234,416,3,212,648,290,440,384,354
2016-02-28,864,714,437,392,239,417,94,266,512
2016-02-28,397,530,271,334,348,782,605,385,389
2016-02-28,605,459,389,478,127,600,287,0,0
2016-02-29,367,231,502,294,589,651,107,301,0
2016-02-29,384,134,0,559,0,0,394,450,218
2016-02-29,456,43,344,380,484,475,332,280,439
2016-02-29,214,602,322,173,374,283,364,184,591
2016-02-29,237,533,174,346,24,0,242,208,83
2016-02-29,620,294,388,68,107,383,468,100,130
2016-02-29,243,558,18,414,503,192,338,381,701
2016-02-29,602,347,720,39,471,262,435,480,698
2016-02-29,452,0,350,342,501,346,591,502,94
2016-02-29,437,459,0,91,474,377,335,0,0
2016-02-29,318,0,565,173,633,94,491,331,40
2016-02-29,294,216,151,581,477,490,283,190,847
2016-02-29,545,599,476,568,55,112,0,575,106
2016-02-29,316,715,19,333,561,248,259,233,73
2016-02-29,844,0,415,540,0,932,194,0,171
2016-02-29,484,723,128,58,0,0,201,83,902
2016-02-29,547,844,713,176,34,824,599,923,642
