"date","A","B","C","D","E","F","G","J","K","L","M","N","O"
2017-07-08,363,649,153,638,462,609,35,749,460,11,0,0,183
2017-07-08,494,229,545,82,166,237,459,555,81,96,106,443,259
2017-07-08,190,0,0,297,664,503,293,352,645,0,649,380,602
2017-07-08,0,0,642,430,242,565,0,143,769,0,102,512,362
2017-07-08,0,0,573,611,554,176,391,60,71,269,407,382,281
2017-07-09,286,66,770,0,484,585,295,842,265,407,392,199,300
2017-07-09,525,0,301,0,292,296,215,0,241,259,38,0,46
2017-07-09,372,448,573,34,282,345,332,0,236,780,0,227,0
2017-07-09,708,667,0,207,243,284,443,367,332,192,337,337,128
2017-07-09,168,241,565,310,0,0,498,109,416,610,514,0,219
2017-07-09,0,267,809,473,504,572,36,389,291,328,0,513,621
2017-07-09,337,179,0,316,584,565,739,0,200,260,0,0,23
2017-07-09,518,156,145,176,68,517,107,530,595,17,233,77,0
2017-07-09,181,429,746,365,12,296,330,178,189,421,330,322,105
2017-07-09,143,183,0,445,284,36,607,103,11,288,0,0,546
2017-07-09,373,290,426,135,729,491,259,108,0,364,0,274,52
2017-07-09,481,528,378,110,486,231,0,295,415,480,224,257,157
2017-07-10,538,0,56,500,278,222,462,259,263,576,263,180,0
2017-07-10,231,378,586,480,680,0,274,140,146,236,329,256,324
2017-07-10,305,158,264,119,657,672,690,244,146,906,567,8,433
2017-07-10,525,420,123,219,0,626,283,127,769,504,325,215,0
2017-07-10,438,0,327,244,269,650,206,180,450,441,483,186,0
2017-07-10,501,329,581,20,391,83,41,0,305,291,0,65,79
2017-07-10,246,217,0,425,0,564,145,734,413,293,202,109,252
2017-07-11,153,257,629,324,829,67,538,504,824,231,664,150,108
2017-07-11,519,353,506,399,509,282,76,517,426,129,104,437,508
2017-07-11,54,339,692,422,66,398,541,173,106,160,141,340,365
2017-07-11,272,427,548,392,43,406,445,713,265,0,413,938,305
2017-07-11,188,475,67,506,156,595,429,93,118,405,652,439,0
2017-07-11,152,109,462,50,276,436,43,287,43,168,510,149,0
2017-07-11,345,250,315,265,237,220,0,806,130,224,394,0,585
2017-07-11,358,27,433,0,279,184,0,629,237,632,168,919,233
2017-07-11,262,251,348,36,206,222,344,453,682,316,377,507,273
2017-07-11,60,486,269,597,810,542,93,0,653,584,182,80,605
2017-07-11,0,204,396,507,705,679,0,350,768,189,0,730,441
2017-07-11,553,298,413,268,361,347,643,737,657,4,565,287,82
2017-07-11,127,288,548,30,325,266,334,710,2,0,490,0,237
2017-07-11,218,272,622,678,187,163,301,193,305,102,0,429,323
2017-07-12,142,127,386,0,284,299,249,489,728,570,0,136,0
2017-07-12,87,229,408,502,426,121,570,405,501,505,808,0,584
2017-07-12,399,533,272,415,115,509,430,344,0,547,0,250,0
2017-07-12,518,164,128,532,657,511,440,572,0,181,0,311,147
2017-07-12,537,405,0,0,522,360,699,349,336,760,176,0,210
2017-07-12,22,383,349,539,0,652,289,357,439,355,195,520,0
2017-07-12,194,377,350,463,423,729,220,175,541,605,474,249,322
2017-07-12,289,328,556,391,268,0,0,456,162,33,0,0,373
2017-07-13,686,359,983,296,289,480,371,497,68,372,37,16,0
2017-07-13,720,0,494,504,226,453,750,254,602,228,184,79,418
2017-07-13,0,241,0,627,369,194,607,0,341,0,103,699,431
2017-07-13,124,85,342,243,306,262,910,108,225,209,228,833,336
2017-07-13,349,623,471,351,405,0,600,276,671,522,306,635,263
2017-07-13,443,493,342,358,204,30,94,0,288,634,845,318,125
2017-07-13,457,514,63,396,260,279,502,758,199,492,225,353,287
2017-07-13,205,322,387,0,0,415,615,192,614,362,613,639,240
2017-07-13,269,0,622,301,277,469,510,34,369,449,304,0,599
2017-07-13,342,0,131,20,106,35,264,452,177,327,174,465,659
2017-07-13,231,750,473,388,165,441,189,674,321,0,528,350,719
2017-07-13,386,201,502,324,168,375,186,554,247,383,212,568,233
2017-07-14,275,460,259,337,498,340,0,375,218,217,84,872,442
2017-07-14,0,440,305,352,719,326,298,529,662,314,482,70,571
2017-07-14,419,270,233,201,0,286,270,0,100,125,0,54,0
2017-07-14,74,381,219,544,369,159,215,0,180,565,61,162,155
2017-07-14,201,250,659,516,131,455,704,582,475,265,138,386,349
2017-07-14,0,168,48,477,676,115,232,390,340,625,179,793,605
2017-07-14,184,591,219,375,0,556,386,778,86,408,521,0,261
2017-07-15,371,316,589,325,630,378,144,487,123,150,208,186,708
2017-07-15,201,236,459,33,692,697,496,48,184,276,361,452,490
2017-07-15,278,813,0,257,260,0,412,159,612,0,33,59,0
2017-07-15,699,470,123,0,114,643,126,627,384,184,137,528,256
2017-07-15,526,366,346,75,71,49,14,103,404,82,873,116,355
2017-07-15,440,167,119,348,199,127,57,403,152,74,481,189,302
2017-07-15,322,234,364,548,643,40,366,0,435,257,521,0,701
2017-07-16,310,0,0,169,0,180,0,69,721,8,16,476,472
2017-07-16,522,295,636,0,357,573,0,367,181,718,259,471,552
2017-07-16,0,62,78,481,563,213,496,233,219,9,203,429,377
2017-07-16,369,52,0,448,390,206,513,414,150,69,500,0,86
2017-07-16,54,786,687,177,574,43,232,526,336,327,577,56,68
2017-07-16,0,389,287,332,195,427,313,279,44,612,69,0,486
2017-07-16,399,720,520,456,416,784,221,439,323,785,571,323,590
2017-07-16,626,513,78,0,184,660,231,0,350,665,448,482,298
2017-07-17,0,296,35,0,334,390,144,0,230,705,427,203,270
2017-07-17,213,490,343,478,604,421,585,383,98,266,245,486,57
2017-07-17,240,868,179,247,228,330,538,350,193,0,0,416,0
2017-07-17,454,221,286,241,156,1021,171,44,96,275,116,81,325
2017-07-17,0,0,221,0,0,343,0,98,269,346,259,230,531
2017-07-17,224,277,279,0,519,356,544,385,189,388,18,0,569
2017-07-17,248,291,25,187,0,812,430,278,758,949,0,0,442
2017-07-17,468,218,712,567,362,45,405,0,70,399,0,3,896
2017-07-17,7,501,488,28,627,111,474,267,463,653,695,211,632
2017-07-18,279,195,666,144,573,563,843,540,0,353,395,594,0
2017-07-18,0,124,659,274,363,651,735,405,779,255,35,533,140
2017-07-18,262,708,292,168,151,862,469,169,495,276,0,250,709
2017-07-18,0,593,616,203,511,329,176,0,0,787,0,412,61
2017-07-18,158,313,389,324,0,350,330,864,484,9,161,221,619
2017-07-19,388,0,302,130,615,176,257,290,0,210,231,326,0
2017-07-19,152,181,296,834,5,278,299,397,480,276,477,45,32
2017-07-19,508,197,632,403,543,468,0,680,0,368,349,347,240
2017-07-19,205,0,120,204,569,0,427,419,867,283,0,190,113
2017-07-19,351,0,344,108,0,497,400,0,261,308,101,303,42
2017-07-19,614,509,544,277,513,0,308,403,300,30,598,57,325
2017-07-19,376,187,461,260,0,403,240,583,0,293,409,60,103
2017-07-19,334,181,496,424,338,586,368,68,568,441,434,307,543
2017-07-19,64,377,582,0,395,320,0,0,549,0,288,397,7
2017-07-19,562,271,332,452,247,428,405,335,39,267,267,112,294
2017-07-19,554,235,334,425,125,0,0,35,0,664,601,945,129
2017-07-20,308,0,121,662,389,224,206,0,390,115,0,663,118
2017-07-20,81,121,429,528,169,182,125,551,0,0,0,0,507
2017-07-20,468,0,204,423,446,328,104,351,533,170,398,398,132
2017-07-20,286,0,726,307,456,295,81,0,521,424,0,0,494
2017-07-20,387,211,561,368,134,209,230,0,606,840,215,45,356
2017-07-20,290,266,403,291,544,291,30,538,124,0,0,975,459
2017-07-20,0,388,40,97,0,79,22,769,176,443,0,95,0
2017-07-21,664,90,0,301,356,448,308,149,106,182,192,708,94
2017-07-21,200,147,237,291,390,0,92,375,144,476,402,260,522
2017-07-21,803,279,725,210,609,445,553,720,535,635,0,0,318
2017-07-21,390,65,182,586,0,423,430,421,392,0,492,0,309
2017-07-21,0,0,0,148,343,0,521,259,482,0,336,135,0
2017-07-22,235,725,598,396,372,212,299,497,0,328,125,320,360
2017-07-22,145,11,381,661,117,234,364,4,708,367,109,217,491
2017-07-22,599,570,719,197,648,0,105,453,563,562,221,89,416
2017-07-22,115,61,621,418,213,461,112,456,218,310,523,68,147
2017-07-22,125,0,0,215,323,307,153,518,0,193,269,303,450
2017-07-22,132,225,592,442,345,328,167,0,378,311,176,254,165
2017-07-22,117,74,330,69,49,357,204,54,0,209,272,57,37
2017-07-22,297,534,599,401,255,327,345,440,230,413,0,135,318
2017-07-22,332,180,274,314,595,478,487,151,604,227,5,305,0
2017-07-23,104,0,100,0,789,104,0,915,0,521,3,554,283
2017-07-23,327,683,332,449,382,209,348,327,953,486,426,324,0
2017-07-23,313,596,212,250,270,196,312,127,132,335,468,0,348
2017-07-23,377,180,0,205,58,169,749,225,239,228,372,439,84
2017-07-23,125,374,0,0,577,351,263,564,161,65,340,723,771
2017-07-23,479,620,426,0,494,324,263,17,595,385,240,656,965
2017-07-23,404,0,479,333,445,126,291,255,3,0,126,109,470
2017-07-23,435,345,173,745,193,0,0,238,224,0,214,71,206
2017-07-23,134,227,348,496,400,426,600,377,0,99,217,455,0
2017-07-23,74,324,286,312,419,164,0,473,220,330,453,66,626
2017-07-23,170,441,189,165,121,342,66,185,336,286,301,129,252
2017-07-23,544,380,77,323,275,26,0,51,464,274,370,226,117
2017-07-23,128,551,814,264,670,627,371,455,670,359,81,68,443
2017-07-23,0,121,215,328,308,390,441,0,171,33,0,323,0
2017-07-24,396,3,94,174,0,0,45,305,192,122,223,299,362
2017-07-24,324,0,224,394,379,0,827,314,302,227,0,214,547
2017-07-24,43,241,633,402,272,494,10,335,198,17,483,104,533
2017-07-24,100,0,192,295,107,60,380,237,1052,395,537,369,158
2017-07-24,0,416,122,534,626,549,302,773,220,277,666,309,497
2017-07-24,616,116,288,702,407,307,587,21,607,146,36,602,0
2017-07-24,317,112,291,475,95,997,391,437,124,26,254,364,662
2017-07-24,771,279,0,85,585,512,584,385,550,349,181,418,150
2017-07-24,187,206,0,0,290,146,11,256,363,0,97,320,0
2017-07-24,260,74,16,420,295,715,320,148,278,219,653,187,578
2017-07-24,622,58,589,289,0,421,82,267,258,203,391,7,0
2017-07-24,0,185,594,557,487,901,637,0,211,369,260,436,196
2017-07-25,436,0,84,0,851,63,125,267,273,247,292,313,135
2017-07-25,401,247,348,2,411,545,0,289,641,268,454,331,629
2017-07-25,135,409,86,280,657,233,202,277,359,56,416,16,245
2017-07-25,505,0,0,31,514,321,522,591,112,100,487,509,506
2017-07-25,123,136,440,779,253,377,577,219,488,178,485,387,340
2017-07-25,62,579,371,518,429,363,294,0,281,0,235,364,596
2017-07-25,0,465,282,632,337,417,618,524,95,69,471,488,374
2017-07-25,480,208,624,651,237,273,367,308,186,216,397,405,390
2017-07-25,246,280,0,163,0,154,208,263,332,109,0,201,587
2017-07-25,0,253,211,490,387,119,70,616,0,310,378,492,347
2017-07-25,223,153,524,527,100,35,260,290,0,566,443,0,366
2017-07-25,186,31,411,258,110,63,208,338,382,224,0,85,240
2017-07-26,442,651,170,32,77,536,0,514,375,399,476,313,446
2017-07-26,339,0,747,0,227,269,569,0,338,329,224,628,807
2017-07-26,292,360,33,160,210,608,221,641,489,544,319,232,155
2017-07-26,651,0,0,118,0,294,402,107,305,0,469,66,478
2017-07-26,0,52,351,461,316,162,796,0,154,0,184,409,612
2017-07-26,301,596,389,248,202,466,469,9,218,429,597,343,399
2017-07-26,94,311,162,100,462,287,627,249,683,798,840,775,40
2017-07-26,357,309,527,0,794,626,298,486,268,410,49,230,559
2017-07-26,250,201,771,520,104,757,461,375,562,660,415,7,243
2017-07-26,385,367,73,80,30,83,275,189,366,921,625,230,213
2017-07-26,0,528,102,360,10,0,643,131,551,252,414,451,0
2017-07-27,498,669,482,222,916,365,0,587,82,420,241,0,545
2017-07-27,171,0,321,393,105,555,0,343,557,561,863,165,0
2017-07-27,519,430,19,41,681,376,108,159,91,70,312,7,161
2017-07-27,30,406,0,194,290,696,0,186,197,558,0,481,568
2017-07-27,348,6,634,613,485,382,333,117,236,117,496,124,359
2017-07-27,590,509,264,451,233,109,309,219,713,88,627,304,297
2017-07-27,555,175,177,365,236,196,36,0,350,160,196,514,405
2017-07-27,48,214,240,0,512,282,286,352,0,62,271,581,229
2017-07-28,301,35,266,0,288,740,3,488,0,298,326,118,0
2017-07-28,569,718,68,35,516,72,236,446,471,6,732,44,276
2017-07-28,0,285,352,564,273,871,130,127,363,149,474,368,487
2017-07-28,0,232,12,350,386,179,455,43,75,200,695,451,217
2017-07-28,0,646,548,46,253,16,125,329,143,344,383,0,189
2017-07-28,344,210,283,66,103,122,0,363,359,746,395,274,392
2017-07-28,680,179,592,430,466,0,282,595,632,0,282,183,98
2017-07-28,607,295,0,290,183,478,514,529,578,94,389,263,607
2017-07-28,0,345,0,79,228,404,392,583,478,140,0,0,497
2017-07-28,165,251,603,0,0,283,322,306,161,661,0,841,288
2017-07-29,319,43,336,556,348,448,194,448,22,704,311,28,0
2017-07-29,204,615,283,427,345,392,159,399,146,68,434,185,289
2017-07-29,223,3,0,116,158,20,163,414,560,367,274,365,552
2017-07-29,225,664,334,630,624,232,0,301,262,0,55,457,495
2017-07-29,405,410,194,348,643,492,0,251,824,441,352,513,228
2017-07-29,269,567,366,416,206,245,0,0,618,303,169,273,0
2017-07-29,44,585,486,396,289,404,357,595,523,24,374,288,0
2017-07-29,819,78,586,641,469,681,3,61,388,466,0,240,156
2017-07-30,192,305,477,283,0,0,201,303,383,314,413,37,33
2017-07-30,244,627,0,446,469,89,439,236,366,269,0,0,0
2017-07-30,391,373,505,132,442,450,484,248,738,35,323,191,508
2017-07-30,555,379,132,0,419,464,176,179,795,360,247,30,312
2017-07-30,477,806,592,456,208,374,152,293,487,272,235,313,178
2017-07-30,252,567,245,400,143,499,211,327,609,283,0,370,0
2017-07-30,832,0,0,587,335,0,88,564,389,241,514,0,416
2017-07-30,497,2,596,0,190,430,482,217,356,189,308,406,753
2017-07-30,216,242,482,212,312,294,701,331,360,714,225,226,216
2017-07-30,552,329,662,207,238,0,438,482,328,581,298,0,382
2017-07-30,0,155,363,86,332,0,241,0,357,376,409,260,555
2017-07-30,579,801,766,648,213,403,29,524,227,385,0,286,398
2017-07-30,0,396,275,339,325,595,313,445,0,0,373,408,36
2017-07-31,0,0,46,199,0,0,0,893,140,0,49,269,326
2017-07-31,265,246,414,98,95,200,155,0,308,481,263,367,414
2017-07-31,549,100,576,681,477,626,455,867,39,670,795,481,598
2017-07-31,33,285,134,186,332,69,77,0,417,41,565,145,180
2017-07-31,0,799,528,498,229,513,379,465,214,253,317,0,404
2017-07-31,340,424,214,691,153,605,297,0,704,138,712,410,402
2017-07-31,150,242,30,169,201,167,802,670,298,61,604,340,59
2017-07-31,63,229,202,199,466,2,310,203,430,366,292,138,285
2017-07-31,432,793,807,188,297,258,631,237,390,0,38,169,441
2017-07-31,413,0,318,19,333,196,168,954,61,43,225,644,129
2017-07-31,224,0,458,550,329,697,364,0,606,391,601,569,454
2017-07-31,19,184,253,170,770,537,629,109,140,96,317,59,445
