"date","A","C","E","F","H","I","K","L","M","N","O"
2016-06-05,460,444,443,406,703,740,381,0,152,254,0
2016-06-05,543,374,496,418,0,0,374,968,136,144,350
2016-06-05,205,528,57,565,210,202,391,523,406,869,310
2016-06-05,196,300,254,329,741,0,0,275,415,617,176
2016-06-06,257,354,555,538,554,0,354,723,417,177,690
2016-06-06,291,173,303,430,580,564,289,660,156,433,460
2016-06-06,590,521,0,332,10,193,648,153,448,180,321
2016-06-06,47,342,0,63,0,356,56,741,209,0,97
2016-06-06,471,0,116,0,491,494,284,101,61,382,381
2016-06-06,349,271,289,429,21,163,588,852,158,267,0
2016-06-06,265,56,52,290,407,373,259,534,0,345,602
2016-06-06,283,141,137,332,81,539,92,514,226,2,246
2016-06-06,438,12,301,504,253,568,19,407,433,48,356
2016-06-06,84,590,193,702,11,283,612,275,665,240,454
2016-06-07,328,485,312,120,0,651,613,84,302,317,476
2016-06-07,606,185,415,683,352,135,108,0,0,499,91
2016-06-07,0,0,63,369,478,512,454,103,330,256,0
2016-06-07,425,483,461,604,258,190,202,336,272,232,167
2016-06-07,6,0,540,208,22,274,0,322,578,305,55
2016-06-07,7,0,224,60,276,305,425,451,296,236,249
2016-06-07,462,245,128,377,51,227,352,48,218,626,0
2016-06-07,411,262,192,0,531,342,356,218,400,502,515
2016-06-07,853,111,206,132,798,0,694,679,247,405,420
2016-06-07,374,104,193,179,0,559,431,347,0,243,500
2016-06-07,285,297,312,475,0,426,69,374,60,0,0
2016-06-07,134,1120,203,510,417,212,661,368,150,294,0
2016-06-08,622,218,260,539,345,355,589,350,225,254,249
2016-06-08,76,70,1001,408,437,0,552,176,572,82,0
2016-06-08,476,0,0,407,321,407,0,447,624,302,46
2016-06-08,317,448,278,0,256,434,420,760,85,255,799
2016-06-08,385,414,1,354,496,391,24,456,423,306,24
2016-06-08,214,301,605,20,162,390,139,126,183,0,0
2016-06-08,722,521,505,832,87,0,78,449,479,370,639
2016-06-08,193,298,375,660,653,504,436,543,35,339,421
2016-06-08,0,239,685,561,114,542,35,95,48,364,348
2016-06-09,104,0,397,410,364,345,673,131,190,451,271
2016-06-09,120,247,86,251,151,185,0,914,113,0,396
2016-06-09,478,524,0,632,337,523,8,465,0,299,567
2016-06-09,695,773,404,198,242,62,407,453,627,342,470
2016-06-09,719,446,597,253,194,182,371,0,426,294,39
2016-06-09,128,0,428,553,170,587,12,504,236,327,207
2016-06-09,388,451,509,361,891,122,405,418,0,335,74
2016-06-09,0,289,39,319,485,71,192,694,422,166,346
2016-06-09,0,0,43,0,0,473,400,432,286,0,825
2016-06-09,470,596,465,537,503,257,285,269,0,584,162
2016-06-09,204,519,517,289,509,15,314,357,213,397,137
2016-06-09,341,300,365,515,131,742,576,277,275,0,197
2016-06-09,573,258,425,573,138,389,208,610,161,860,365
2016-06-10,0,192,529,486,546,360,36,1041,515,399,0
2016-06-10,478,0,253,874,225,1003,167,47,121,380,315
2016-06-10,393,137,607,782,0,273,394,523,383,770,467
2016-06-10,206,289,372,181,238,306,473,780,231,9,281
2016-06-10,640,29,58,102,634,222,665,95,206,487,265
2016-06-10,177,235,225,139,447,462,0,141,79,0,513
2016-06-10,404,439,540,366,179,304,395,497,95,0,504
2016-06-10,395,383,830,641,105,443,267,0,454,768,734
2016-06-10,126,197,99,346,572,27,360,421,811,570,467
2016-06-10,646,389,276,371,0,452,1011,401,545,0,503
2016-06-10,277,198,732,178,221,482,900,421,201,732,502
2016-06-11,115,250,111,269,310,422,0,387,0,374,206
2016-06-11,281,515,495,226,577,700,328,360,0,0,319
2016-06-11,12,463,627,0,484,471,376,99,0,381,674
2016-06-11,288,927,594,25,295,480,0,12,137,308,269
2016-06-11,60,251,142,298,408,566,183,272,0,413,312
2016-06-11,435,507,481,242,500,391,421,510,354,568,449
2016-06-11,0,228,286,430,0,415,600,358,432,740,664
2016-06-12,1021,178,171,89,577,0,0,393,351,376,0
2016-06-12,237,417,474,431,138,644,410,238,217,135,0
2016-06-12,101,689,260,367,193,0,439,206,323,0,216
2016-06-12,404,49,0,255,629,290,375,733,0,232,236
2016-06-12,96,518,0,850,797,361,259,190,324,463,0
2016-06-12,718,396,0,69,0,449,492,312,386,0,367
2016-06-12,462,23,118,387,294,529,303,317,231,416,588
2016-06-12,106,316,598,0,204,272,354,780,194,70,390
2016-06-12,105,133,566,0,14,189,237,481,0,228,161
2016-06-13,0,125,75,181,558,332,282,419,316,307,471
2016-06-13,342,0,735,148,289,43,72,324,22,125,0
2016-06-13,0,160,417,229,511,154,356,758,347,571,12
2016-06-13,573,181,0,310,413,332,0,481,507,637,0
2016-06-13,194,237,851,306,354,253,142,0,318,46,239
2016-06-13,79,317,309,334,389,0,567,72,160,542,355
2016-06-13,393,79,283,15,112,203,322,309,0,580,0
2016-06-13,785,458,169,547,0,11,167,602,0,499,288
2016-06-13,335,555,278,0,409,119,536,207,282,185,374
2016-06-13,422,153,0,473,400,315,0,253,368,526,205
2016-06-13,434,616,319,635,317,298,404,0,616,322,553
2016-06-13,546,0,0,338,345,0,846,518,1,62,0
2016-06-13,24,366,193,241,396,327,363,44,0,126,443
2016-06-13,4,224,0,98,754,419,51,0,0,195,542
2016-06-14,85,283,217,708,569,490,323,149,281,397,423
2016-06-14,98,129,29,392,0,242,755,592,6,246,154
2016-06-14,427,92,677,369,211,288,691,93,378,297,174
2016-06-14,71,238,504,475,972,335,0,391,302,0,325
2016-06-14,74,137,87,283,0,553,147,707,221,205,424
2016-06-14,625,825,121,0,275,407,385,393,76,224,186
2016-06-14,0,692,186,171,370,97,610,0,737,0,516
2016-06-14,0,494,544,0,0,450,741,520,323,591,303
2016-06-15,615,92,417,19,332,651,207,485,679,0,224
2016-06-15,372,0,0,320,132,549,243,260,194,1080,778
2016-06-15,122,164,340,0,536,330,294,0,454,354,356
2016-06-15,191,0,56,0,0,613,456,329,987,0,248
2016-06-15,803,61,276,367,953,912,297,314,118,0,0
2016-06-15,102,474,259,344,510,25,144,178,240,0,57
2016-06-15,0,31,92,0,576,312,306,218,25,636,541
2016-06-16,0,417,579,390,73,121,397,374,0,24,142
2016-06-16,220,102,219,563,665,266,721,513,309,199,556
2016-06-16,41,140,213,27,0,131,87,0,222,295,266
2016-06-16,0,303,32,6,151,224,336,115,239,0,350
2016-06-16,190,52,323,0,21,535,840,357,604,488,0
2016-06-16,245,34,198,437,97,34,386,436,0,768,0
2016-06-16,573,289,321,176,814,326,310,346,491,0,69
2016-06-16,198,463,588,450,484,472,410,661,394,130,0
2016-06-16,37,227,0,347,294,679,463,223,140,782,351
2016-06-16,574,0,367,83,847,66,175,47,465,439,614
2016-06-16,347,397,36,64,175,429,399,155,467,350,623
2016-06-17,147,562,439,496,124,0,437,451,314,1020,220
2016-06-17,309,577,626,325,151,560,131,649,214,317,574
2016-06-17,81,553,625,129,417,410,355,392,700,372,93
2016-06-17,21,32,195,373,466,430,380,0,364,14,324
2016-06-17,150,157,3,845,0,179,291,110,577,228,709
2016-06-17,719,189,272,211,774,818,500,506,79,886,331
2016-06-17,155,545,612,175,429,439,97,324,512,69,367
2016-06-17,173,301,25,416,191,207,130,220,658,363,228
2016-06-18,168,110,128,126,136,274,647,114,242,104,376
2016-06-18,280,348,657,365,679,587,784,301,233,331,117
2016-06-18,133,357,577,561,0,321,302,517,264,202,0
2016-06-18,249,569,629,574,618,595,179,270,0,448,0
2016-06-18,205,258,479,156,432,80,503,203,555,529,376
2016-06-18,45,199,8,342,0,415,555,584,0,58,9
2016-06-18,622,227,480,0,365,276,646,534,185,240,178
2016-06-18,520,507,360,264,655,0,58,166,244,564,409
2016-06-18,275,595,244,222,372,298,313,83,530,198,116
2016-06-18,425,152,605,513,468,243,479,792,559,206,942
2016-06-18,355,69,509,320,616,325,459,458,305,288,581
2016-06-18,0,50,251,360,187,53,445,655,635,0,425
2016-06-19,0,399,229,285,196,314,688,254,706,126,451
2016-06-19,562,274,147,458,344,156,147,361,842,346,522
2016-06-19,111,511,701,344,312,270,273,188,24,660,306
2016-06-19,445,650,185,343,405,591,317,502,592,665,532
2016-06-19,0,128,194,971,414,668,280,561,83,616,569
2016-06-19,0,565,304,496,264,0,0,63,754,0,157
2016-06-19,17,602,531,151,259,6,354,249,483,549,178
2016-06-19,308,12,539,618,180,414,437,141,319,183,587
2016-06-19,559,274,348,385,408,0,179,477,519,770,477
2016-06-20,506,29,631,629,119,168,20,553,453,366,0
2016-06-20,0,581,160,212,406,547,203,205,782,806,702
2016-06-20,569,81,232,667,782,192,351,232,668,0,236
2016-06-20,0,116,43,624,0,293,364,610,0,552,298
2016-06-20,6,361,657,494,0,193,151,85,0,537,160
2016-06-20,310,92,3,461,421,115,126,168,0,14,473
2016-06-20,0,828,611,576,208,11,0,323,72,999,362
2016-06-21,533,666,176,235,193,267,447,716,0,0,0
2016-06-21,103,276,65,367,260,0,97,0,528,386,463
2016-06-21,139,331,21,0,0,194,18,570,232,253,491
2016-06-21,652,316,125,722,103,170,349,257,321,161,245
2016-06-21,0,341,526,255,268,275,184,448,421,496,559
2016-06-21,0,782,263,135,530,465,589,215,482,114,202
2016-06-21,473,0,403,77,0,826,478,237,432,284,151
2016-06-21,637,0,328,0,427,275,608,89,289,552,162
2016-06-21,240,436,469,414,528,562,270,308,208,238,143
2016-06-21,314,306,34,0,689,624,317,76,72,0,425
2016-06-21,104,426,441,485,156,164,12,405,482,55,386
2016-06-21,591,0,197,462,109,147,0,0,210,0,575
2016-06-21,53,105,495,428,603,0,511,616,333,385,700
2016-06-22,377,261,667,152,217,0,238,305,596,220,381
2016-06-22,394,608,386,441,209,311,540,109,330,59,242
2016-06-22,135,318,426,253,538,704,536,550,424,453,46
2016-06-22,561,526,0,0,375,682,67,389,0,714,85
2016-06-22,554,571,0,0,0,272,379,401,533,650,0
2016-06-22,472,472,243,180,488,400,638,494,185,0,66
2016-06-22,0,316,191,576,134,431,379,331,537,926,574
2016-06-22,216,479,890,114,500,472,360,467,559,840,178
2016-06-22,174,135,172,0,339,99,264,358,292,0,160
2016-06-22,200,358,43,194,8,486,54,229,332,162,597
2016-06-22,328,356,296,449,279,66,0,535,48,273,132
2016-06-22,548,6,370,0,0,172,582,331,0,0,302
2016-06-23,425,267,298,0,769,253,418,305,44,350,491
2016-06-23,586,484,0,22,959,275,305,645,404,83,479
2016-06-23,118,89,88,273,320,297,270,62,363,0,107
2016-06-23,718,369,495,281,164,712,342,436,215,314,363
2016-06-23,198,38,615,360,499,817,484,0,649,425,345
2016-06-23,64,753,386,86,361,0,0,312,476,392,364
2016-06-23,536,448,169,604,182,0,555,0,620,452,348
2016-06-23,96,21,826,0,246,265,220,562,213,179,625
2016-06-23,418,262,109,345,0,180,209,362,22,389,346
2016-06-23,733,563,207,126,0,0,0,0,345,2,363
2016-06-23,224,565,304,744,104,349,37,207,0,77,183
2016-06-23,263,0,93,321,716,754,453,0,0,0,0
2016-06-23,249,182,382,248,0,0,400,130,175,44,459
2016-06-24,493,454,33,414,581,345,179,304,159,412,524
2016-06-24,218,263,0,678,437,54,353,608,414,0,0
2016-06-24,233,336,98,193,146,185,382,237,398,390,354
2016-06-24,643,250,453,215,375,510,238,204,182,247,0
2016-06-24,542,0,679,281,60,402,562,658,0,530,21
2016-06-24,555,378,0,0,87,429,577,0,92,79,76
2016-06-24,198,310,138,193,386,646,250,138,248,91,191
2016-06-24,726,610,230,0,0,92,241,370,720,291,0
2016-06-24,271,293,0,616,650,517,399,183,283,0,634
2016-06-24,0,0,382,407,0,159,356,428,575,264,348
2016-06-24,693,429,0,480,434,0,217,347,293,948,417
2016-06-24,347,819,203,586,387,323,0,0,371,184,367
2016-06-25,512,340,207,100,74,333,529,314,144,640,373
2016-06-25,19,0,354,426,0,0,397,0,351,395,598
2016-06-25,260,0,564,276,353,191,532,230,0,338,459
2016-06-25,0,77,180,318,212,433,343,620,586,28,428
2016-06-25,0,87,170,226,768,87,108,367,231,656,159
2016-06-25,605,580,158,116,190,468,616,511,0,397,600
2016-06-25,0,0,0,482,0,355,111,187,509,632,409
2016-06-25,215,0,420,284,0,522,472,689,450,49,611
2016-06-25,64,356,207,0,0,291,595,238,692,336,564
2016-06-25,0,22,538,366,604,469,356,263,298,0,268
2016-06-25,204,169,473,176,710,831,823,391,505,101,361
2016-06-25,0,0,409,228,238,831,0,424,589,174,365
2016-06-26,133,112,6,381,0,400,236,42,0,348,146
2016-06-26,352,452,111,17,592,187,726,346,84,0,166
2016-06-26,157,199,272,53,629,0,826,465,542,9,373
2016-06-26,489,429,250,418,444,340,296,466,342,344,336
2016-06-26,101,343,336,436,0,126,194,376,663,514,517
2016-06-26,41,76,453,287,16,424,370,844,691,297,421
2016-06-27,0,262,250,525,238,97,297,419,636,316,450
2016-06-27,41,343,223,562,163,371,85,0,0,419,0
2016-06-27,521,755,330,0,147,382,634,364,398,173,126
2016-06-27,222,898,128,70,63,159,444,384,462,136,156
2016-06-27,489,151,576,372,525,679,432,529,210,37,73
2016-06-27,486,109,574,376,0,279,479,535,565,156,123
2016-06-27,113,685,319,599,436,699,568,622,760,0,367
2016-06-27,0,187,460,139,432,205,223,97,429,380,466
2016-06-27,32,783,460,39,14,436,158,437,248,426,417
2016-06-28,0,632,33,243,481,284,0,303,0,626,324
2016-06-28,343,160,0,78,472,122,97,296,387,0,263
2016-06-28,304,215,473,0,0,298,612,323,566,436,41
2016-06-28,568,259,401,0,67,370,120,537,313,176,0
2016-06-28,327,14,155,0,198,126,489,59,242,424,290
2016-06-28,359,253,0,270,650,28,91,236,456,436,228
2016-06-28,0,442,533,233,285,180,313,470,108,686,266
2016-06-28,701,31,0,682,595,0,657,96,242,324,232
2016-06-28,179,240,218,282,325,122,253,275,355,460,360
2016-06-28,0,497,361,491,0,375,417,667,127,201,205
2016-06-28,277,82,74,249,218,816,23,406,119,391,351
2016-06-29,156,72,462,165,69,248,247,529,562,182,177
2016-06-29,562,53,452,547,254,329,659,271,208,422,278
2016-06-29,0,81,94,185,182,1007,124,341,176,0,527
2016-06-29,377,209,331,90,0,210,120,443,89,0,126
2016-06-30,112,515,669,513,16,368,634,402,436,389,167
2016-06-30,388,552,156,89,123,552,769,516,797,48,457
2016-06-30,335,53,0,641,164,459,106,358,458,134,5
2016-06-30,899,853,175,166,466,1,762,412,279,341,377
2016-06-30,317,0,389,500,349,135,427,401,810,9,611
2016-06-30,0,183,372,286,217,83,340,0,483,0,399
2016-06-30,364,267,0,486,591,265,105,75,330,436,0
2016-06-30,310,268,27,296,332,0,5,0,0,641,241
2016-06-30,590,402,708,0,101,197,564,592,394,399,382
2016-06-30,714,408,0,607,506,152,302,371,161,441,263
2016-06-30,111,0,466,103,218,259,275,375,122,330,370
